Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200709_152716_15382718, 592.1233520507812, 0.0027713989838957787, -0.0018768596928566694, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15432716, 592.1233520507812, 0.005526614375412464, -0.0019073777366429567, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15449382, 592.1233520507812, 0.003660258837044239, -0.002029449911788106, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15482714, 592.1233520507812, 0.0062573677860200405, -0.0020599679555743933, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15532712, 592.1233520507812, 0.006591267883777618, -0.0020904859993606806, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15549378, 592.1233520507812, 0.004767999984323978, -0.0022735942620784044, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15566044, 592.1233520507812, 0.0012447157641872764, -0.0023041123058646917, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15582710, 592.1233520507812, -0.0026078294031322002, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15632708, 592.1233520507812, -0.006473139859735966, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15649374, 592.1233520507812, -0.005427136085927486, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15699372, 592.1233520507812, -0.0021095280535519123, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15716038, 592.1233520507812, 0.003114171326160431, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15749370, 592.1233520507812, 0.005816771648824215, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15782702, 592.1233520507812, 0.006181121803820133, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15799368, 592.1233520507812, 0.006516435649245977, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15849366, 592.1233520507812, 0.0043406723998487, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15866032, 592.1233520507812, 0.001163302338682115, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152716_15899364, 592.1233520507812, -0.002691019792109728, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_15932696, 592.1233520507812, -0.004815978463739157, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_15966028, 592.1233520507812, -0.005524035543203354, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_15982694, 592.1233520507812, 0.0014530748594552279, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16016026, 592.1233520507812, 0.005157613195478916, -0.002334630349650979, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16049358, 592.1233520507812, 0.005707443691790104, -0.0023041123058646917, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16066024, 592.1233520507812, 0.006077555939555168, -0.0022735942620784044, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16082690, 592.1233520507812, 0.0038506274577230215, -0.002243076218292117, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16116022, 592.1233520507812, 0.006418670527637005, -0.002121004043146968, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16149354, 592.1233520507812, 0.006743032950907946, -0.0012664988171309233, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16166020, 592.1233520507812, 0.0010539796203374863, -0.0010528725106269121, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16199352, 592.1233520507812, -0.0028036190196871758, -0.0008697642479091883, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16232684, 592.1233520507812, -0.00494985468685627, -0.0006561379414051771, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16266016, 592.1233520507812, -0.00565445888787508, -0.0006561379414051771, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16316014, 592.1233520507812, 0.0013089794665575027, -0.0006561379414051771, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16366012, 592.1233520507812, 0.005560692865401506, -0.0006561379414051771, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16399344, 592.1233520507812, 0.0036959191784262657, -0.00047302967868745327, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16416010, 592.1233520507812, 0.004087753128260374, 0.00018310826271772385, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16466008, 592.1233520507812, 0.0066200983710587025, 0.00079346913844347, 0.0, 0.0, 0.0, 0.0,0.0
20200709_152717_16482674, 592.1233520507812, -0.0029531416948884726, 0.002166781108826399, 0.023811697959899902, 0.0, 0.0, 0.0,0.0
20200709_152717_16516006, 592.1233520507812, -0.006822032388299704, 0.00238040741533041, 0.023811697959899902, 0.0, 0.0, 0.0,0.0
20200709_152717_16532672, 592.1233520507812, -0.0077170091681182384, 0.0023498893715441227, 0.023811697959899902, 0.0, 0.0, 0.0,0.0
20200709_152717_16566004, 592.1233520507812, -0.0058327591978013515, 0.0021362630650401115, 0.023811697959899902, 0.0, 0.0, 0.0,0.0
20200709_152717_16599336, 592.1233520507812, 0.0011130005586892366, 0.0005798428319394588, 0.03174638748168945, 0.0, 0.0, 0.0,0.0
20200709_152717_16616002, 592.1233520507812, 0.0025759136769920588, -0.0011139085981994867, 0.047615766525268555, 0.0, 0.0, 0.0,0.0
20200709_152717_16649334, 592.1233520507812, 0.00536268251016736, -0.0018463416490703821, 0.05952543020248413, 0.0, 0.0, 0.0,0.0
20200709_152717_16682666, 627.5045776367188, 0.00574760977178812, -0.0045319292694330215, 0.12301060557365417, 0.0, 0.0, 0.0,0.0
20200709_152717_16732664, 621.833984375, 0.007039342541247606, -0.005661097355186939, 0.14682230353355408, 0.0, 0.0, 0.0,0.0
20200709_152717_16749330, 615.1693115234375, -0.00016513679292984307, -0.006668192334473133, 0.14682230353355408, 0.0, 0.0, 0.0,0.0
20200709_152717_16782662, 603.3988037109375, 0.021748961880803108, -0.006820783019065857, 0.14682230353355408, 0.0, 0.0, 0.0,0.0
20200709_152717_16799328, 601.0932006835938, 0.05033612623810768, -0.0068818191066384315, 0.14682230353355408, 0.0, 0.0, 0.0,0.0
