Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200714_133251_3653620516, 592.1233520507812, -1.8651990103535354e-05, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653653848, 592.1233520507812, 1.793580304365605e-05, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653670514, 592.1233520507812, 1.3646841580339242e-05, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653703846, 592.1233520507812, -5.083083124191035e-06, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653720512, 592.1233520507812, -2.3219285139930435e-05, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653753844, 592.1233520507812, -8.782080840319395e-06, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653787176, 592.1233520507812, 2.2810652808402665e-05, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653820508, 592.1233520507812, 2.166973899875302e-06, -0.0024567025247961283, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653853840, 592.1233520507812, -2.3670516384299845e-05, -0.0018768596928566694, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653887172, 592.1233520507812, -4.81370989291463e-07, -0.0032806897070258856, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653903838, 592.1233520507812, 2.445033533149399e-05, -0.007492179982364178, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653937170, 592.1233520507812, 1.7538837710162625e-05, -0.010238803923130035, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3653970502, 592.1233520507812, -5.7673282753967214e-06, -0.02046234905719757, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3654003834, 592.1233520507812, 8.212605280277785e-06, -0.029221026226878166, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3654020500, 592.1233520507812, 5.690782199962996e-05, -0.03846799582242966, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133251_3654070498, 592.1233520507812, 5.376768604037352e-05, -0.046707864850759506, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654087164, 592.1233520507812, -7.276835731317988e-06, -0.05851835012435913, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654120496, 592.1233520507812, 4.610265591509233e-08, -0.06529335677623749, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654137162, 592.1233520507812, 4.145753337070346e-05, -0.07551690191030502, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654170494, 592.1233520507812, 4.8416211939183995e-05, -0.0796063169836998, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654203826, 592.1233520507812, 1.1280748367425986e-05, -0.08925002068281174, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654237158, 592.1233520507812, -1.3664875041285995e-05, -0.0960250273346901, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654270490, 592.1233520507812, 2.6709776648203842e-05, -0.10283055156469345, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654287156, 592.1233520507812, 3.0385917852981947e-05, -0.10942244529724121, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654320488, 592.1233520507812, 6.535362899739994e-06, -0.11726558208465576, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654353820, 592.1233520507812, -9.020578545460012e-06, -0.1250476837158203, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654403818, 592.1233520507812, 3.637432382674888e-05, -0.13209734857082367, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654420484, 592.1233520507812, 4.976701575287734e-07, -0.1448844075202942, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654453816, 592.1233520507812, -1.8641170754563063e-05, -0.14863812923431396, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654487148, 592.1233520507812, 1.4335812920762692e-05, -0.1592889279127121, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654520480, 592.1233520507812, 5.111752398079261e-05, -0.16905470192432404, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654553812, 592.1233520507812, 2.0933710402459837e-05, -0.17909513413906097, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654587144, 592.1233520507812, -1.409977539879037e-05, -0.18687723577022552, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654603810, 592.1233520507812, 2.1970263333059847e-05, -0.19679561257362366, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654637142, 592.1233520507812, 4.016765160486102e-05, -0.2079957276582718, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654670474, 592.1233520507812, 3.3469299523858353e-05, -0.21709010004997253, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654720472, 592.1233520507812, 2.133151974703651e-05, -0.22807660698890686, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654737138, 592.1233520507812, 1.9512997823767364e-05, -0.24422064423561096, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654753804, 592.1233520507812, 1.8000026102527045e-05, -0.24882887303829193, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654787136, 592.1233520507812, 1.5718142094556242e-05, -0.26224154233932495, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654820468, 592.1233520507812, 2.318567203474231e-05, -0.2724956274032593, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654853800, 592.1233520507812, 5.034973946749233e-05, -0.2846418023109436, 0.0, 0.0, 0.0, 0.0,0.0
20200714_133252_3654887132, 592.1233520507812, 2.0634086467907764e-05, -0.29608607292175293, 0.0, 0.0, 0.0, 0.0,0.0
