Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200714_154905_1830448576, 592.1256713867188, -0.004897323902696371, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830465242, 592.1253051757812, 0.0022791740484535694, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830498574, 592.1251831054688, 0.006051631178706884, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830515240, 592.1248779296875, 0.006755228620022535, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830531906, 592.1248168945312, 0.004685866180807352, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830581904, 592.1246948242188, 0.0012247489066794515, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830598570, 592.1243896484375, -0.004513372667133808, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154905_1830648568, 592.1243286132812, -0.007103671319782734, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830665234, 592.1240844726562, 0.002069843467324972, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830715232, 592.1240844726562, 0.0058420016430318356, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830731898, 592.1239624023438, 0.0044426568783819675, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830765230, 592.1239013671875, 0.006990301888436079, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830798562, 592.1238403320312, 0.0014899879461154342, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830815228, 592.123779296875, -0.006088748574256897, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830848560, 592.1237182617188, -0.0041912151500582695, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830881892, 592.1236572265625, -0.004772847983986139, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830915224, 592.1236572265625, 0.0024166882503777742, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830931890, 592.1236572265625, 0.004291304852813482, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830965222, 592.1236572265625, 0.006898344494402409, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1830981888, 592.1236572265625, 0.0013968180865049362, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1831015220, 592.1236572265625, -0.002386600710451603, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1831048552, 592.1236572265625, -0.004305100068449974, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1831081884, 592.1236572265625, -0.004883375950157642, 0.018097199499607086, 0.0, 0.0, 0.0, 0.0,0.0
20200714_154906_1831098550, 592.1236572265625, 0.0022946889512240887, 0.018097199499607086, 0.019844353199005127, 0.0, 0.0, 0.0,0.0
20200714_154906_1831131882, 592.1236572265625, 0.00606661569327116, 0.018097199499607086, 0.03174638748168945, 0.0, 0.0, 0.0,0.0
20200714_154906_1831165214, 592.1236572265625, 0.006771014537662268, 0.018097199499607086, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831181880, 592.1236572265625, 0.0012442793231457472, 0.018097199499607086, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831231878, 592.1236572265625, -0.0025429639499634504, 0.018097199499607086, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831248544, 592.1236572265625, -0.0070838346146047115, 0.01733424887061119, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831281876, 592.1236572265625, -0.005065760109573603, 0.016937514767050743, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831315208, 592.1236572265625, 0.0020936657674610615, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831331874, 592.1236572265625, 0.0039048532489687204, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831381872, 592.1236572265625, 0.006561230402439833, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831415204, 592.1236572265625, 0.004957282915711403, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831448536, 592.1236572265625, -0.002261247020214796, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831481868, 592.1236572265625, -0.004158296622335911, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831498534, 592.1236572265625, -0.004739925265312195, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831531866, 592.1236572265625, -0.0013030441477894783, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154906_1831565198, 592.1236572265625, 0.006224978249520063, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154907_1831598530, 592.1236572265625, 0.006935848854482174, 0.016754405573010445, 0.03571373224258423, 0.0, 0.0, 0.0,0.0
20200714_154907_1831615196, 592.1236572265625, 0.0014417266938835382, 0.016754405573010445, 0.039681077003479004, 0.0, 0.0, 0.0,0.0
20200714_154907_1831648528, 592.1236572265625, -0.002340659499168396, 0.016754405573010445, 0.039681077003479004, 0.0, 0.0, 0.0,0.0
20200714_154907_1831681860, 592.1236572265625, -0.004248981364071369, 0.016754405573010445, 0.04364842176437378, 0.0, 0.0, 0.0,0.0
