Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200715_155629_91629668, 592.134521484375, -0.0026263752952218056, 0.0012207217514514923, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91646334, 592.1326293945312, -0.004738600924611092, 0.001190203707665205, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91663000, 592.1318359375, -0.007367068435996771, 0.0009460593573749065, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91679666, 592.131103515625, -0.005447553005069494, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91696332, 592.13037109375, -0.0021315778139978647, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91729664, 592.1297607421875, 0.0015382899437099695, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91746330, 592.1287231445312, 0.0030912114307284355, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91779662, 592.1282348632812, 0.005795972887426615, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91812994, 592.1273803710938, 0.006157292984426022, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91862992, 592.1267700195312, 0.006493557244539261, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91896324, 592.1259765625, 0.004666402470320463, 0.0008239871822297573, 0.0, 0.0, 0.0, 0.0,0.0
20200715_155629_91929656, 592.1255493164062, -0.0027192465495318174, 0.000396734569221735, 0.08729687333106995, 0.0, 0.0, 0.0,0.0
20200715_155629_91962988, 592.1251831054688, -0.004849400371313095, -0.0007171740289777517, 0.25396353006362915, 0.0, 0.0, 0.0,0.0
20200715_155629_91996320, 592.1248779296875, -0.0055634817108511925, -0.0014801251236349344, 0.42063018679618835, 0.0, 0.0, 0.0,0.0
20200715_155629_92012986, 613.288330078125, 0.0014109229668974876, -0.002334630349650979, 0.5546883344650269, 0.0, 0.0, 0.0,0.0
20200715_155629_92046318, 609.5731811523438, 0.006799904629588127, -0.0028839551378041506, 0.6015640497207642, 0.0, 0.0, 0.0,0.0
20200715_155629_92062984, 603.8793334960938, 0.009576240554451942, -0.004257267341017723, 0.8046845197677612, 0.0, 0.0, 0.0,0.0
20200715_155629_92096316, 587.7865600585938, 0.015526923350989819, -0.004287784919142723, 0.8867170214653015, 0.0, 0.0, 0.0,0.0
20200715_155629_92112982, 598.5604858398438, 0.03464226797223091, -0.004104676656424999, 0.9843747615814209, 0.0, 0.0, 0.0,0.0
