Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20190517_141751_680601004,109704.2422,0,592.1233521,359.8554993,0.305248857,-0.000192963,-5.29E-07,0.000185523,-9.39E-07,-26402.62695,8.416532516,-2150.999756,0.241044715,-0.001817286,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680634336,109704.2422,0,592.1233521,359.8554688,0.305248857,-0.000191968,-4.43E-07,-6.31E-06,-3.11E-06,-26402.62695,8.416532516,-2150.999756,0.241044715,-0.001817248,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680651002,109704.2422,0,592.1233521,359.8554382,0.305248857,-0.000193352,-3.32E-07,-1.74E-05,-3.25E-06,-26402.62695,8.416531563,-2150.999756,0.241044715,-0.00181721,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680701000,109704.2422,0,592.1233521,359.8554382,0.305248857,-0.000192,-3.49E-07,-4.54E-05,-3.53E-06,-26402.62695,8.416531563,-2150.999756,0.241044745,-0.001817248,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680717666,109704.2422,0,592.1233521,359.8553772,0.305248857,-0.000191119,-4.42E-07,-0.000136255,-4.54E-06,-26402.62695,8.416531563,-2150.999756,0.241044715,-0.001817248,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680750998,109704.2422,0,592.1233521,359.8553772,0.305248857,-0.000190999,-4.73E-07,0.000110251,-1.73E-06,-26402.62695,8.416531563,-2150.999756,0.241044745,-0.00181721,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680784330,109704.2422,0,592.1233521,359.8553467,0.305248857,-0.00019077,-4.07E-07,-7.41E-06,-3.05E-06,-26402.62695,8.416532516,-2150.999756,0.241044745,-0.00181721,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680817662,109704.2422,0,592.1233521,359.8553162,0.305248857,-0.000189521,-3.36E-07,-0.000130621,-4.45E-06,-26402.62695,8.416531563,-2150.999756,0.241044745,-0.00181721,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680850994,109704.2422,0,592.1233521,359.8552856,0.305248857,-0.000190969,-3.72E-07,-5.26E-05,-3.57E-06,-26402.62695,8.416531563,-2150.999756,0.241044745,-0.00181721,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
20190517_141751_680884326,109704.2422,0,592.1233521,359.8552551,0.305248857,-0.000190338,-2.89E-07,2.37E-05,-2.73E-06,-26402.62695,8.416531563,-2150.999756,0.241044745,-0.001817248,-8.73E-07,0.000732433,0, 0.00.0,0,0,0, 
