Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_155316_2305824430,132909.2344,0,592.1237183,271.1958618,0.314677626,-0.003284095,-0.011644165,0.002094537,0.006796244,-34011.31641,60.39541626,-8263.275391,0.577169001,0.038916178,-0.444290608,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155316_2305857762,132909.2344,0,592.1237183,271.1958008,0.314677626,-0.003116245,-0.005065851,0.000640918,0.0015456,-34011.31641,60.39542389,-8263.275391,0.577170372,0.038917694,-0.444295883,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155316_2305891094,132909.2344,0,592.1237183,271.1956787,0.314677626,-0.001959359,-0.003561274,-1.15E-05,0.001073353,-34011.31641,60.39544296,-8263.275391,0.577171862,0.03892092,-0.444306344,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155316_2305907760,132909.2344,0,592.1237183,271.1955261,0.314677626,-0.002562422,-0.002449163,-0.000346067,0.001044513,-34011.31641,60.39545822,-8263.275391,0.577172339,0.038924716,-0.444316149,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155317_2305924426,132909.2344,0,592.1237183,271.1954346,0.314677626,-0.000705097,0.008348461,-0.002428857,-0.004996331,-34011.31641,60.39546204,-8263.275391,0.577173948,0.038927067,-0.444321007,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155317_2305974424,132909.2344,0,592.1237183,271.1953735,0.314677626,-0.001518086,0.001668042,-0.000211174,-0.00165744,-34011.31641,60.39546967,-8263.275391,0.577173829,0.038928282,-0.444326133,-0.021103228,0, 0.00.0,0,0,0, 
20200518_155317_2305991090,132909.2344,0,592.1237183,271.1951904,0.314677626,-0.002172182,0.00021263,0.001268547,-0.001868487,-34011.31641,60.39549637,-8263.275391,0.577178001,0.038934316,-0.444341421,-0.0212253,0, 0.00.0,0,0,0, 
20200518_155317_2306024422,132909.2344,0,592.1237183,271.1951294,0.314677626,-0.000363,0.008453766,-0.003597363,-0.004604149,-34011.31641,60.39550781,-8263.275391,0.577177525,0.038937237,-0.444347233,-0.0212253,0, 0.00.0,0,0,0, 
20200518_155317_2306041088,132909.2344,0,592.1237183,271.1949768,0.314677626,-0.003036412,-0.002943406,0.00017025,0.001779935,-34011.31641,60.39551926,-8263.275391,0.577177823,0.03894031,-0.444358349,-0.0212253,0, 0.00.0,0,0,0, 
20200518_155317_2306091086,132909.2344,0,592.1237183,271.1949158,0.314677626,-0.004222104,-0.004612667,0.001090206,0.002261904,-34011.31641,60.39552689,-8263.275391,0.577180266,0.038941905,-0.444363058,-0.02107271,0, 0.00.0,0,0,0, 
20200518_155317_2306107752,132909.2344,0,592.1237183,271.1947327,0.314677626,-0.003292725,-0.002671426,0.000240439,0.002942626,-34011.31641,60.39555359,-8263.275391,0.577183127,0.038948432,-0.444378585,-0.019913023,0, 0.00.0,0,0,0, 
20200518_155317_2306157750,132909.2344,0,592.1237183,271.1946411,0.314677626,-0.004938806,-0.006284891,0.000333846,0.003208548,-34011.31641,60.39556122,-8263.275391,0.577186525,0.038950592,-0.444383293,-0.019699397,0, 0.00.0,0,0,0, 
20200518_155317_2306174416,132909.2344,0,592.1237183,271.194458,0.314677626,-0.003392594,-0.009107215,0.002734329,0.0050343,-34011.31641,60.39558411,-8263.275391,0.577191353,0.038957272,-0.444400579,-0.018814374,0, 0.00.0,0,0,0, 
20200518_155317_2306207748,132909.2344,0,592.1237183,271.1943665,0.314677626,-0.003186292,-0.001575787,-0.000765332,0.001722103,-34011.31641,60.39559174,-8263.275391,0.577192783,0.038958829,-0.444406986,-0.018631266,0, 0.00.0,0,0,0, 
20200518_155317_2306241080,132909.2344,0,592.1237183,271.1942139,0.314677626,-0.003688776,-0.00040303,0.00029094,-0.000904139,-34011.31641,60.39561081,-8263.275391,0.577193975,0.038963687,-0.444419205,-0.018478675,0, 0.00.0,0,0,0, 
20200518_155317_2306274412,132909.2344,0,592.1237183,271.1940918,0.314677626,-0.003476313,-0.00184231,-0.000299112,0.001062559,-34011.31641,60.39562607,-8263.275391,0.577197969,0.038967859,-0.444431752,-0.018478675,0, 0.00.0,0,0,0, 
20200518_155317_2306291078,132909.2344,0,592.1237183,271.1939697,0.314677626,-0.003468446,0.00330003,-0.000136046,-0.002465923,-34011.31641,60.39564896,-8263.275391,0.577200413,0.03897173,-0.444445044,-0.01841764,0, 0.00.0,0,0,0, 
20200518_155317_2306324410,132909.2344,0,592.1237183,271.1939087,0.314677626,-0.00509136,-0.002183559,-0.001347783,0.004296183,-34011.31641,60.39565659,-8263.275391,0.577202976,0.038973324,-0.444451362,-0.018295567,0, 0.00.0,0,0,0, 
20200518_155317_2306341076,132909.2344,0,592.1237183,271.1937561,0.314677626,-0.004762289,-0.001835721,0.000927255,0.002267693,-34011.31641,60.39567184,-8263.275391,0.577207088,0.038978748,-0.444462776,-0.017929351,0, 0.00.0,0,0,0, 
20200518_155317_2306391074,132909.2344,0,592.1237183,271.1936951,0.314677626,-0.002297889,-2.78E-06,0.000951215,-0.001495956,-34011.31641,60.39567947,-8263.275391,0.577208042,0.038980611,-0.444469661,-0.01762417,0, 0.00.0,0,0,0, 
20200518_155317_2306424406,132909.2344,0,592.1237183,271.193512,0.314677626,-0.005172667,-0.000673219,-0.000570671,-0.0014318,-34011.31641,60.39570999,-8263.275391,0.577212334,0.038988009,-0.444488168,-0.017441062,0, 0.00.0,0,0,0, 
20200518_155317_2306441072,132909.2344,0,592.1237183,271.1933594,0.314677626,-0.001293754,0.009771543,-0.002675676,-0.004080747,-34011.31641,60.39572906,-8263.275391,0.577213168,0.038993549,-0.444502175,-0.017441062,0, 0.00.0,0,0,0, 
20200518_155317_2306474404,132909.2344,0,592.1237183,271.1932983,0.314677626,-0.003353164,-0.001555243,0.001643047,-0.000207369,-34011.31641,60.39573288,-8263.275391,0.577213705,0.038996506,-0.444508404,-0.017837796,0, 0.00.0,0,0,0, 
20200518_155317_2306507736,132909.2344,0,592.1237183,271.1931458,0.314677626,-0.003601721,-0.00096883,-0.000414694,-3.10E-05,-34011.31641,60.39575577,-8263.274414,0.577215254,0.039000608,-0.444522023,-0.018631266,0, 0.00.0,0,0,0, 
20200518_155317_2306541068,132909.2344,0,592.1237183,271.1929932,0.314677626,-0.003589322,-0.000564273,-0.001638405,0.002137251,-34011.31641,60.39577866,-8263.274414,0.577216864,0.039004706,-0.444535673,-0.019851988,0, 0.00.0,0,0,0, 
20200518_155317_2306574400,132909.2344,0,592.1237183,271.1928711,0.314677626,-0.003940394,-0.001082969,-0.000124929,0.001949069,-34011.31641,60.39579773,-8263.274414,0.577218413,0.039008804,-0.444548726,-0.020920118,0, 0.00.0,0,0,0, 
20200518_155317_2306624398,132909.2344,0,592.1237183,271.192749,0.314677626,-0.003982335,-0.001039381,-0.000961579,0.002349005,-34011.31641,60.39581299,-8263.274414,0.577220321,0.039014798,-0.444561034,-0.021835661,0, 0.00.0,0,0,0, 
20200518_155317_2306657730,132909.2344,0,592.1237183,271.1925354,0.314677626,-0.004077557,-0.000968156,-0.000557507,0.00179681,-34011.31641,60.39584351,-8263.274414,0.577221632,0.039021857,-0.444581181,-0.023514153,0, 0.00.0,0,0,0, 
20200518_155317_2306691062,132909.2344,0,592.1237183,271.1924133,0.314677626,-0.004140847,-0.006273884,0.00098066,0.004079528,-34011.31641,60.39586258,-8263.274414,0.57722348,0.039026864,-0.444594115,-0.023636226,0, 0.00.0,0,0,0, 
20200518_155317_2306707728,132909.2344,0,592.1237183,271.1922913,0.314677626,-0.003267573,-0.001526282,0.000860352,-0.000637854,-34011.31641,60.39587784,-8263.274414,0.577227354,0.039031722,-0.444606811,-0.023636226,0, 0.00.0,0,0,0, 
20200518_155317_2306757726,132909.2344,0,592.1237183,271.1921997,0.314677626,-0.003236477,0.000930603,-0.00071053,-0.001188466,-34011.31641,60.3958931,-8263.274414,0.577228427,0.039033886,-0.444613874,-0.023636226,0, 0.00.0,0,0,0, 
20200518_155317_2306774392,132909.2344,0,592.1237183,271.1920166,0.314677626,-8.62E-05,0.007182995,-0.00311787,-0.005159658,-34011.31641,60.39592361,-8263.274414,0.577229977,0.039041776,-0.444635123,-0.023636226,0, 0.00.0,0,0,0, 
