Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_160537_2868185268,132931.75,0,592.1236572,261.2591858,0.31460169,-1.537347198,-0.000396655,-0.000599124,0.167017728,-27904.06836,6.260463238,-591.7102051,0.476244867,0.002006937,-0.000105147,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868201934,132931.75,0,592.1236572,261.2590027,0.31460169,-1.557437301,-0.000267067,-0.001267904,0.167122692,-27904.06445,6.260098457,-591.7244263,0.476249784,0.002008645,-0.00010454,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868235266,132931.75,0,592.1236572,261.2589111,0.31460169,-1.567446351,-0.000467369,-0.008883424,0.167070657,-27904.06445,6.259914398,-591.7315674,0.476252258,0.002009328,-0.000104312,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868268598,132931.75,0,592.1236572,261.2587585,0.31460169,-1.587841034,-0.000636782,-0.012694462,0.16764681,-27904.0625,6.259543419,-591.7460938,0.476257145,0.002011263,-0.000104995,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868301930,132931.75,0,592.1236572,261.2585754,0.31460169,-1.608228445,-0.000826071,-0.001555449,0.168254271,-27904.06055,6.259188652,-591.7607422,0.476262152,0.002012857,-0.000107538,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868335262,132931.75,0,592.1236572,261.2584229,0.31460169,-1.628178596,-0.000977702,0.002526111,0.168126941,-27904.05664,6.258839607,-591.7755737,0.476267189,0.00201225,-0.000110649,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868351928,132931.75,0,592.1236572,261.2582397,0.31460169,-1.648910403,-0.000895781,-0.000614853,0.169168562,-27904.05469,6.258467674,-591.7906494,0.476272702,0.002013312,-0.00011266,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868385260,132931.75,0,592.1236572,261.2581482,0.31460169,-1.659267545,-0.000741896,-0.001697104,0.169705018,-27904.05469,6.258275032,-591.7982178,0.476275444,0.002013919,-0.000112888,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868418592,132931.75,0,592.1236572,261.2579956,0.31460169,-1.67999804,-0.000380244,-0.00043238,0.170606792,-27904.05078,6.257892609,-591.8135376,0.476280749,0.002013919,-0.000112015,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868451924,132931.75,0,592.1236572,261.2578125,0.31460169,-1.700760007,-0.000142361,-0.003332816,0.171208322,-27904.04883,6.25749588,-591.8290405,0.476285994,0.002014754,-0.000110763,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160537_2868468590,132931.75,0,592.1236572,261.2576294,0.31460169,-1.721476197,-2.42E-06,-0.008842405,0.173527613,-27904.04688,6.257089138,-591.8447266,0.476291358,0.00201612,-0.000109738,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160538_2868585252,132931.75,0,592.1236572,261.2575684,0.31460169,-1.731842995,-7.25E-05,-0.005721742,0.172761902,-27904.04492,6.256890774,-591.8526611,0.47629407,0.002015968,-0.000109283,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160538_2868618584,132931.75,0,592.1236572,261.256958,0.31460169,-1.804332733,-0.000655051,-0.001868978,0.172609001,-27904.03711,6.255524158,-591.9094849,0.47631371,0.002011984,-0.000107538,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160538_2868651916,132931.75,0,592.1236572,261.2567749,0.31460169,-1.82507813,-0.00058853,-0.001290542,0.172657996,-27904.03516,6.255098343,-591.9261475,0.476319432,0.002013691,-0.000107082,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160538_2868685248,132931.75,0,592.1236572,261.2566223,0.31460169,-1.845870614,-0.000484603,-0.006672406,0.172743112,-27904.03125,6.25467205,-591.9429932,0.476325274,0.002014754,-0.000107196,-0.010238804,0, 0.00.0,0,0,0, 
20200518_160538_2868718580,132931.75,0,592.1236572,261.2564392,0.31460169,-1.866637349,-0.00087125,-0.005968448,0.172847718,-27904.0293,6.254249573,-591.9599609,0.476331174,0.002015475,-0.000108448,-0.010910201,0, 0.00.0,0,0,0, 
20200518_160538_2868735246,132931.75,0,592.1236572,261.2562866,0.31460169,-1.887344956,-0.001885653,-0.00204722,0.172866493,-27904.02734,6.253824234,-591.9772339,0.476337641,0.002015741,-0.00010879,-0.011917296,0, 0.00.0,0,0,0, 
20200518_160538_2868785244,132931.75,0,592.1236572,261.2561951,0.31460169,-1.897696495,-0.002567176,-0.000867973,0.172871143,-27904.02539,6.253606796,-591.9859009,0.476341218,0.002016158,-0.000108752,-0.012680247,0, 0.00.0,0,0,0, 
20200518_160539_2868801910,132931.75,0,592.1236572,261.2559204,0.31460169,-1.928765297,-0.003539055,-0.000571703,0.172799796,-27904.02148,6.252938271,-592.012207,0.476353168,0.002017941,-0.000107917,-0.012832837,0, 0.00.0,0,0,0, 
20200518_160539_2868835242,132931.75,0,592.1236572,261.2558594,0.31460169,-1.939132571,-0.003335813,0.003132031,0.172768682,-27904.01953,6.252727032,-592.0211182,0.476357192,0.002016689,-0.000109321,-0.012832837,0, 0.00.0,0,0,0, 
