Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200804_154015_3083370892,17.78,-0.02,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083420890,17.78,0.39,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083454222,17.78,1.36,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083520886,17.78,1.48,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083587550,17.78,-4.46,0.12,-32,-32,0,0,0,0:00:00
20200804_154015_3083637548,17.78,-16.32,-0.12,-32,-32,1,0,5,0:00:00
20200804_154015_3083704212,17.78,-24.53,-0.36,-32,-32,1,0,5,0:00:00
20200804_154015_3083770876,17.78,-22.57,-0.59,-32,-32,1,0,5,0:00:00
20200804_154015_3083820874,17.78,-31.88,-1.19,-32,-32,1,0,5,0:00:00
20200804_154016_3083870872,17.78,-32,-1.54,-32,-32,1,0,5,0:00:01
20200804_154016_3083920870,17.78,-32,-2.01,-32,-32,1,0,5,0:00:01
20200804_154016_3083987534,17.78,-32,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084037532,17.78,-23.43,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084104196,17.78,-7.03,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084154194,17.78,-0.16,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084220858,17.78,0.83,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084287522,17.78,-0.8,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084354186,17.78,-0.62,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084404184,17.78,0.12,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084470848,17.78,-0.07,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084520846,17.78,0.14,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084587510,17.78,0.03,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084637508,17.78,5.92,-1.9,-32,-32,1,0,5,0:00:01
20200804_154016_3084704172,17.78,13.48,-1.66,-32,-32,1,0,5,0:00:01
20200804_154016_3084754170,17.78,31.75,-1.07,-32,-32,1,0,5,0:00:01
20200804_154017_3084820834,17.78,31.75,-0.59,-32,-32,1,0,5,0:00:02
20200804_154017_3084887498,17.78,31.75,0.35,-32,-32,0,0,5,0:00:02
20200804_154017_3084937496,17.78,31.75,1.29,-32,-32,0,0,5,0:00:02
20200804_154017_3085004160,17.78,31.75,1.88,-32,-32,0,0,5,0:00:02
20200804_154017_3085054158,17.78,31.75,2.35,-32,-32,0,0,5,0:00:02
20200804_154017_3085104156,17.78,31.75,2.47,-32,-32,0,0,5,0:00:02
20200804_154017_3085170820,17.78,23.24,2.47,-32,-32,0,0,5,0:00:02
20200804_154017_3085237484,17.78,7.11,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085287482,17.78,1.51,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085354146,17.78,-0.58,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085420810,17.78,0.33,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085487474,17.78,0.07,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085554138,17.78,0.07,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085620802,17.78,-0.47,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085687466,17.78,-4.96,2.35,-32,-32,0,0,5,0:00:02
20200804_154017_3085737464,17.78,-26.13,1.76,-32,-32,0,0,5,0:00:02
20200804_154018_3085804128,17.78,-32,1.41,-32,-32,0,0,5,0:00:03
20200804_154018_3085854126,17.78,-32,1.18,-32,-32,0,0,5,0:00:03
20200804_154018_3085920790,17.78,-32,1.06,-32,-32,0,0,5,0:00:03
20200804_154018_3085987454,17.78,-18.29,0.82,-32,-32,0,0,5,0:00:03
20200804_154018_3086037452,17.78,-18.53,0.59,-32,-32,1,0,5,0:00:03
20200804_154018_3086104116,17.78,-22.23,0.47,-32,-32,1,0,5,0:00:03
20200804_154018_3086170780,17.78,-18.68,0.35,-32,-32,1,0,5,0:00:03
20200804_154018_3086220778,17.78,-7.15,0.35,-32,-32,1,0,5,0:00:03
20200804_154018_3086270776,17.78,0.46,0.35,-32,-32,1,0,5,0:00:03
20200804_154018_3086337440,17.78,-3.0,0.24,-32,-32,1,0,5,0:00:03
20200804_154018_3086387438,17.78,-14.85,0.0,-32,-32,1,0,5,0:00:03
20200804_154018_3086454102,17.78,-16.87,-0.12,-32,-32,0,0,0,0:00:03
20200804_154018_3086520766,17.78,-8.6,-0.12,-32,-32,0,0,0,0:00:03
20200804_154018_3086570764,17.78,-0.12,-0.12,-32,-32,0,0,0,0:00:03
20200804_154018_3086620762,17.78,1.21,-0.12,-32,-32,0,0,0,0:00:03
20200804_154018_3086704092,17.78,-4.15,-0.12,-32,-32,0,0,0,0:00:03
20200804_154019_3086754090,17.78,-5.66,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3086820754,17.78,-5.18,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3086870752,17.78,-0.45,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3086937416,17.78,0.08,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087004080,17.78,0.32,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087070744,17.78,-0.2,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087154074,17.78,0.07,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087220738,17.78,-0.04,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087270736,17.78,-0.03,-0.12,-32,-32,0,0,0,0:00:04
20200804_154019_3087337400,17.78,-3.71,-0.24,-32,-32,0,0,0,0:00:04
20200804_154019_3087387398,17.78,-11.12,-0.47,-32,-32,0,0,0,0:00:04
20200804_154015_3083370892,17.78,-0.02,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083437556,17.78,1.11,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083520886,17.78,1.48,0.35,-32,-32,0,0,0,0:00:00
20200804_154015_3083604216,17.78,-15.53,0.0,-32,-32,0,0,0,0:00:00
20200804_154015_3083704212,17.78,-24.53,-0.36,-32,-32,1,0,5,0:00:00
20200804_154015_3083787542,17.78,-29.86,-0.95,-32,-32,1,0,5,0:00:00
20200804_154016_3083870872,17.78,-32,-1.54,-32,-32,1,0,5,0:00:01
20200804_154016_3083954202,17.78,-32,-2.01,-32,-32,1,0,5,0:00:01
20200804_154016_3084037532,17.78,-23.43,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084120862,17.78,-1.45,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084220858,17.78,0.83,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084304188,17.78,-0.9,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084404184,17.78,0.12,-2.13,-32,-32,0,0,5,0:00:01
20200804_154016_3084487514,17.78,-0.02,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084587510,17.78,0.03,-2.13,-32,-32,1,0,5,0:00:01
20200804_154016_3084654174,17.78,8.19,-1.78,-32,-32,1,0,5,0:00:01
20200804_154016_3084754170,17.78,31.75,-1.07,-32,-32,1,0,5,0:00:01
20200804_154017_3084837500,17.78,31.75,0.0,-32,-32,0,0,5,0:00:02
20200804_154017_3084937496,17.78,31.75,1.29,-32,-32,0,0,5,0:00:02
20200804_154017_3085037492,17.78,31.75,2.12,-32,-32,0,0,5,0:00:02
20200804_154017_3085104156,17.78,31.75,2.47,-32,-32,0,0,5,0:00:02
20200804_154017_3085220818,17.78,18.73,2.47,-32,-32,0,0,5,0:00:02
20200804_154017_3085287482,17.78,1.51,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085387478,17.78,0.21,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085487474,17.78,0.07,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085587470,17.78,-0.15,2.47,-32,-32,1,0,5,0:00:02
20200804_154017_3085687466,17.78,-4.96,2.35,-32,-32,0,0,5,0:00:02
20200804_154017_3085770796,17.78,-31.02,1.65,-32,-32,0,0,5,0:00:02
20200804_154018_3085854126,17.78,-32,1.18,-32,-32,0,0,5,0:00:03
20200804_154018_3085954122,17.78,-23.86,0.94,-32,-32,0,0,5,0:00:03
20200804_154018_3086037452,17.78,-18.53,0.59,-32,-32,1,0,5,0:00:03
20200804_154018_3086120782,17.78,-20.55,0.35,-32,-32,1,0,5,0:00:03
20200804_154018_3086220778,17.78,-7.15,0.35,-32,-32,1,0,5,0:00:03
20200804_154018_3086304108,17.78,0.13,0.35,-32,-32,1,0,5,0:00:03
