Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140230_1443353162,13.33,1.77,-0.12,-32,-32, 0.0, 0.0,0,0:00:00
20200722_140231_1443436492,13.33,6.03,-0.0,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1443519822,12.7,4.52,0.12,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1443619818,12.7,6.59,0.24,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1443703148,12.7,9.84,0.35,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1443786478,12.7,5.48,0.35,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1443903140,12.7,2.72,0.47,-32,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1444019802,12.7,4.5,0.59,0.91,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1444103132,12.7,2.77,0.59,12.7,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1444186462,12.7,-0.69,0.59,28.12,-32, 0.0, 0.0,0,0:00:01
20200722_140231_1444269792,12.7,-0.95,0.59,31.75,-32, 0.0, 0.0,0,0:00:01
20200722_140232_1444369788,12.7,-4.39,0.35,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444453118,13.33,-6.03,0.35,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444536448,13.33,-2.58,0.35,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444619778,13.33,2.32,0.47,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444719774,13.33,3.3,0.47,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444803104,13.97,3.07,0.59,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444903100,13.97,5.57,0.59,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1444986430,14.61,5.35,0.71,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1445069760,14.61,4.97,0.82,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140232_1445169756,15.24,4.9,0.82,31.75,-32, 0.0, 0.0,0,0:00:02
20200722_140233_1445269752,15.24,-0.17,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445369748,15.88,0.8,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445453078,16.51,7.59,0.94,31.75,-32, 0.0, 0.0,2,0:00:03
20200722_140233_1445553074,16.51,-0.82,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445636404,17.14,-10.29,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445703068,17.14,1.87,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445803064,17.78,6.39,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445903060,18.41,-0.82,0.82,31.75,-32, 0.0, 0.0,0,0:00:03
20200722_140233_1445986390,18.41,5.23,0.94,31.75,-32, 0.0, 0.0,2,0:00:03
20200722_140233_1446069720,19.05,7.36,1.06,31.75,-32, 0.0, 0.0,2,0:00:03
20200722_140234_1446153050,19.68,4.26,1.06,31.75,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446236380,19.68,1.9,1.06,31.75,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446353042,20.32,-4.88,0.94,12.7,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446436372,20.96,-5.42,0.94,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446536368,20.96,-0.77,0.94,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446619698,21.59,2.16,0.94,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446719694,21.59,2.53,0.94,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446803024,22.22,3.32,1.06,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446903020,22.22,3.34,1.06,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1446986350,22.22,5.61,1.18,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140234_1447069680,22.86,10.6,1.29,-32,-32, 0.0, 0.0,2,0:00:04
20200722_140235_1447153010,22.86,11.83,1.41,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447253006,22.86,18.5,1.76,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447336336,22.86,23.78,2.0,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447436332,22.86,15.02,2.12,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447519662,23.5,7.14,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447619658,23.5,3.57,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447686322,23.5,1.22,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447802984,23.5,0.79,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447869648,23.5,-0.04,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140235_1447969644,23.5,0.85,2.23,-32,-32, 0.0, 0.0,2,0:00:05
20200722_140236_1448086306,23.5,0.49,2.23,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448186302,23.5,0.3,2.23,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448286298,23.5,-0.16,2.23,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448352962,23.5,-0.09,2.23,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448486290,23.5,3.67,2.35,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448569620,23.5,5.7,2.35,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448669616,23.5,2.79,2.35,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448752946,24.13,-5.26,2.23,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448852942,24.13,-20.36,1.88,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1448936272,24.13,-28.13,1.65,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140236_1449019602,24.13,-18.77,1.29,-32,-32, 0.0, 0.0,2,0:00:06
20200722_140237_1449119598,24.13,-13.39,1.29,-32,-32, 0.0, 0.0,2,0:00:07
20200722_140237_1449219594,24.13,-2.84,1.18,-32,-32, 0.0, 0.0,2,0:00:07
20200722_140237_1449302924,24.13,-6.85,1.06,-32,-32, 0.0, 0.0,2,0:00:07
20200722_140237_1449386254,24.13,-10.0,0.94,-32,-32, 0.0, 0.0,2,0:00:07
20200722_140237_1449486250,24.13,-13.65,0.82,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140237_1449569580,24.13,-9.68,0.82,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140237_1449669576,24.13,1.57,0.71,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140237_1449786238,24.13,-2.65,0.71,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140237_1449869568,24.13,-22.89,0.12,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140237_1449952898,24.13,-32,-0.36,-32,-32, 0.0, 0.0,0,0:00:07
20200722_140238_1450052894,24.13,-22.63,-0.36,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450119558,24.13,-0.46,-0.36,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450202888,24.13,-3.4,-0.47,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450319550,24.13,-7.18,-0.59,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450402880,24.13,-0.42,-0.59,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450486210,24.13,-0.19,-0.59,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450569540,24.13,-2.54,-0.59,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450669536,24.13,-8.2,-0.71,-32,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450769532,24.13,-7.37,-0.83,-9.14,-32, 0.0, 0.0,0,0:00:08
20200722_140238_1450852862,24.13,-5.01,-0.95,11.79,-32, 0.0, 0.0,1,0:00:08
20200722_140239_1450969524,24.13,-4.71,-0.95,13.61,-32, 0.0, 0.0,1,0:00:09
20200722_140239_1451086186,24.13,-0.35,-0.95,13.61,-32, 0.0, 0.0,1,0:00:09
20200722_140239_1451186182,24.13,-0.19,-0.95,13.61,-32, 0.0, 0.0,1,0:00:09
20200722_140239_1451286178,24.13,-0.85,-0.95,13.61,-32, 0.0, 0.0,1,0:00:09
20200722_140239_1451352842,24.13,-2.61,-1.07,13.61,-32, 0.0, 0.0,1,0:00:09
