Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140230_1443353162,71.0,0.033418,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20200722_140231_1443453158,71.0,0.109055,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443586486,70.0,0.119163,1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443703148,70.0,0.18586,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443836476,70.0,0.08548,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443969804,70.0,0.07678,4.0,17.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444103132,70.0,0.052379,5.0,49.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444219794,70.0,-0.016737,5.0,69.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140232_1444336456,70.0,-0.05741,4.0,86.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444453118,71.0,-0.113004,3.0,95.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444569780,71.0,-0.007611,3.0,98.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444686442,71.0,0.057038,4.0,99.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444803104,72.0,0.057947,5.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444919766,72.0,0.114264,6.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1445036428,73.0,0.095637,6.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1445169756,74.0,0.092538,7.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140233_1445303084,75.0,-0.009745,7.0,100.0,0.0, 0.0, 0.0,0,0:00:03
20200722_140233_1445403080,75.0,0.066515,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445436412,75.0,0.107419,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445453078,76.0,0.143446,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445486410,76.0,0.149674,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445553074,76.0,-0.01532,7.0,100.0,0.0, 0.0, 0.0,0,0:00:03
20200722_140233_1445669736,77.0,-0.162628,7.0,100.0,0.0, 0.0, 0.0,0,0:00:03
20200722_140233_1445769732,78.0,0.125693,7.0,100.0,0.0, 0.0, 0.0,0,0:00:03
20200722_140233_1445903060,79.0,-0.01534,7.0,100.0,0.0, 0.0, 0.0,0,0:00:03
20200722_140233_1445919726,79.0,0.015818,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445953058,79.0,0.036713,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1445986390,79.0,0.098751,8.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1446019722,80.0,0.155642,9.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1446053054,80.0,0.161022,9.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1446069720,80.0,0.139045,9.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1446086386,80.0,0.118742,9.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140233_1446119718,80.0,0.115111,9.0,100.0,0.0, 0.0, 0.0,2,0:00:03
20200722_140234_1446153050,81.0,0.08058,9.0,100.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446186382,81.0,0.065573,9.0,100.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446203048,81.0,0.054392,9.0,99.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446236380,81.0,0.035817,9.0,98.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446286378,81.0,0.018609,9.0,88.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446319710,82.0,-0.059468,8.0,72.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446353042,82.0,-0.091586,8.0,49.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446386374,82.0,-0.117954,8.0,19.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446419706,83.0,-0.125837,8.0,8.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446436372,83.0,-0.101562,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446469704,83.0,-0.070027,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446503036,83.0,-0.04608,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446536368,83.0,-0.014454,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446569700,84.0,0.022984,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446586366,84.0,0.038817,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446619698,84.0,0.040739,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446653030,84.0,0.044641,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446686362,84.0,0.043105,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446719694,84.0,0.047843,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446753026,84.0,0.05205,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446786358,85.0,0.060684,8.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446803024,85.0,0.062663,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446836356,85.0,0.065023,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446869688,85.0,0.063951,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446903020,85.0,0.063177,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446919686,85.0,0.065962,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446953018,85.0,0.071837,9.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1446986350,85.0,0.105946,10.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1447003016,85.0,0.140701,10.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1447036348,86.0,0.150796,11.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140234_1447069680,86.0,0.200235,11.0,0.0,0.0, 0.0, 0.0,2,0:00:04
20200722_140235_1447086346,86.0,0.215588,11.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447119678,86.0,0.222247,12.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447153010,86.0,0.223595,12.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447186342,86.0,0.251464,13.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447219674,86.0,0.292078,14.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447253006,86.0,0.34961,15.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447269672,86.0,0.423636,16.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447303004,86.0,0.446219,17.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447336336,86.0,0.449358,17.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447369668,86.0,0.437165,18.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447403000,86.0,0.360465,18.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447436332,86.0,0.283928,18.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447452998,86.0,0.197108,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447486330,86.0,0.174031,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447519662,87.0,0.134955,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447552994,87.0,0.113025,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447586326,87.0,0.095475,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447619658,87.0,0.067375,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447636324,87.0,0.05829,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447669656,87.0,0.046884,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447686322,87.0,0.022992,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447719654,87.0,0.006471,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447752986,87.0,-0.004324,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
20200722_140235_1447802984,87.0,0.014967,19.0,0.0,0.0, 0.0, 0.0,2,0:00:05
