Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_133434_1079223496,24.77,-31.46,-0.12,-32,-32, 0.0, 0.0,0,0:00:00
20200803_133434_1079306826,24.77,-28.16,-0.24,-32,-32, 0.0, 0.0,0,0:00:00
20200803_133434_1079406822,24.77,-0.39,-0.24,-32,-32, 0.0, 0.0,0,0:00:00
20200803_133434_1079490152,24.77,3.34,-0.12,-32,-32, 0.0, 1.0,4,0:00:00
20200803_133435_1079590148,24.13,10.51,0.12,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133435_1079673478,24.13,19.78,0.24,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133435_1079773474,24.13,22.01,0.59,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133435_1079873470,24.13,28.5,1.06,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133435_1079940134,24.13,26.86,1.29,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133435_1080040130,24.13,11.58,1.29,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133435_1080140126,24.13,6.28,1.41,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133435_1080223456,24.13,14.28,1.65,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133435_1080340118,24.13,8.06,1.65,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133435_1080423448,23.5,-2.49,1.65,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133436_1080523444,23.5,-9.05,1.41,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133436_1080590108,23.5,-22.5,1.06,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133436_1080706770,23.5,-32,0.59,-32,-32, 0.0, 0.0,4,0:00:02
20200803_133436_1080790100,23.5,-32,0.12,-32,-32, 0.0, 0.0,4,0:00:02
20200803_133436_1080873430,23.5,-32,-0.83,-32,-32, 0.0, 0.0,4,0:00:02
20200803_133436_1080973426,23.5,-32,-1.07,-32,-32, 0.0, 0.0,4,0:00:02
20200803_133436_1081073422,22.86,-10.78,-1.07,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133436_1081140086,22.86,-0.89,-1.19,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133436_1081240082,22.86,-15.9,-1.54,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133436_1081323412,22.86,-21.36,-1.78,-32,-32, 0.0, 1.0,4,0:00:02
20200803_133437_1081423408,22.86,-12.98,-1.9,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133437_1081523404,22.86,-13.52,-2.13,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133437_1081606734,22.86,-19.0,-2.37,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133437_1081690064,22.86,-10.25,-2.37,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133437_1081790060,22.22,10.17,-2.01,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133437_1081873390,22.22,31.75,-1.07,-32,-32, 0.0, 1.0,4,0:00:03
20200803_133437_1081973386,22.22,31.75,-0.59,-32,-32, 0.0, 1.0,4,0:00:03
20200803_133437_1082090048,22.22,31.75,-0.12,-32,-32, 0.0, 1.0,4,0:00:03
20200803_133437_1082206710,22.22,2.05,-0.24,-32,-32, 0.0, 1.0,4,0:00:03
20200803_133437_1082306706,22.22,-25.15,-0.59,-32,-32, 0.0, 0.0,4,0:00:03
20200803_133438_1082390036,22.22,-18.92,-0.83,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133438_1082473366,21.59,-7.95,-0.71,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133438_1082556696,21.59,5.15,-0.71,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133438_1082640026,21.59,7.65,-0.59,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133438_1082740022,21.59,9.01,-0.47,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133438_1082840018,21.59,3.42,-0.47,-32,-32, 0.0, 0.0,0,0:00:04
20200803_133438_1082923348,21.59,-0.79,-0.47,-32,-32, 0.0, 0.0,0,0:00:04
20200803_133438_1082990012,21.59,0.05,-0.47,-32,-32, 0.0, 0.0,0,0:00:04
20200803_133438_1083106674,21.59,0.01,-0.47,-32,-32, 0.0, 0.0,0,0:00:04
20200803_133438_1083223336,20.96,0.05,-0.47,-32,-32, 0.0, 0.0,0,0:00:04
