Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_133621_1169719876,2.54,0.13,0.12,-32,-32, 0.0, 0.0,0,0:00:01
20200803_133621_1169803206,2.54,-0.05,0.12,-32,-32, 0.0, 0.0,0,0:00:01
20200803_133621_1169919868,2.54,-0.52,0.12,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133621_1170003198,2.54,-3.92,-0.0,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133621_1170086528,2.54,0.88,0.35,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133621_1170169858,2.54,29.49,1.06,-32,-32, 0.0, 1.0,4,0:00:01
20200803_133621_1170286520,2.54,31.75,1.76,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133621_1170369850,2.54,20.19,1.88,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133621_1170469846,2.54,-0.05,1.88,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133621_1170553176,2.54,-1.07,1.88,-32,-32, 0.0, 0.0,4,0:00:01
20200803_133622_1170636506,2.54,0.21,1.88,-11.89,-32, 0.0, 1.0,4,0:00:02
20200803_133622_1170736502,2.54,-0.67,1.88,15.42,-32, 0.0, 1.0,4,0:00:02
20200803_133622_1170803166,2.54,-1.39,1.76,15.42,-32, 0.0, 1.0,4,0:00:02
20200803_133622_1170903162,2.54,-2.01,1.76,15.42,-32, 0.0, 1.0,4,0:00:02
20200803_133622_1171003158,2.54,-1.7,1.76,15.42,-32, 0.0, 1.0,4,0:00:02
20200803_133622_1171119820,2.54,-2.04,1.65,15.42,-32, 0.0, 0.0,4,0:00:02
20200803_133622_1171203150,2.54,-5.29,1.53,15.42,-32, 0.0, 0.0,4,0:00:02
20200803_133622_1171286480,3.18,-9.48,1.18,16.33,-32, 0.0, 0.0,4,0:00:02
20200803_133622_1171403142,3.18,-29.85,0.35,16.33,-32, 0.0, 0.0,4,0:00:02
20200803_133622_1171469806,3.18,-32,-0.71,16.33,-32, 0.0, 1.0,4,0:00:02
20200803_133623_1171569802,3.18,-32,-1.54,20.86,-32, 0.0, 1.0,4,0:00:03
20200803_133623_1171653132,3.81,-32,-1.9,24.49,-32, 0.0, 1.0,4,0:00:03
20200803_133623_1171753128,3.81,-21.41,-2.37,24.49,-32, 0.0, 1.0,4,0:00:03
20200803_133623_1171836458,3.81,-18.16,-2.61,24.49,-32, 0.0, 0.0,4,0:00:03
20200803_133623_1171936454,3.81,-16.69,-3.08,24.49,-32, 0.0, 0.0,4,0:00:03
20200803_133623_1172019784,4.45,-20.24,-3.44,24.49,-32, 0.0, 0.0,4,0:00:03
20200803_133623_1172119780,4.45,-13.86,-3.56,24.49,-32, 0.0, 0.0,4,0:00:03
20200803_133623_1172203110,5.08,-0.21,-3.44,24.49,-32, 0.0, 0.0,4,0:00:03
20200803_133623_1172303106,5.08,9.94,-3.08,24.49,-32, 0.0, 1.0,4,0:00:03
20200803_133623_1172403102,5.08,31.75,-2.13,24.49,-32, 0.0, 1.0,4,0:00:03
20200803_133623_1172486432,5.71,31.75,-1.42,24.49,-32, 0.0, 1.0,4,0:00:03
20200803_133624_1172569762,5.71,31.75,-0.83,-2.74,-32, 0.0, 1.0,4,0:00:04
20200803_133624_1172653092,5.71,31.75,-0.24,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133624_1172753088,6.35,21.91,0.12,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133624_1172853084,6.35,-10.51,-0.36,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133624_1172936414,6.35,-28.92,-0.95,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133624_1173019744,6.99,-25.13,-1.19,-32,-32, 0.0, 0.0,4,0:00:04
20200803_133624_1173103074,6.99,-0.65,-1.07,-32,-32, 0.0, 1.0,4,0:00:04
20200803_133624_1173186404,6.99,3.94,-1.07,-32,-32, 0.0, 1.0,4,0:00:04
20200803_133624_1173286400,6.99,2.87,-0.95,-32,-32, 0.0, 1.0,4,0:00:04
20200803_133624_1173369730,6.99,2.37,-0.95,-32,-32, 0.0, 1.0,4,0:00:04
20200803_133625_1173469726,6.99,0.01,-0.95,-32,-32, 0.0, 0.0,4,0:00:05
20200803_133625_1173553056,6.99,-0.07,-0.95,-32,-32, 0.0, 0.0,4,0:00:05
20200803_133625_1173653052,6.99,0.01,-0.95,-32,-32, 0.0, 0.0,4,0:00:05
