Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200804_154302_3238281362,26.04,10.19,0.0,-32,-32,0,0,0,0:00:00
20200804_154302_3238331360,26.04,9.36,0.12,-32,-32,0,0,0,0:00:00
20200804_154302_3238364692,26.04,15.12,0.24,-32,-32,0,0,0,0:00:00
20200804_154302_3238431356,26.04,14.77,0.35,-32,-32,0,0,0,0:00:00
20200804_154302_3238498020,26.04,10.24,0.24,-32,-32,1,0,5,0:00:00
20200804_154302_3238564684,26.04,-0.78,0.24,-32,-32,1,0,5,0:00:00
20200804_154302_3238614682,26.04,-13.06,-0.24,-32,-32,1,0,5,0:00:00
20200804_154303_3238664680,26.04,-32,-1.3,-32,-32,1,0,5,0:00:01
20200804_154303_3238748010,26.04,-32,-1.9,-32,-32,1,0,5,0:00:01
20200804_154303_3238814674,26.04,-32,-2.37,-32,-32,1,0,5,0:00:01
20200804_154303_3238864672,26.04,-32,-2.61,-32,-32,0,0,5,0:00:01
20200804_154303_3238914670,26.04,-32,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3238981334,26.04,-26.91,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239031332,26.04,-12.72,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239097996,26.04,-7.33,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239147994,26.04,-6.46,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239214658,26.04,2.96,-2.73,-32,-32,0,0,5,0:00:01
20200804_154303_3239281322,26.04,19.42,-2.49,-32,-32,1,0,5,0:00:01
20200804_154303_3239347986,26.04,31.75,-1.42,-32,-32,1,0,5,0:00:01
20200804_154303_3239414650,26.04,31.75,-0.83,-32,-32,1,0,5,0:00:01
20200804_154303_3239481314,26.04,31.75,0.24,-32,-32,1,0,5,0:00:01
20200804_154303_3239547978,26.04,31.75,0.94,-32,-32,1,0,5,0:00:01
20200804_154304_3239597976,26.04,31.75,1.53,-32,-32,1,0,5,0:00:02
20200804_154304_3239664640,26.04,31.75,1.88,-32,-32,0,0,5,0:00:02
20200804_154304_3239731304,26.04,31.75,2.23,-32,-32,0,0,5,0:00:02
20200804_154304_3239781302,26.04,31.75,2.7,-32,-32,0,0,5,0:00:02
20200804_154304_3239831300,26.04,31.75,2.82,-32,-32,0,0,5,0:00:02
20200804_154304_3239897964,26.04,28.5,2.82,-32,-32,0,0,5,0:00:02
20200804_154304_3239964628,26.04,4.52,2.59,-32,-32,0,0,5,0:00:02
20200804_154304_3240031292,26.04,-13.7,2.35,-32,-32,0,0,5,0:00:02
20200804_154304_3240081290,26.04,-32,1.88,-32,-32,1,0,5,0:00:02
20200804_154304_3240147954,26.04,-32,1.65,-32,-32,1,0,5,0:00:02
20200804_154304_3240214618,26.04,-32,1.41,-32,-32,1,0,5,0:00:02
20200804_154304_3240264616,26.04,-32,0.94,-32,-32,1,0,5,0:00:02
20200804_154304_3240331280,26.04,-32,0.59,-32,-32,1,0,5,0:00:02
20200804_154304_3240397944,26.04,-32,0.47,-32,-32,1,0,5,0:00:02
20200804_154304_3240447942,26.04,-19.94,0.35,-32,-32,0,0,0,0:00:02
20200804_154304_3240514606,26.04,-18.79,0.0,-32,-32,0,0,0,0:00:02
20200804_154305_3240564604,26.04,-28.83,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240631268,26.04,-27.45,-0.24,-32,-32,0,0,0,0:00:03
20200804_154305_3240697932,26.04,-15.04,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240747930,26.04,2.16,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240814594,26.04,3.08,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240864592,26.04,-1.23,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240931256,26.04,-0.27,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3240997920,26.04,6.53,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3241047918,25.4,8.44,-0.12,-32,-32,0,0,0,0:00:03
20200804_154305_3241114582,25.4,4.68,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241164580,25.4,-0.88,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241231244,25.4,-0.88,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241297908,25.4,0.07,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241347906,25.4,0.38,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241414570,25.4,-0.05,0.0,-32,-32,0,0,0,0:00:03
20200804_154305_3241481234,25.4,-0.04,0.0,-32,-32,0,0,0,0:00:03
20200804_154302_3238281362,26.04,10.19,0.0,-32,-32,0,0,0,0:00:00
20200804_154302_3238348026,26.04,13.83,0.24,-32,-32,0,0,0,0:00:00
20200804_154302_3238431356,26.04,14.77,0.35,-32,-32,0,0,0,0:00:00
20200804_154302_3238531352,26.04,6.66,0.24,-32,-32,1,0,5,0:00:00
20200804_154302_3238614682,26.04,-13.06,-0.24,-32,-32,1,0,5,0:00:00
20200804_154303_3238698012,26.04,-32,-1.66,-32,-32,1,0,5,0:00:01
20200804_154303_3238814674,26.04,-32,-2.37,-32,-32,1,0,5,0:00:01
20200804_154303_3238898004,26.04,-32,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3238981334,26.04,-26.91,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239064664,26.04,-10.4,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239147994,26.04,-6.46,-2.84,-32,-32,0,0,5,0:00:01
20200804_154303_3239231324,26.04,14.01,-2.49,-32,-32,0,0,5,0:00:01
20200804_154303_3239347986,26.04,31.75,-1.42,-32,-32,1,0,5,0:00:01
20200804_154303_3239447982,26.04,31.75,-0.36,-32,-32,1,0,5,0:00:01
