Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_133243_980110794,27.94,-1.58,-0.59,-32,-32,0,0,0,0:00:00
20200803_133243_980177458,27.94,-0.7,-0.59,-32,-32,0,0,0,0:00:00
20200803_133243_980210790,27.3,-4.55,-0.71,-32,-32,0,0,0,0:00:00
20200803_133243_980277454,27.3,-4.81,-0.59,-32,-32,0,0,0,0:00:00
20200803_133243_980344118,27.3,2.76,-0.47,-32,-32,0,0,0,0:00:00
20200803_133243_980394116,27.3,10.15,-0.47,-32,-32,0,0,0,0:00:00
20200803_133243_980460780,27.3,16.05,-0.24,-32,-32,0,1,6,0:00:00
20200803_133243_980527444,27.3,20.55,-0.12,-32,-32,0,1,6,0:00:00
20200803_133244_980594108,27.3,25.93,0.24,-32,-32,0,1,6,0:00:01
20200803_133244_980677438,27.3,21.31,0.47,-32,-32,0,1,6,0:00:01
20200803_133244_980744102,27.3,16.15,0.47,-32,-32,0,1,6,0:00:01
20200803_133244_980794100,27.3,14.12,0.59,-32,-32,0,1,6,0:00:01
20200803_133244_980860764,27.3,10.83,0.71,-32,-32,0,0,6,0:00:01
20200803_133244_980910762,27.3,12.16,0.94,-32,-32,0,0,6,0:00:01
20200803_133244_980977426,27.3,19.47,1.06,-32,-32,0,0,6,0:00:01
20200803_133244_981027424,27.3,28.1,1.41,-32,-32,0,0,6,0:00:01
20200803_133244_981094088,27.3,31.56,1.65,-32,-32,0,0,6,0:00:01
20200803_133244_981144086,27.3,31.7,1.76,-32,-32,0,0,6,0:00:01
20200803_133244_981194084,27.3,28.25,1.88,-32,-32,0,0,6,0:00:01
20200803_133244_981260748,27.3,14.87,1.88,-32,-32,0,1,6,0:00:01
20200803_133244_981327412,27.3,1.02,1.88,-32,-32,0,1,6,0:00:01
20200803_133244_981377410,27.3,-1.02,1.88,-32,-32,0,1,6,0:00:01
20200803_133245_981444074,27.3,-0.32,1.88,-32,-32,0,1,6,0:00:02
20200803_133245_981494072,27.3,-3.3,1.76,-32,-32,0,1,6,0:00:02
20200803_133245_981544070,26.67,-16.28,1.41,-32,-32,0,1,6,0:00:02
20200803_133245_981610734,26.67,-32,1.06,-32,-32,0,1,6,0:00:02
20200803_133245_981677398,26.67,-32,0.71,-32,-32,0,0,6,0:00:02
20200803_133245_981744062,26.67,-26.76,0.71,-32,-32,0,0,6,0:00:02
20200803_133245_981794060,26.67,-1.41,0.71,-32,-32,0,0,6,0:00:02
20200803_133245_981844058,26.67,3.33,0.71,-32,-32,0,0,6,0:00:02
20200803_133245_981910722,26.67,-7.3,0.47,-32,-32,0,0,6,0:00:02
20200803_133245_981977386,26.67,-29.68,-0.24,-32,-32,0,0,6,0:00:02
20200803_133245_982044050,26.67,-32,-0.47,-32,-32,0,1,6,0:00:02
20200803_133245_982094048,26.67,-32,-1.3,-32,-32,0,1,6,0:00:02
20200803_133245_982144046,26.67,-32,-1.42,-32,-32,0,1,6,0:00:02
20200803_133245_982210710,26.67,-32,-1.54,-32,-32,0,1,6,0:00:02
20200803_133245_982260708,26.67,-14.75,-1.66,-32,-32,0,1,6,0:00:02
20200803_133245_982327372,26.67,-8.83,-1.9,-32,-32,0,1,6,0:00:02
20200803_133245_982394036,26.67,-14.98,-2.13,-32,-32,0,1,6,0:00:02
20200803_133246_982444034,26.67,-29.86,-2.25,-32,-32,0,0,6,0:00:03
20200803_133246_982510698,26.67,-24.15,-2.25,-32,-32,0,0,6,0:00:03
20200803_133246_982560696,26.67,-14.93,-2.25,-32,-32,0,0,6,0:00:03
20200803_133246_982644026,26.67,-0.36,-2.25,-32,-32,0,0,6,0:00:03
20200803_133246_982710690,26.67,18.66,-1.78,-32,-32,0,0,6,0:00:03
20200803_133246_982794020,26.67,30.58,-1.42,-32,-32,0,0,6,0:00:03
20200803_133246_982860684,26.67,31.75,-0.95,-32,-32,0,1,6,0:00:03
20200803_133246_982927348,26.67,31.75,-0.71,-32,-32,0,1,6,0:00:03
20200803_133246_982977346,26.04,28.57,-0.71,-32,-32,0,1,6,0:00:03
20200803_133246_983044010,26.04,6.43,-0.83,-32,-32,0,1,6,0:00:03
20200803_133246_983094008,26.04,-8.74,-0.83,-32,-32,0,1,6,0:00:03
20200803_133246_983144006,26.04,-8.92,-0.83,-32,-32,0,1,6,0:00:03
20200803_133246_983227336,26.04,-0.58,-0.83,-32,-32,0,1,6,0:00:03
20200803_133246_983260668,26.04,5.97,-0.71,-32,-32,0,0,0,0:00:03
20200803_133246_983343998,26.04,15.65,-0.47,-32,-32,0,0,0,0:00:03
20200803_133247_983427328,26.04,17.5,-0.36,-32,-32,0,0,0,0:00:04
20200803_133247_983493992,26.04,9.07,-0.36,-32,-32,0,0,0,0:00:04
20200803_133247_983560656,26.04,3.43,-0.24,-32,-32,0,0,0,0:00:04
20200803_133247_983610654,26.04,8.01,-0.12,-32,-32,0,0,0,0:00:04
20200803_133247_983693984,26.04,17.1,0.0,-32,-32,0,0,0,0:00:04
20200803_133247_983760648,26.04,10.0,0.0,-32,-32,0,0,0,0:00:04
20200803_133247_983810646,26.04,3.52,0.0,-32,-32,0,0,0,0:00:04
20200803_133247_983877310,26.04,-1.47,0.0,-32,-32,0,0,0,0:00:04
20200803_133247_983927308,26.04,-0.41,0.12,-32,-32,0,0,0,0:00:04
20200803_133247_983977306,26.04,9.08,0.24,-32,-32,0,0,0,0:00:04
20200803_133243_980110794,27.94,-1.58,-0.59,-32,-32,0,0,0,0:00:00
20200803_133243_980194124,27.3,-3.49,-0.71,-32,-32,0,0,0,0:00:00
20200803_133243_980277454,27.3,-4.81,-0.59,-32,-32,0,0,0,0:00:00
20200803_133243_980360784,27.3,7.66,-0.47,-32,-32,0,0,0,0:00:00
20200803_133243_980460780,27.3,16.05,-0.24,-32,-32,0,1,6,0:00:00
20200803_133244_980577442,27.3,25.08,0.12,-32,-32,0,1,6,0:00:01
20200803_133244_980677438,27.3,21.31,0.47,-32,-32,0,1,6,0:00:01
20200803_133244_980777434,27.3,15.35,0.59,-32,-32,0,1,6,0:00:01
20200803_133244_980860764,27.3,10.83,0.71,-32,-32,0,0,6,0:00:01
20200803_133244_980944094,27.3,16.13,0.94,-32,-32,0,0,6,0:00:01
20200803_133244_981027424,27.3,28.1,1.41,-32,-32,0,0,6,0:00:01
20200803_133244_981110754,27.3,31.75,1.76,-32,-32,0,0,6,0:00:01
20200803_133244_981194084,27.3,28.25,1.88,-32,-32,0,0,6,0:00:01
20200803_133244_981310746,27.3,7.71,1.88,-32,-32,0,1,6,0:00:01
20200803_133244_981377410,27.3,-1.02,1.88,-32,-32,0,1,6,0:00:01
20200803_133245_981460740,27.3,-2.55,1.76,-32,-32,0,1,6,0:00:02
