Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_121747_934062636,24.13,0.02,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934112634,24.13,0.04,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934145966,24.13,-0.01,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934212630,24.13,-0.04,-0.12,-4.57,-32,0,1,6,0:00:00
20200805_121747_934279294,24.13,6.24,0.0,-4.57,-32,0,1,6,0:00:00
20200805_121747_934345958,24.13,8.33,0.12,-4.57,-32,0,1,6,0:00:00
20200805_121747_934395956,24.13,11.8,0.47,-4.57,-32,0,1,6,0:00:00
20200805_121747_934445954,24.13,27.99,0.82,-4.57,-32,0,1,6,0:00:00
20200805_121747_934529284,24.13,31.75,1.53,-4.57,-32,0,1,6,0:00:00
20200805_121747_934562616,24.13,31.75,1.88,-4.57,-32,0,0,6,0:00:00
20200805_121747_934629280,24.13,31.75,2.23,-4.57,-32,0,0,6,0:00:00
20200805_121747_934662612,24.13,31.75,2.35,-4.57,-32,0,0,6,0:00:00
20200805_121747_934745942,24.13,24.71,2.35,-4.57,-32,0,0,6,0:00:00
20200805_121748_934812606,24.77,-0.16,2.35,-4.57,-32,0,0,6,0:00:01
20200805_121748_934879270,24.77,-4.08,2.23,-4.57,-32,0,0,6,0:00:01
20200805_121748_934929268,24.77,-10.24,2.12,-4.57,-32,0,0,6,0:00:01
20200805_121748_934979266,24.77,-18.81,1.88,-4.57,-32,0,1,6,0:00:01
20200805_121748_935045930,24.77,-28.88,1.65,-4.57,-32,0,1,6,0:00:01
20200805_121748_935112594,24.77,-32,1.18,-4.57,-32,0,1,6,0:00:01
20200805_121748_935179258,24.77,-32,0.59,-4.57,-32,0,1,6,0:00:01
20200805_121748_935229256,24.77,-32,0.35,-4.57,-32,0,1,6,0:00:01
20200805_121748_935295920,24.77,-32,0.24,-4.57,-32,0,1,6,0:00:01
20200805_121748_935362584,24.77,-12.26,0.24,-4.57,-32,0,0,6,0:00:01
20200805_121748_935412582,24.77,-3.69,0.24,-4.57,-32,0,0,6,0:00:01
20200805_121748_935462580,24.77,-9.21,0.0,-4.57,-32,0,0,6,0:00:01
20200805_121748_935529244,24.77,-16.64,-0.24,-4.57,-32,0,0,6,0:00:01
20200805_121748_935595908,25.4,-32,-0.59,-4.57,-32,0,0,6,0:00:01
20200805_121748_935662572,25.4,-32,-0.95,-4.57,-32,0,0,6,0:00:01
20200805_121748_935712570,25.4,-32,-1.07,-4.57,-32,0,0,6,0:00:01
20200805_121749_935779234,25.4,-26.95,-1.3,-4.57,-32,0,1,6,0:00:02
20200805_121749_935829232,25.4,-22.89,-1.54,-4.57,-32,0,1,6,0:00:02
20200805_121749_935895896,25.4,-24.6,-1.66,-4.57,-32,0,1,6,0:00:02
20200805_121749_935945894,25.4,-24.7,-1.78,-4.57,-32,0,1,6,0:00:02
20200805_121749_936012558,25.4,-18.2,-1.9,-4.57,-32,0,1,6,0:00:02
20200805_121749_936062556,25.4,-10.75,-1.9,-4.57,-32,0,1,6,0:00:02
20200805_121749_936112554,25.4,-8.97,-2.13,-4.57,-32,0,1,6,0:00:02
20200805_121749_936179218,25.4,-10.87,-2.13,-4.57,-32,0,0,6,0:00:02
20200805_121749_936245882,25.4,-8.7,-2.13,-4.57,-32,0,0,6,0:00:02
20200805_121749_936295880,25.4,-2.18,-2.13,-4.57,-32,0,0,6,0:00:02
20200805_121749_936362544,25.4,3.07,-2.01,-4.57,-32,0,0,6,0:00:02
20200805_121749_936462540,26.04,27.13,-1.42,-4.57,-32,0,0,6,0:00:02
20200805_121749_936512538,26.04,31.75,-0.59,-4.57,-32,0,0,0,0:00:02
20200805_121749_936579202,26.04,31.75,0.0,-4.57,-32,0,1,0,0:00:02
20200805_121749_936645866,26.04,31.75,0.24,-4.57,-32,0,1,0,0:00:02
20200805_121750_936712530,26.04,31.75,0.24,-4.57,-32,0,1,0,0:00:03
20200805_121750_936762528,26.04,6.03,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936829192,26.04,-3.87,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936879190,26.04,-2.6,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936945854,26.04,-0.12,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936995852,26.04,-0.57,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937062516,26.04,-0.39,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937112514,26.04,-0.0,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937179178,26.67,0.1,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121750_937245842,26.67,-0.0,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121750_937295840,26.67,0.02,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121750_937362504,26.67,0.04,0.24,-2.74,-32,0,0,0,0:00:03
20200805_121750_937429168,26.67,0.03,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121747_934062636,24.13,0.02,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934129300,24.13,0.02,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934212630,24.13,-0.04,-0.12,-4.57,-32,0,1,6,0:00:00
20200805_121747_934312626,24.13,6.21,0.0,-4.57,-32,0,1,6,0:00:00
20200805_121747_934395956,24.13,11.8,0.47,-4.57,-32,0,1,6,0:00:00
20200805_121747_934479286,24.13,31.75,1.29,-4.57,-32,0,1,6,0:00:00
20200805_121747_934562616,24.13,31.75,1.88,-4.57,-32,0,0,6,0:00:00
20200805_121747_934645946,24.13,31.75,2.35,-4.57,-32,0,0,6,0:00:00
20200805_121747_934745942,24.13,24.71,2.35,-4.57,-32,0,0,6,0:00:00
20200805_121748_934845938,24.77,-3.48,2.35,-4.57,-32,0,0,6,0:00:01
20200805_121748_934929268,24.77,-10.24,2.12,-4.57,-32,0,0,6,0:00:01
20200805_121748_935012598,24.77,-23.26,1.65,-4.57,-32,0,1,6,0:00:01
20200805_121748_935112594,24.77,-32,1.18,-4.57,-32,0,1,6,0:00:01
20200805_121748_935212590,24.77,-32,0.47,-4.57,-32,0,1,6,0:00:01
20200805_121748_935295920,24.77,-32,0.24,-4.57,-32,0,1,6,0:00:01
20200805_121748_935395916,24.77,-7.17,0.24,-4.57,-32,0,0,6,0:00:01
20200805_121748_935462580,24.77,-9.21,0.0,-4.57,-32,0,0,6,0:00:01
20200805_121748_935562576,24.77,-24.36,-0.36,-4.57,-32,0,0,6,0:00:01
20200805_121748_935662572,25.4,-32,-0.95,-4.57,-32,0,0,6,0:00:01
20200805_121749_935745902,25.4,-31.27,-1.19,-4.57,-32,0,1,6,0:00:02
20200805_121749_935829232,25.4,-22.89,-1.54,-4.57,-32,0,1,6,0:00:02
20200805_121749_935912562,25.4,-25.31,-1.78,-4.57,-32,0,1,6,0:00:02
20200805_121749_936012558,25.4,-18.2,-1.9,-4.57,-32,0,1,6,0:00:02
20200805_121749_936095888,25.4,-7.8,-2.01,-4.57,-32,0,1,6,0:00:02
20200805_121749_936179218,25.4,-10.87,-2.13,-4.57,-32,0,0,6,0:00:02
20200805_121749_936279214,25.4,-6.35,-2.13,-4.57,-32,0,0,6,0:00:02
20200805_121749_936362544,25.4,3.07,-2.01,-4.57,-32,0,0,6,0:00:02
20200805_121749_936479206,26.04,31.75,-0.83,-4.57,-32,0,0,6,0:00:02
20200805_121749_936579202,26.04,31.75,0.0,-4.57,-32,0,1,0,0:00:02
20200805_121749_936662532,26.04,31.75,0.24,-4.57,-32,0,1,0,0:00:02
20200805_121750_936762528,26.04,6.03,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936845858,26.04,-3.46,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_936945854,26.04,-0.12,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937029184,26.04,-0.58,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937112514,26.04,-0.0,0.24,-4.57,-32,0,0,0,0:00:03
20200805_121750_937212510,26.67,0.07,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121750_937295840,26.67,0.02,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121750_937379170,26.67,0.03,0.24,-3.66,-32,0,0,0,0:00:03
20200805_121747_934079302,24.13,0.02,-0.12,-4.57,-32,0,0,0,0:00:00
20200805_121747_934162632,24.13,-0.03,-0.12,-4.57,-32,0,1,6,0:00:00
20200805_121747_934312626,24.13,6.21,0.0,-4.57,-32,0,1,6,0:00:00
20200805_121747_934412622,24.13,21.67,0.71,-4.57,-32,0,1,6,0:00:00
20200805_121747_934545950,24.13,31.75,1.76,-4.57,-32,0,0,6,0:00:00
20200805_121747_934645946,24.13,31.75,2.35,-4.57,-32,0,0,6,0:00:00
20200805_121748_934795940,24.77,17.47,2.35,-4.57,-32,0,0,6,0:00:01
20200805_121748_934895936,24.77,-7.26,2.12,-4.57,-32,0,0,6,0:00:01
20200805_121748_935012598,24.77,-23.26,1.65,-4.57,-32,0,1,6,0:00:01
