Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200806_151956_1466995810,24.77,-0.97,1.06,-21.03,-32, 0.0, 0.0,2,0:00:00
20200806_151956_1467062474,24.77,-0.38,0.94,-15.54,-32, 0.0, 0.0,2,0:00:00
20200806_151956_1467145804,24.13,-1.93,0.94,-12.8,-32, 0.0, 0.0,2,0:00:00
20200806_151956_1467195802,24.13,-2.5,0.94,-12.8,-32, 0.0, 0.0,2,0:00:00
20200806_151957_1467245800,24.13,-2.18,0.94,-11.89,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467312464,24.13,-1.5,0.94,-10.97,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467379128,24.13,1.27,0.94,-10.97,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467445792,24.13,2.85,1.06,-9.14,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467495790,24.13,4.34,1.06,-3.66,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467545788,24.13,4.32,1.06,4.54,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467629118,24.13,3.28,1.06,7.26,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467679116,24.13,2.44,1.06,8.16,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467729114,24.13,0.29,1.06,10.89,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467812444,24.77,0.23,1.06,10.89,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467879108,24.77,0.88,1.18,11.79,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467929106,24.77,2.46,1.18,12.7,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1467979104,24.77,2.92,1.18,15.42,-32, 0.0, 0.0,2,0:00:01
20200806_151957_1468045768,24.77,3.32,1.18,15.42,-32, 0.0, 0.0,2,0:00:01
20200806_151958_1468129098,24.77,5.79,1.29,17.24,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468195762,24.77,12.59,1.53,19.05,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468262426,24.77,16.33,1.65,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468345756,24.77,20.46,1.88,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468379088,24.77,17.14,1.88,19.05,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468445752,24.77,8.57,2.0,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468512416,24.77,4.42,2.0,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468595746,24.77,-0.19,1.88,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468679076,24.77,-2.81,1.88,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468712408,25.4,-19.21,1.53,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468795738,25.4,-22.16,1.41,19.96,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468862402,25.4,-7.03,1.41,21.77,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468895734,25.4,-3.76,1.41,21.77,-32, 0.0, 0.0,2,0:00:02
20200806_151958_1468962398,25.4,1.09,1.41,22.68,-32, 0.0, 0.0,2,0:00:02
20200806_151959_1469012396,25.4,1.13,1.41,22.68,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469062394,25.4,1.06,1.41,22.68,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469129058,25.4,0.17,1.41,22.68,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469179056,25.4,0.58,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469262386,25.4,0.73,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469312384,26.04,0.13,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469379048,26.04,-0.47,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469412380,26.04,0.32,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469479044,26.04,0.26,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469545708,26.04,0.49,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469579040,26.04,-2.57,1.41,23.59,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469662370,26.04,-3.34,1.29,24.49,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469745700,26.04,-5.36,1.29,24.49,-32, 0.0, 0.0,2,0:00:03
20200806_151959_1469829030,26.04,-9.05,1.06,24.49,-32, 0.0, 0.0,2,0:00:03
20200806_152000_1469879028,26.67,-16.53,0.82,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1469979024,26.67,-15.54,0.71,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470045688,26.67,-12.03,0.71,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470145684,26.67,-3.48,0.71,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470212348,26.67,6.23,0.82,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470279012,26.67,1.13,0.71,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470329010,26.67,-1.24,0.71,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470362342,26.67,-10.26,0.59,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470445672,26.67,-15.04,0.47,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470512336,26.67,-16.76,0.35,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470579000,27.3,-10.87,0.35,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152000_1470645664,27.3,-2.9,0.24,25.4,-32, 0.0, 0.0,0,0:00:04
20200806_152001_1470745660,27.3,-2.3,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1470812324,27.3,-4.09,0.12,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1470912320,27.3,-4.56,0.12,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1470995650,27.3,-1.35,0.12,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471078980,27.3,1.51,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471112312,27.3,3.22,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471178976,27.3,3.88,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471228974,27.3,3.7,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471295638,27.94,1.72,0.24,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471378968,27.94,1.99,0.35,25.4,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471462298,27.94,3.23,0.35,26.31,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471528962,27.94,7.72,0.47,26.31,-32, 0.0, 0.0,0,0:00:05
20200806_152001_1471578960,27.94,9.69,0.59,26.31,-32, 0.0, 0.0,0,0:00:05
20200806_152002_1471628958,27.94,12.05,0.71,26.31,-32, 0.0, 0.0,0,0:00:06
20200806_152002_1471712288,27.94,15.51,0.82,26.31,-32, 0.0, 0.0,0,0:00:06
20200806_152002_1471778952,27.94,16.59,0.94,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1471828950,27.94,12.28,0.94,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1471895614,27.94,7.73,1.06,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1471945612,27.94,9.28,1.06,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1471978944,27.94,8.16,1.18,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472045608,28.57,4.99,1.18,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472112272,28.57,1.39,1.18,26.31,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472162270,28.57,-2.6,1.06,27.21,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472212268,28.57,-1.63,1.06,29.03,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472278932,28.57,0.41,1.18,29.94,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472312264,28.57,1.08,1.06,29.94,-32, 0.0, 0.0,2,0:00:06
20200806_152002_1472412260,28.57,0.28,1.18,29.94,-32, 0.0, 0.0,2,0:00:06
20200806_152003_1472495590,28.57,-0.24,1.18,29.94,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472578920,28.57,1.12,1.18,30.84,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472612252,28.57,1.31,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472678916,28.57,1.17,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472745580,28.57,1.17,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472828910,29.21,0.18,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472878908,29.21,-0.11,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1472928906,29.21,0.01,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473012236,29.21,0.35,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473078900,29.21,1.27,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473162230,29.21,0.96,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473212228,29.21,0.18,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473262226,29.21,0.19,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152003_1473328890,29.21,0.57,1.18,31.75,-32, 0.0, 0.0,2,0:00:07
20200806_152004_1473428886,29.84,0.56,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473478884,29.84,0.27,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473562214,29.84,0.1,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473612212,29.84,-0.38,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473678876,29.84,-1.19,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473745540,29.84,-2.73,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473778872,29.84,-5.36,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473878868,29.84,-2.95,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1473962198,30.48,3.39,1.18,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1474012196,30.48,1.93,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1474062194,30.48,-0.56,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1474145524,30.48,-1.68,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152004_1474228854,30.48,-0.86,1.06,31.75,-32, 0.0, 0.0,2,0:00:08
20200806_152005_1474295518,30.48,0.28,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474328850,30.48,-0.16,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474395514,31.11,1.01,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474445512,31.11,0.19,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474545508,31.11,0.29,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474612172,31.11,0.64,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474695502,31.11,-0.38,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474778832,31.11,-1.05,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474828830,31.75,-0.68,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474895494,31.75,-0.43,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1474978824,31.75,-1.71,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152005_1475062154,31.75,-1.49,1.06,31.75,-32, 0.0, 0.0,2,0:00:09
20200806_152006_1475145484,31.75,2.84,1.06,31.75,-32, 0.0, 0.0,2,0:00:10
