Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_162918_765107858,-17.28,0.05,-0.71,-32,-32,0,0,0,0:00:00
20200805_162918_765157856,-17.92,1.03,-0.59,-32,-32,0,1,0,0:00:00
20200805_162918_765191188,-17.92,2.44,-0.24,-32,-32,0,1,0,0:00:00
20200805_162918_765257852,-17.92,9.13,0.12,-32,-32,0,1,0,0:00:00
20200805_162918_765307850,-17.92,10.82,0.35,-32,-32,0,1,0,0:00:00
20200805_162918_765374514,-17.92,6.84,0.35,-18.29,-32,0,1,0,0:00:00
20200805_162918_765441178,-17.92,1.03,0.59,-18.29,-32,0,1,0,0:00:00
20200805_162918_765507842,-17.92,12.18,1.65,-18.29,-32,0,1,4,0:00:00
20200805_162918_765574506,-17.92,21.48,2.23,-17.37,-32,0,0,4,0:00:00
20200805_162918_765641170,-17.92,26.53,2.94,-14.63,-32,0,0,4,0:00:00
20200805_162919_765741166,-17.92,22.86,3.88,-14.63,-32,0,0,4,0:00:01
20200805_162919_765774498,-17.92,21.18,4.82,-13.71,-32,0,0,4,0:00:01
20200805_162919_765824496,-17.28,20.14,5.64,-10.97,-32,0,0,4,0:00:01
20200805_162919_765907826,-17.28,29.59,6.82,-10.97,-32,0,0,4,0:00:01
20200805_162919_765974490,-17.28,26.65,7.41,-10.97,-32,0,1,4,0:00:01
20200805_162919_766024488,-17.28,22.32,8.11,-7.31,-32,0,1,4,0:00:01
20200805_162919_766091152,-17.28,18.23,8.58,-3.66,-32,0,1,4,0:00:01
20200805_162919_766141150,-17.28,18.91,9.05,-0.91,-32,0,1,4,0:00:01
20200805_162919_766191148,-17.28,17.23,9.41,-0.91,-32,0,1,4,0:00:01
20200805_162919_766257812,-16.64,14.29,9.53,-0.91,-32,0,1,4,0:00:01
20200805_162919_766307810,-16.64,9.65,9.64,0.91,-32,0,1,4,0:00:01
20200805_162919_766391140,-16.64,6.23,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766441138,-16.64,4.08,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766507802,-16.0,4.57,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766574466,-16.0,4.56,9.76,3.63,-32,0,0,4,0:00:01
20200805_162920_766624464,-16.0,6.01,9.88,3.63,-32,0,0,4,0:00:02
20200805_162920_766691128,-15.36,7.79,10.0,3.63,-32,0,0,4,0:00:02
20200805_162920_766757792,-15.36,9.28,10.23,3.63,-32,0,1,4,0:00:02
20200805_162920_766807790,-14.72,12.05,10.35,3.63,-32,0,1,4,0:00:02
20200805_162920_766891120,-14.72,12.22,10.7,3.63,-32,0,1,4,0:00:02
20200805_162920_766941118,-14.72,14.19,10.82,3.63,-32,0,1,4,0:00:02
20200805_162920_767007782,-14.08,13.13,11.05,3.63,-32,0,1,4,0:00:02
20200805_162920_767057780,-14.08,11.64,11.05,3.63,-32,0,1,4,0:00:02
20200805_162920_767124444,-13.44,7.85,11.05,3.63,-32,0,1,4,0:00:02
20200805_162920_767191108,-13.44,5.98,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767257772,-12.8,6.22,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767341102,-12.8,6.32,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767391100,-12.16,5.98,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767441098,-12.16,3.63,10.82,3.63,-32,0,0,4,0:00:02
20200805_162920_767507762,-12.16,-6.32,10.35,3.63,-32,0,0,4,0:00:02
20200805_162920_767557760,-11.52,-16.24,9.53,3.63,-32,0,1,4,0:00:02
20200805_162921_767641090,-11.52,-27.7,8.58,3.63,-32,0,1,4,0:00:03
20200805_162921_767691088,-10.88,-23.19,8.0,3.63,-32,0,1,4,0:00:03
20200805_162921_767741086,-10.88,-16.75,7.64,3.63,-32,0,1,4,0:00:03
20200805_162921_767824416,-10.24,-7.19,7.53,3.63,-32,0,1,4,0:00:03
20200805_162921_767874414,-10.24,-1.83,7.53,3.63,-32,0,1,4,0:00:03
20200805_162921_767941078,-10.24,3.71,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768024408,-9.6,3.97,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768091072,-9.6,2.98,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768141070,-9.6,2.83,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768191068,-9.6,2.86,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768257732,-8.96,3.72,7.64,3.63,-32,0,0,4,0:00:03
20200805_162921_768307730,-8.96,5.69,7.76,3.63,-32,0,0,4,0:00:03
20200805_162921_768357728,-8.96,7.13,7.88,3.63,-32,0,1,4,0:00:03
20200805_162921_768441058,-8.96,6.48,7.88,3.63,-32,0,1,4,0:00:03
20200805_162921_768524388,-8.96,1.56,7.88,4.54,-32,0,1,4,0:00:03
20200805_162921_768574386,-8.32,1.45,7.88,4.54,-32,0,1,4,0:00:03
20200805_162922_768657716,-8.32,1.66,7.88,4.54,-32,0,1,4,0:00:04
20200805_162922_768707714,-8.32,1.75,7.88,4.54,-32,0,1,4,0:00:04
20200805_162922_768791044,-8.32,2.75,8.0,4.54,-32,0,0,4,0:00:04
20200805_162922_768857708,-8.32,9.36,8.35,4.54,-32,0,0,4,0:00:04
20200805_162922_768941038,-8.32,12.36,8.47,4.54,-32,0,0,4,0:00:04
20200805_162922_769007702,-7.68,11.51,8.58,4.54,-32,0,0,4,0:00:04
20200805_162922_769057700,-7.68,8.82,8.7,4.54,-32,0,0,4,0:00:04
20200805_162922_769124364,-7.68,6.83,8.82,4.54,-32,0,0,4,0:00:04
20200805_162922_769174362,-7.68,6.79,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769224360,-7.68,4.93,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769274358,-7.04,3.08,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769357688,-7.04,2.39,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769407686,-7.04,2.72,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769457684,-7.04,2.83,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769541014,-6.4,2.93,8.82,4.54,-32,0,1,4,0:00:04
20200805_162923_769591012,-6.4,2.92,8.82,4.54,-32,0,0,4,0:00:05
20200805_162923_769674342,-6.4,3.14,8.94,4.54,-32,0,0,4,0:00:05
20200805_162923_769724340,-6.4,4.4,8.94,4.54,-32,0,0,4,0:00:05
20200805_162923_769774338,-5.76,5.96,9.05,4.54,-32,0,0,4,0:00:05
20200805_162923_769857668,-5.76,11.63,9.41,4.54,-32,0,0,4,0:00:05
20200805_162923_769907666,-5.76,15.33,9.64,4.54,-32,0,0,4,0:00:05
20200805_162923_769957664,-5.12,14.52,9.64,4.54,-32,0,1,4,0:00:05
20200805_162923_770040994,-5.12,9.5,9.64,4.54,-32,0,1,4,0:00:05
20200805_162923_770090992,-5.12,4.77,9.64,4.54,-32,0,1,4,0:00:05
20200805_162923_770140990,-5.12,0.6,9.41,4.54,-32,0,1,4,0:00:05
20200805_162923_770224320,-4.48,-6.98,8.94,4.54,-32,0,1,4,0:00:05
20200805_162923_770274318,-4.48,-20.72,8.23,4.54,-32,0,1,4,0:00:05
20200805_162923_770324316,-4.48,-32,6.82,4.54,-32,0,1,4,0:00:05
20200805_162923_770390980,-3.84,-32,5.76,4.54,-32,0,0,4,0:00:05
20200805_162923_770440978,-3.84,-32,4.0,4.54,-32,0,0,4,0:00:05
20200805_162923_770524308,-3.2,-32,2.94,4.54,-32,0,0,4,0:00:05
20200805_162924_770574306,-3.2,-32,1.65,4.54,-32,0,0,4,0:00:06
20200805_162918_765107858,-17.28,0.05,-0.71,-32,-32,0,0,0,0:00:00
20200805_162918_765174522,-17.92,1.67,-0.47,-32,-32,0,1,0,0:00:00
20200805_162918_765257852,-17.92,9.13,0.12,-32,-32,0,1,0,0:00:00
20200805_162918_765357848,-17.92,10.19,0.35,-32,-32,0,1,0,0:00:00
20200805_162918_765441178,-17.92,1.03,0.59,-18.29,-32,0,1,0,0:00:00
20200805_162918_765541174,-17.92,16.71,1.88,-17.37,-32,0,1,4,0:00:00
20200805_162918_765641170,-17.92,26.53,2.94,-14.63,-32,0,0,4,0:00:00
20200805_162919_765757832,-17.92,21.25,4.59,-14.63,-32,0,0,4,0:00:01
20200805_162919_765824496,-17.28,20.14,5.64,-10.97,-32,0,0,4,0:00:01
20200805_162919_765941158,-17.28,29.22,6.94,-10.97,-32,0,0,4,0:00:01
20200805_162919_766024488,-17.28,22.32,8.11,-7.31,-32,0,1,4,0:00:01
20200805_162919_766124484,-17.28,21.18,8.7,-1.83,-32,0,1,4,0:00:01
20200805_162919_766191148,-17.28,17.23,9.41,-0.91,-32,0,1,4,0:00:01
20200805_162919_766291144,-16.64,10.8,9.53,0.0,-32,0,1,4,0:00:01
20200805_162919_766391140,-16.64,6.23,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766491136,-16.0,4.6,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766574466,-16.0,4.56,9.76,3.63,-32,0,0,4,0:00:01
20200805_162920_766657796,-15.36,6.46,9.88,3.63,-32,0,0,4,0:00:02
20200805_162920_766757792,-15.36,9.28,10.23,3.63,-32,0,1,4,0:00:02
20200805_162920_766841122,-14.72,11.99,10.47,3.63,-32,0,1,4,0:00:02
20200805_162920_766941118,-14.72,14.19,10.82,3.63,-32,0,1,4,0:00:02
20200805_162920_767024448,-14.08,12.87,11.05,3.63,-32,0,1,4,0:00:02
20200805_162920_767124444,-13.44,7.85,11.05,3.63,-32,0,1,4,0:00:02
20200805_162920_767241106,-13.44,5.82,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767341102,-12.8,6.32,11.05,3.63,-32,0,0,4,0:00:02
20200805_162920_767407766,-12.16,4.98,10.94,3.63,-32,0,0,4,0:00:02
20200805_162920_767507762,-12.16,-6.32,10.35,3.63,-32,0,0,4,0:00:02
20200805_162920_767591092,-11.52,-24.03,8.94,3.63,-32,0,1,4,0:00:02
20200805_162921_767691088,-10.88,-23.19,8.0,3.63,-32,0,1,4,0:00:03
20200805_162921_767791084,-10.88,-14.47,7.64,3.63,-32,0,1,4,0:00:03
20200805_162921_767874414,-10.24,-1.83,7.53,3.63,-32,0,1,4,0:00:03
20200805_162921_767974410,-9.6,4.57,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768091072,-9.6,2.98,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768157736,-9.6,2.84,7.53,3.63,-32,0,0,4,0:00:03
20200805_162921_768257732,-8.96,3.72,7.64,3.63,-32,0,0,4,0:00:03
20200805_162921_768341062,-8.96,6.34,7.76,3.63,-32,0,1,4,0:00:03
20200805_162921_768441058,-8.96,6.48,7.88,3.63,-32,0,1,4,0:00:03
20200805_162921_768557720,-8.32,1.38,7.88,4.54,-32,0,1,4,0:00:03
20200805_162922_768657716,-8.32,1.66,7.88,4.54,-32,0,1,4,0:00:04
20200805_162922_768741046,-8.32,1.93,7.88,4.54,-32,0,0,4,0:00:04
20200805_162922_768857708,-8.32,9.36,8.35,4.54,-32,0,0,4,0:00:04
20200805_162922_768957704,-8.32,12.36,8.58,4.54,-32,0,0,4,0:00:04
20200805_162922_769057700,-7.68,8.82,8.7,4.54,-32,0,0,4,0:00:04
20200805_162922_769141030,-7.68,7.1,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769224360,-7.68,4.93,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769324356,-7.04,2.78,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769407686,-7.04,2.72,8.82,4.54,-32,0,1,4,0:00:04
20200805_162922_769507682,-7.04,2.84,8.82,4.54,-32,0,1,4,0:00:04
20200805_162923_769591012,-6.4,2.92,8.82,4.54,-32,0,0,4,0:00:05
20200805_162923_769691008,-6.4,4.15,8.94,4.54,-32,0,0,4,0:00:05
20200805_162923_769774338,-5.76,5.96,9.05,4.54,-32,0,0,4,0:00:05
20200805_162923_769891000,-5.76,14.62,9.53,4.54,-32,0,0,4,0:00:05
20200805_162923_769957664,-5.12,14.52,9.64,4.54,-32,0,1,4,0:00:05
20200805_162923_770057660,-5.12,5.82,9.64,4.54,-32,0,1,4,0:00:05
20200805_162923_770140990,-5.12,0.6,9.41,4.54,-32,0,1,4,0:00:05
20200805_162923_770240986,-4.48,-17.04,8.47,4.54,-32,0,1,4,0:00:05
20200805_162923_770324316,-4.48,-32,6.82,4.54,-32,0,1,4,0:00:05
20200805_162923_770424312,-3.84,-32,4.82,4.54,-32,0,0,4,0:00:05
20200805_162923_770524308,-3.2,-32,2.94,4.54,-32,0,0,4,0:00:05
20200805_162924_770607638,-3.2,-32,1.53,4.54,-32,0,0,4,0:00:06
20200805_162918_765141190,-17.92,0.22,-0.59,-32,-32,0,0,0,0:00:00
20200805_162918_765224520,-17.92,4.36,-0.24,-32,-32,0,1,0,0:00:00
20200805_162918_765357848,-17.92,10.19,0.35,-32,-32,0,1,0,0:00:00
20200805_162918_765491176,-17.92,2.58,0.71,-18.29,-32,0,1,0,0:00:00
20200805_162918_765591172,-17.92,25.5,2.7,-16.46,-32,0,0,4,0:00:00
20200805_162919_765757832,-17.92,21.25,4.59,-14.63,-32,0,0,4,0:00:01
20200805_162919_765874494,-17.28,22.5,5.88,-10.97,-32,0,0,4,0:00:01
20200805_162919_766007822,-17.28,25.25,7.76,-9.14,-32,0,1,4,0:00:01
20200805_162919_766124484,-17.28,21.18,8.7,-1.83,-32,0,1,4,0:00:01
20200805_162919_766224480,-17.28,16.4,9.41,-0.91,-32,0,1,4,0:00:01
20200805_162919_766341142,-16.64,8.33,9.64,1.81,-32,0,0,4,0:00:01
20200805_162919_766491136,-16.0,4.6,9.64,2.72,-32,0,0,4,0:00:01
20200805_162919_766607798,-16.0,5.73,9.76,3.63,-32,0,0,4,0:00:01
20200805_162920_766724460,-15.36,8.87,10.0,3.63,-32,0,0,4,0:00:02
20200805_162920_766841122,-14.72,11.99,10.47,3.63,-32,0,1,4,0:00:02
20200805_162920_766957784,-14.08,13.27,11.05,3.63,-32,0,1,4,0:00:02
