Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_144345_3868011940,31.75,0.01,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868078604,31.75,0.01,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868111936,31.75,0.01,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868178600,31.75,0.01,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868245264,31.75,-0.0,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868311928,31.75,-0.0,0.0,-32,-32,0,0,0,0:00:00
20200803_144345_3868378592,31.75,-0.0,0.0,-32,-32,1,0,5,0:00:00
20200803_144345_3868428590,31.75,-0.0,0.0,-32,-32,1,0,5,0:00:00
20200803_144345_3868478588,31.75,0.0,-0.12,-32,-32,1,0,5,0:00:00
20200803_144345_3868528586,31.75,-6.44,-0.24,-32,-32,1,0,5,0:00:00
20200803_144345_3868595250,31.75,-21.72,-0.47,-32,-32,1,0,5,0:00:00
20200803_144345_3868645248,31.75,-32,-0.71,-32,-32,1,0,5,0:00:00
20200803_144345_3868711912,31.75,-32,-0.95,-32,-32,1,0,5,0:00:00
20200803_144345_3868761910,31.75,-30.87,-1.19,-32,-32,0,0,5,0:00:00
20200803_144346_3868828574,31.75,-26.89,-1.3,-32,-32,0,0,5,0:00:01
20200803_144346_3868878572,31.75,-20.89,-1.42,-32,-32,0,0,5,0:00:01
20200803_144346_3868945236,31.75,-13.47,-1.42,-32,-32,0,0,5,0:00:01
20200803_144346_3869011900,31.75,-7.85,-1.42,-32,-32,0,0,5,0:00:01
20200803_144346_3869078564,31.75,-0.61,-1.42,-32,-32,0,0,5,0:00:01
20200803_144346_3869145228,31.75,0.91,-1.42,-32,-32,1,0,5,0:00:01
20200803_144346_3869211892,31.75,-0.25,-1.42,-32,-32,1,0,5,0:00:01
20200803_144346_3869278556,31.75,0.08,-1.42,-32,-32,1,0,5,0:00:01
20200803_144346_3869328554,31.75,0.39,-1.42,-32,-32,1,0,5,0:00:01
20200803_144346_3869411884,31.75,-0.03,-1.42,-32,-32,1,0,5,0:00:01
20200803_144346_3869461882,31.75,2.03,-1.3,-32,-32,1,0,5,0:00:01
20200803_144346_3869511880,31.75,7.65,-1.19,-32,-32,1,0,5,0:00:01
20200803_144346_3869561878,31.75,17.47,-0.95,-32,-32,0,0,5,0:00:01
20200803_144346_3869628542,31.75,26.43,-0.83,-32,-32,0,0,5,0:00:01
20200803_144346_3869695206,31.75,24.06,-0.71,-32,-32,0,0,5,0:00:01
20200803_144346_3869745204,31.75,12.13,-0.71,-32,-32,0,0,5,0:00:01
20200803_144347_3869828534,31.75,10.19,-0.59,-32,-32,0,0,5,0:00:02
20200803_144347_3869895198,31.75,17.49,-0.36,-32,-32,0,0,5,0:00:02
20200803_144347_3869945196,31.75,22.91,-0.12,-32,-32,1,0,5,0:00:02
20200803_144347_3870028526,31.75,31.75,0.12,-32,-32,1,0,5,0:00:02
20200803_144347_3870078524,31.75,31.75,0.47,-32,-32,1,0,5,0:00:02
20200803_144347_3870128522,31.75,31.75,0.82,-32,-32,1,0,5,0:00:02
20200803_144347_3870195186,31.75,31.75,1.06,-32,-32,1,0,5,0:00:02
20200803_144347_3870261850,31.75,31.75,1.41,-32,-32,1,0,5,0:00:02
20200803_144347_3870328514,31.75,31.75,1.53,-32,-32,0,0,5,0:00:02
20200803_144347_3870395178,31.75,27.01,1.76,-32,-32,0,0,5,0:00:02
20200803_144347_3870445176,31.75,22.53,1.88,-32,-32,0,0,5,0:00:02
20200803_144347_3870528506,31.75,19.73,2.0,-32,-32,0,0,5,0:00:02
20200803_144347_3870561838,31.75,15.81,2.12,-32,-32,0,0,5,0:00:02
20200803_144347_3870611836,31.75,12.41,2.12,-32,-32,0,0,5,0:00:02
20200803_144347_3870695166,31.75,7.95,2.12,-32,-32,0,0,5,0:00:02
20200803_144347_3870745164,31.75,0.2,2.12,-32,-32,1,0,5,0:00:02
20200803_144348_3870811828,31.75,-3.8,2.0,-32,-32,1,0,5,0:00:03
20200803_144348_3870878492,31.75,-17.85,1.76,-32,-32,1,0,5,0:00:03
20200803_144348_3870928490,31.75,-25.71,1.53,-32,-32,1,0,5,0:00:03
20200803_144348_3871011820,31.75,-32,1.18,-32,-32,1,0,5,0:00:03
20200803_144348_3871061818,31.75,-32,0.71,-32,-32,1,0,0,0:00:03
20200803_144348_3871128482,31.75,-32,0.12,-32,-32,0,0,0,0:00:03
20200803_144348_3871195146,31.75,-32,-0.12,-32,-32,0,0,0,0:00:03
20200803_144348_3871245144,31.75,-32,-0.47,-32,-32,0,0,0,0:00:03
20200803_144348_3871311808,31.75,-32,-0.59,-32,-32,0,0,0,0:00:03
20200803_144348_3871378472,31.75,-18.48,-0.59,-32,-32,0,0,0,0:00:03
20200803_144348_3871445136,31.75,8.67,-0.24,-32,-32,0,0,0,0:00:03
20200803_144348_3871495134,31.75,31.75,0.0,-32,-32,0,0,0,0:00:03
20200803_144348_3871561798,31.75,31.75,0.0,-32,-32,1,0,0,0:00:03
20200803_144348_3871611796,31.75,8.01,-0.12,-32,-32,1,0,0,0:00:03
20200803_144348_3871661794,31.75,-13.58,-0.24,-32,-32,0,0,0,0:00:03
20200803_144348_3871745124,31.75,-18.72,-0.36,-32,-32,0,0,0,0:00:03
20200803_144349_3871811788,31.75,-9.17,-0.36,-32,-32,0,0,0,0:00:04
20200803_144349_3871878452,31.75,-1.26,-0.36,-32,-32,0,0,0,0:00:04
20200803_144349_3871945116,31.75,1.39,-0.36,-32,-32,0,0,0,0:00:04
20200803_144349_3871995114,31.75,-0.15,-0.36,-32,-32,0,0,0,0:00:04
20200803_144349_3872078444,31.75,-0.4,-0.36,-32,-32,0,0,0,0:00:04
