Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200806_155635_3383185826,18.41,-0.36,-0.83,-32,-32,0,0,0,0:00:03
20200806_155635_3383252490,18.41,-1.04,-0.83,-32,-32,0,0,0,0:00:03
20200806_155635_3383285822,18.41,-5.17,-0.95,-32,-32,0,0,1,0:00:03
20200806_155635_3383352486,17.78,-7.58,-0.95,-32,-32,0,0,1,0:00:03
20200806_155636_3383435816,17.78,-6.32,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383519146,17.78,-3.56,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383602476,17.78,-2.7,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383685806,17.78,-0.74,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383769136,17.78,0.27,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383852466,17.78,0.01,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3383935796,17.78,0.11,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3384019126,17.78,0.01,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3384102456,17.78,-0.04,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3384185786,17.78,-1.18,-1.07,-32,-32,0,0,1,0:00:04
20200806_155636_3384252450,17.78,-1.52,-1.07,-32,-32,0,0,1,0:00:04
20200806_155637_3384285782,17.78,-1.24,-1.07,-32,-32,0,0,1,0:00:05
20200806_155637_3384385778,17.78,-0.87,-1.19,-32,-32,0,0,1,0:00:05
20200806_155637_3384452442,17.78,-1.65,-1.19,-32,-32,0,0,1,0:00:05
20200806_155637_3384535772,17.78,-4.83,-1.3,-32,-32,0,0,1,0:00:05
20200806_155637_3384602436,17.78,-5.46,-1.3,-32,-32,0,0,1,0:00:05
20200806_155637_3384669100,17.78,-5.27,-1.3,-32,-32,0,0,1,0:00:05
20200806_155637_3384702432,17.14,-3.76,-1.3,-32,-32,0,0,1,0:00:05
20200806_155637_3384769096,17.14,-3.43,-1.42,-32,-32,0,0,1,0:00:05
20200806_155637_3384835760,17.14,-3.19,-1.42,-32,-32,0,0,1,0:00:05
20200806_155637_3384902424,17.14,-0.54,-1.42,-32,-32,0,0,1,0:00:05
20200806_155637_3384985754,17.14,0.21,-1.42,-32,-32,0,0,1,0:00:05
20200806_155637_3385035752,17.14,0.03,-1.42,-32,-32,0,0,1,0:00:05
20200806_155637_3385102416,17.14,0.25,-1.42,-32,-32,0,0,1,0:00:05
20200806_155638_3385152414,17.14,0.5,-1.42,-32,-32,0,0,1,0:00:06
20200806_155638_3385235744,17.14,1.54,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385319074,17.14,2.56,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385385738,17.14,1.39,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385485734,17.14,0.32,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385519066,17.14,-0.19,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385585730,17.14,0.08,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385669060,17.14,0.0,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385752390,17.14,-0.4,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385819054,17.14,-0.73,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385869052,17.14,-0.48,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385919050,17.14,-0.76,-1.3,-32,-32,0,0,1,0:00:06
20200806_155638_3385985714,17.14,-0.38,-1.3,-32,-32,0,0,1,0:00:06
20200806_155639_3386019046,17.14,-0.97,-1.3,-32,-32,0,0,1,0:00:07
20200806_155639_3386085710,17.14,-0.8,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386152374,17.14,-1.12,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386235704,16.51,-0.72,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386319034,16.51,-0.35,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386385698,16.51,-0.54,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386419030,16.51,-0.79,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386519026,16.51,-0.5,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386602356,16.51,-0.71,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386652354,16.51,-1.5,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386752350,16.51,-1.5,-1.42,-32,-32,0,0,1,0:00:07
20200806_155639_3386819014,16.51,-0.89,-1.42,-32,-32,0,0,1,0:00:07
20200806_155640_3386919010,16.51,-0.9,-1.54,-32,-32,0,0,1,0:00:08
20200806_155640_3387002340,16.51,-1.23,-1.54,-32,-32,0,0,1,0:00:08
20200806_155640_3387069004,16.51,-1.0,-1.54,-32,-32,0,0,1,0:00:08
20200806_155640_3387152334,16.51,15.35,-1.07,-32,-32,0,0,1,0:00:08
20200806_155640_3387235664,16.51,31.75,-0.36,-32,-32,0,0,0,0:00:08
20200806_155640_3387285662,16.51,31.75,0.24,-32,-32,0,0,0,0:00:08
20200806_155640_3387352326,16.51,31.75,0.47,-32,-32,0,0,0,0:00:08
20200806_155640_3387435656,16.51,18.76,0.47,-32,-32,0,0,0,0:00:08
20200806_155640_3387502320,16.51,-2.02,0.47,-32,-32,0,0,0,0:00:08
20200806_155640_3387552318,16.51,-5.05,0.35,-32,-32,0,0,0,0:00:08
20200806_155640_3387635648,16.51,-7.3,0.24,-32,-32,0,0,0,0:00:08
20200806_155640_3387685646,15.88,-7.35,0.24,-32,-32,0,0,0,0:00:08
20200806_155640_3387752310,15.88,-5.35,0.12,-32,-32,0,0,0,0:00:08
20200806_155635_3383185826,18.41,-0.36,-0.83,-32,-32,0,0,0,0:00:03
