Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_165424_2192517426,12.06,-32,-0.83,-32,-23.04,1,0,3,0:00:02
20200805_165424_2192550758,12.06,-32,-1.19,-32,-21.76,1,0,3,0:00:02
20200805_165424_2192667420,12.06,-32,-2.37,-32,-15.36,0,0,3,0:00:02
20200805_165424_2192734084,11.43,-32,-3.2,-32,-12.8,0,0,3,0:00:02
20200805_165424_2192800748,11.43,-32,-3.91,-32,-12.8,0,0,3,0:00:02
20200805_165424_2192850746,11.43,-32,-5.33,-32,-11.52,0,0,3,0:00:02
20200805_165424_2192917410,11.43,-32,-6.16,-32,-10.24,0,0,3,0:00:02
20200805_165424_2192984074,10.79,-32,-7.11,-32,-10.24,0,0,3,0:00:02
20200805_165424_2193067404,10.79,-23.94,-7.82,-32,-10.24,1,0,3,0:00:02
20200805_165424_2193167400,10.79,-8.06,-8.53,-32,-10.24,1,0,3,0:00:02
20200805_165425_2193217398,10.16,7.22,-9.01,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193284062,10.16,16.16,-9.13,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193334060,9.53,31.13,-9.24,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193400724,9.53,31.75,-9.36,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193484054,8.89,31.75,-9.48,-32,-12.8,0,0,3,0:00:03
20200805_165425_2193534052,8.26,31.75,-9.96,-32,-29.44,0,0,3,0:00:03
20200805_165425_2193584050,8.26,31.75,-10.19,-32,-32,0,0,3,0:00:03
20200805_165425_2193667380,8.26,31.75,-10.67,-32,-32,0,0,3,0:00:03
20200805_165425_2193717378,7.62,26.64,-10.9,-32,-32,0,0,3,0:00:03
20200805_165425_2193784042,7.62,25.7,-10.9,-32,-32,0,0,3,0:00:03
20200805_165425_2193850706,6.99,25.48,-11.02,-32,-32,1,0,3,0:00:03
20200805_165425_2193917370,6.35,21.55,-11.38,-32,-32,1,0,3,0:00:03
20200805_165425_2194000700,6.35,17.53,-11.73,-32,-32,1,0,3,0:00:03
20200805_165425_2194050698,5.71,11.07,-12.09,-32,-32,1,0,3,0:00:03
20200805_165425_2194117362,5.71,9.26,-12.33,-32,-32,1,0,3,0:00:03
20200805_165426_2194184026,5.71,8.29,-12.68,-32,-32,1,0,3,0:00:04
20200805_165426_2194234024,5.08,7.45,-12.92,-32,-32,0,0,3,0:00:04
20200805_165426_2194300688,5.08,6.15,-13.27,-32,-32,0,0,3,0:00:04
20200805_165426_2194350686,5.08,5.66,-13.51,-32,-32,0,0,3,0:00:04
20200805_165426_2194417350,4.45,5.73,-13.75,-31.09,-32,0,0,3,0:00:04
20200805_165426_2194484014,4.45,7.07,-13.75,-30.17,-32,0,0,3,0:00:04
20200805_165426_2194550678,4.45,8.59,-13.75,-30.17,-32,0,0,3,0:00:04
20200805_165426_2194617342,3.81,9.77,-13.63,-27.43,-32,1,0,3,0:00:04
20200805_165426_2194684006,3.81,9.03,-13.51,-26.51,-32,1,0,3,0:00:04
20200805_165426_2194750670,3.81,8.02,-13.04,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194800668,3.18,8.07,-12.09,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194850666,3.18,8.37,-10.67,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194917330,3.18,8.34,-9.48,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194983994,3.18,4.37,-8.53,-25.6,-32,1,0,3,0:00:04
20200805_165426_2195050658,3.18,-6.56,-7.59,-23.77,-32,0,0,3,0:00:04
20200805_165426_2195117322,2.54,-22.48,-6.76,-23.77,-32,0,0,3,0:00:04
20200805_165427_2195183986,2.54,-32,-6.16,-22.86,-32,0,0,3,0:00:05
20200805_165427_2195250650,2.54,-32,-5.57,-22.86,-32,0,0,3,0:00:05
20200805_165427_2195300648,2.54,-25.17,-4.03,-22.86,-32,0,0,3,0:00:05
20200805_165427_2195350646,2.54,-1.47,-2.49,-21.94,-32,0,0,3,0:00:05
20200805_165427_2195400644,2.54,12.24,-1.19,-21.94,-32,0,0,3,0:00:05
20200805_165427_2195450642,2.54,31.75,-0.36,-21.94,-32,1,0,0,0:00:05
20200805_165424_2192517426,12.06,-32,-0.83,-32,-23.04,1,0,3,0:00:02
20200805_165424_2192617422,12.06,-32,-1.54,-32,-20.48,0,0,3,0:00:02
20200805_165424_2192734084,11.43,-32,-3.2,-32,-12.8,0,0,3,0:00:02
20200805_165424_2192834080,11.43,-32,-4.62,-32,-11.52,0,0,3,0:00:02
20200805_165424_2192917410,11.43,-32,-6.16,-32,-10.24,0,0,3,0:00:02
20200805_165424_2193050738,10.79,-32,-7.23,-32,-10.24,1,0,3,0:00:02
20200805_165424_2193167400,10.79,-8.06,-8.53,-32,-10.24,1,0,3,0:00:02
20200805_165425_2193234064,10.16,13.12,-9.13,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193334060,9.53,31.13,-9.24,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193450722,8.89,31.75,-9.36,-32,-10.24,0,0,3,0:00:03
20200805_165425_2193534052,8.26,31.75,-9.96,-32,-29.44,0,0,3,0:00:03
20200805_165425_2193600716,8.26,31.75,-10.55,-32,-32,0,0,3,0:00:03
20200805_165425_2193717378,7.62,26.64,-10.9,-32,-32,0,0,3,0:00:03
20200805_165425_2193834040,6.99,26.02,-10.9,-32,-32,1,0,3,0:00:03
20200805_165425_2193917370,6.35,21.55,-11.38,-32,-32,1,0,3,0:00:03
20200805_165425_2194034032,6.35,13.21,-11.97,-32,-32,1,0,3,0:00:03
20200805_165425_2194117362,5.71,9.26,-12.33,-32,-32,1,0,3,0:00:03
20200805_165426_2194217358,5.08,7.87,-12.8,-32,-32,0,0,3,0:00:04
20200805_165426_2194300688,5.08,6.15,-13.27,-32,-32,0,0,3,0:00:04
20200805_165426_2194384018,4.45,5.58,-13.63,-32,-32,0,0,3,0:00:04
20200805_165426_2194484014,4.45,7.07,-13.75,-30.17,-32,0,0,3,0:00:04
20200805_165426_2194600676,3.81,9.65,-13.75,-30.17,-32,0,0,3,0:00:04
20200805_165426_2194684006,3.81,9.03,-13.51,-26.51,-32,1,0,3,0:00:04
20200805_165426_2194767336,3.18,7.98,-12.33,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194850666,3.18,8.37,-10.67,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194950662,3.18,7.34,-9.01,-25.6,-32,1,0,3,0:00:04
20200805_165426_2195050658,3.18,-6.56,-7.59,-23.77,-32,0,0,3,0:00:04
20200805_165427_2195150654,2.54,-31.22,-6.52,-23.77,-32,0,0,3,0:00:05
20200805_165427_2195250650,2.54,-32,-5.57,-22.86,-32,0,0,3,0:00:05
20200805_165427_2195317314,2.54,-9.36,-2.84,-21.94,-32,0,0,3,0:00:05
20200805_165427_2195400644,2.54,12.24,-1.19,-21.94,-32,0,0,3,0:00:05
20200805_165424_2192534092,12.06,-32,-1.07,-32,-21.76,1,0,3,0:00:02
20200805_165424_2192700752,11.43,-32,-3.08,-32,-12.8,0,0,3,0:00:02
20200805_165424_2192834080,11.43,-32,-4.62,-32,-11.52,0,0,3,0:00:02
20200805_165424_2192967408,11.43,-32,-6.4,-32,-10.24,0,0,3,0:00:02
20200805_165424_2193117402,10.79,-20.49,-7.94,-32,-10.24,1,0,3,0:00:02
20200805_165425_2193234064,10.16,13.12,-9.13,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193367392,9.53,31.75,-9.24,-32,-10.24,1,0,3,0:00:03
20200805_165425_2193517386,8.89,31.75,-9.6,-32,-20.48,0,0,3,0:00:03
20200805_165425_2193600716,8.26,31.75,-10.55,-32,-32,0,0,3,0:00:03
20200805_165425_2193734044,7.62,25.79,-10.9,-32,-32,0,0,3,0:00:03
20200805_165425_2193900704,6.99,24.85,-11.14,-32,-32,1,0,3,0:00:03
20200805_165425_2194034032,6.35,13.21,-11.97,-32,-32,1,0,3,0:00:03
20200805_165425_2194150694,5.71,8.57,-12.44,-32,-32,1,0,3,0:00:03
20200805_165426_2194284022,5.08,7.19,-13.04,-32,-32,0,0,3,0:00:04
20200805_165426_2194384018,4.45,5.58,-13.63,-32,-32,0,0,3,0:00:04
20200805_165426_2194500680,4.45,8.1,-13.75,-30.17,-32,0,0,3,0:00:04
20200805_165426_2194650674,3.81,9.61,-13.63,-26.51,-32,1,0,3,0:00:04
20200805_165426_2194767336,3.18,7.98,-12.33,-25.6,-32,1,0,3,0:00:04
20200805_165426_2194883998,3.18,8.62,-10.31,-25.6,-32,1,0,3,0:00:04
20200805_165426_2195017326,3.18,-0.32,-8.18,-24.69,-32,0,0,3,0:00:04
20200805_165427_2195150654,2.54,-31.22,-6.52,-23.77,-32,0,0,3,0:00:05
20200805_165427_2195267316,2.54,-32,-4.27,-22.86,-32,0,0,3,0:00:05
20200805_165427_2195367312,2.54,8.21,-1.3,-21.94,-32,0,0,3,0:00:05
