Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200707_143427_816200684, 1084.19189453125, 60.21852111816406, -0.00334172579459846, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816217350, 1086.61767578125, 60.35600662231445, -0.0030975814443081617, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816250682, 1087.8521728515625, 60.426753997802734, -0.0030975814443081617, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816267348, 1090.3968505859375, 60.57210159301758, -0.004287784919142723, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816300680, 1091.7020263671875, 60.64695358276367, -0.005264362320303917, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816317346, 1094.3675537109375, 60.80118942260742, -0.006424047984182835, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816350678, 1095.74609375, 60.88026809692383, -0.007064927369356155, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816367344, 1098.5499267578125, 61.0413703918457, -0.007888914085924625, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816417342, 1099.98046875, 61.123451232910156, -0.007888914085924625, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816434008, 1104.369873046875, 61.376075744628906, -0.007644769735634327, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816467340, 1105.8785400390625, 61.462799072265625, -0.007644769735634327, 1.0, 0.0, 0.0, 0.0,0.0
20200707_143427_816500672, 1108.7056884765625, 61.639747619628906, -0.007614252157509327, 0.9843747615814209, 0.0, 0.0, 0.0,0.0
20200707_143427_816534004, 1110.0909423828125, 61.820106506347656, -0.007614252157509327, 0.9257801175117493, 0.0, 0.0, 0.0,0.0
20200707_143427_816584002, 1108.436767578125, 62.003173828125, -0.0077058058232069016, 0.7070344090461731, 0.0, 0.0, 0.0,0.0
20200707_143427_816600668, 1101.2935791015625, 62.278526306152344, -0.007888914085924625, 0.3095216155052185, 0.0, 0.0, 0.0,0.0
20200707_143427_816634000, 1096.9114990234375, 62.369075775146484, -0.00782787799835205, 0.1269855797290802, 0.0, 0.0, 0.0,0.0
20200707_143427_816683998, 1091.7706298828125, 62.54534149169922, -0.0077058058232069016, 0.0158693790435791, 0.0, 0.0, 0.0,0.0
20200707_143427_816700664, 1091.3114013671875, 62.79582977294922, -0.0077058058232069016, 0.0, 0.0, 0.0, 0.0,0.0
