Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200707_143738_995826832, 1183.2862548828125, 25.934228897094727,-0.0151, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143738_995860164, 1185.0125732421875, 25.97206687927246,-0.0165, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143738_995893496, 1188.320556640625, 26.04411506652832,-0.0197, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143738_995910162, 1191.4859619140625, 26.11260223388672,-0.0253, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143738_995926828, 1192.9493408203125, 26.144514083862305,-0.0271, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143738_995943494, 1194.3765869140625, 26.175546646118164,-0.0289, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_995976826, 1195.7803955078125, 26.205673217773438,-0.0299, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996010158, 1198.4376220703125, 26.263229370117188,-0.0305, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996026824, 1200.8900146484375, 26.317481994628906,-0.0304, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996076822, 1202.055908203125, 26.343210220336914,-0.0303, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996110154, 1205.3262939453125, 26.414886474609375,-0.0298, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996126820, 1207.315673828125, 26.458450317382812,-0.0297, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996143486, 1208.262939453125, 26.479040145874023,-0.0298, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996193484, 1209.1776123046875, 26.498884201049805,-0.0299, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996210150, 1211.6944580078125, 26.55378532409668,-0.0305, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996260148, 1212.466064453125, 26.57062530517578,-0.0307, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996276814, 1214.595947265625, 26.61676788330078,-0.032, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996293480, 1215.224365234375, 26.630260467529297,-0.0323, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996343478, 1215.8436279296875, 26.643783569335938,-0.0329, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996360144, 1217.533203125, 26.680578231811523,-0.0335, 0.0, 0.0, 0.0, 0.0,0,0
20200707_143739_996410142, 1218.33984375, 26.691650390625,-0.0335, 0.011902034282684326, 0.0, 0.0, 0.0,0,1
20200707_143739_996426808, 1220.8123779296875, 26.722787857055664,-0.0336, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996443474, 1221.3646240234375, 26.732698440551758,-0.0336, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996460140, 1221.8555908203125, 26.742374420166016,-0.0335, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996510138, 1222.3114013671875, 26.7518310546875,-0.0335, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996526804, 1223.5692138671875, 26.778865814208984,-0.0333, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996560136, 1223.962646484375, 26.78745460510254,-0.0327, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996576802, 1224.72216796875, 26.80428123474121,-0.0321, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996626800, 1225.0958251953125, 26.812362670898438,-0.0305, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996643466, 1226.1412353515625, 26.835832595825195,-0.0271, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996676798, 1226.4757080078125, 26.843351364135742,-0.0251, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996693464, 1227.1195068359375, 26.858051300048828,-0.0221, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996743462, 1227.425537109375, 26.865018844604492,-0.0199, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
20200707_143739_996776794, 1228.3155517578125, 26.884841918945312,-0.0152, 0.027779042720794678, 0.0, 0.0, 0.0,0,1
