Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200708_134503_487113848, 592.1236572265625, 0.0031112770084291697, -0.006179903633892536, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487130514, 592.1236572265625, 0.0031128881964832544, -0.0076752882450819016, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487163846, 592.1236572265625, 0.0044503542594611645, -0.008102540858089924, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487180512, 592.1236572265625, 0.004458903335034847, -0.009353780187666416, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487197178, 592.1236572265625, 0.003118836786597967, -0.009475852362811565, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487247176, 592.1236572265625, 0.00445490563288331, -0.00962844304740429, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487280508, 592.1236572265625, 0.003137430176138878, -0.010513465851545334, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487313840, 592.1236572265625, 0.0031377647537738085, -0.010513465851545334, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487363838, 592.1236572265625, 0.0031279304530471563, -0.009781032800674438, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487397170, 592.1236572265625, 0.004469373729079962, -0.00886549148708582, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134503_487430502, 592.1236572265625, 0.004485593643039465, -0.008255130611360073, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487447168, 592.1236572265625, 0.004488642793148756, -0.008255130611360073, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487463834, 592.1236572265625, 0.00316232000477612, -0.008255130611360073, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487497166, 592.1236572265625, 0.004485639277845621, -0.008407721295952797, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487530498, 592.1236572265625, 0.004497090354561806, -0.01017776783555746, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487563830, 592.1236572265625, 0.004503069911152124, -0.01017776783555746, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487597162, 592.1236572265625, 0.004501785151660442, -0.01017776783555746, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487630494, 592.1236572265625, 0.004509275779128075, -0.009872587397694588, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487663826, 592.1236572265625, 0.004517174791544676, -0.009781032800674438, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487680492, 592.1236572265625, 0.004510650411248207, -0.009781032800674438, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487713824, 592.1236572265625, 0.003191712312400341, -0.009750515222549438, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487730490, 592.1236572265625, 0.003200039267539978, -0.009597924537956715, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487763822, 592.1236572265625, 0.004524698946624994, -0.009597924537956715, 0.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487813820, 594.2137451171875, 0.004520596005022526, -0.009597924537956715, 0.24206149578094482, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487830486, 592.8648071289062, 0.006804284173995256, -0.009597924537956715, 0.35713741183280945, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487863818, 603.4757690429688, 0.00876728817820549, -0.009597924537956715, 0.42063018679618835, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487880484, 619.2650146484375, 0.017825579270720482, -0.009597924537956715, 0.7109407186508179, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487913816, 602.1046752929688, 0.03426702320575714, -0.009597924537956715, 0.7812466621398926, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487947148, 617.0564575195312, 0.06069924682378769, -0.009597924537956715, 0.9492179751396179, 0.00.0, 0.0, 0.0,0.0
20200708_134504_487980480, 762.3677978515625, 0.12958203256130219, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488013812, 831.040771484375, 0.2659558355808258, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488047144, 787.9627075195312, 0.4598051905632019, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488080476, 673.2300415039062, 0.6933999061584473, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488113808, 545.6207275390625, 0.9534234404563904, -0.009445334784686565, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488147140, 470.0370788574219, 1.2277246713638306, -0.009323262609541416, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488180472, 556.9802856445312, 1.5182019472122192, -0.009201190434396267, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488213804, 502.0738220214844, 1.8247637748718262, -0.009018082171678543, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488230470, 528.8699951171875, 2.151435375213623, -0.008987563662230968, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488263802, 616.7709350585938, 2.32379412651062, -0.008896009996533394, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488297134, 611.3193969726562, 2.6795904636383057, -0.00886549148708582, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488330466, 629.2703247070312, 3.0547614097595215, -0.00886549148708582, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134504_488363798, 628.70703125, 3.4446346759796143, -0.00886549148708582, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488397130, 644.8872680664062, 3.85209321975708, -0.00886549148708582, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488413796, 650.8258666992188, 4.273240089416504, -0.009018082171678543, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488447128, 552.4447021484375, 4.489649772644043, -0.009140154346823692, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488463794, 564.0057373046875, 4.933686256408691, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488497126, 660.703369140625, 5.161903381347656, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488530458, 653.8789672851562, 5.628471374511719, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488563790, 651.6666259765625, 6.108617305755615, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488580456, 658.8812866210938, 6.602900981903076, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488630454, 663.0632934570312, 6.855039596557617, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
20200708_134505_488647120, 694.8099365234375, 7.632511138916016, -0.009597924537956715, 1.0, 0.00.0, 0.0, 0.0,0.0
