Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200714_152122_258844776, 1112.0972900390625, 64.03312683105469,0.0009, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_258861442, 1111.878173828125, 64.02042388916016,0.0022, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_258894774, 1111.7647705078125, 64.01387786865234,0.0027, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_258911440, 1111.5347900390625, 64.00033569335938,0.0033, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_258944772, 1111.4140625, 63.993431091308594,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_258978104, 1111.1707763671875, 63.97932052612305,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259011436, 1110.9197998046875, 63.964805603027344,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259044768, 1110.6607666015625, 63.94989013671875,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259078100, 1110.3958740234375, 63.93460464477539,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259111432, 1110.124267578125, 63.91897201538086,0.0035, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259144764, 1109.846923828125, 63.9029655456543,0.0042, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259178096, 1109.5645751953125, 63.8865966796875,0.0046, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259194762, 1109.2774658203125, 63.869903564453125,0.0052, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259228094, 1109.1295166015625, 63.86143112182617,0.0053, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259244760, 1108.8321533203125, 63.84436798095703,0.0051, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259294758, 1108.6820068359375, 63.83576202392578,0.0046, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259328090, 1108.2257080078125, 63.8095588684082,0.0034, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259361422, 1107.913818359375, 63.7917366027832,0.002, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259394754, 1107.59912109375, 63.773643493652344,0.0012, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259411420, 1107.276611328125, 63.755191802978516,0.0004, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152122_259444752, 1107.117431640625, 63.745975494384766,0.0002, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259478084, 1106.7991943359375, 63.72747802734375,-0.0001, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259494750, 1106.4715576171875, 63.708621978759766,-0.0003, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259528082, 1106.306396484375, 63.6990852355957,-0.0003, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259561414, 1105.97412109375, 63.679874420166016,-0.0005, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259611412, 1105.6385498046875, 63.66046142578125,-0.0009, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259628078, 1105.127685546875, 63.63105392456055,-0.0013, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259661410, 1104.95654296875, 63.621150970458984,-0.0015, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259694742, 1104.6065673828125, 63.601219177246094,-0.0016, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259728074, 1104.2606201171875, 63.58110046386719,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259761406, 1103.9036865234375, 63.5606803894043,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259778072, 1103.552490234375, 63.54033279418945,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259828070, 1103.3751220703125, 63.530094146728516,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259844736, 1102.8388671875, 63.49916076660156,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259878068, 1102.658447265625, 63.4887809753418,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259894734, 1102.2967529296875, 63.46791458129883,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259944732, 1102.1143798828125, 63.457420349121094,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259961398, 1101.56396484375, 63.42580032348633,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_259994730, 1101.3807373046875, 63.415218353271484,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260011396, 1101.0120849609375, 63.39396286010742,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260044728, 1100.826171875, 63.383277893066406,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260078060, 1100.4556884765625, 63.361873626708984,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260111392, 1100.081298828125, 63.34034729003906,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260144724, 1099.706787109375, 63.31871032714844,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260178056, 1099.329833984375, 63.2970085144043,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260194722, 1098.950927734375, 63.27523422241211,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260228054, 1098.7608642578125, 63.26431655883789,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260244720, 1098.380615234375, 63.24243927001953,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260294718, 1098.189697265625, 63.231468200683594,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260311384, 1097.615478515625, 63.19839859008789,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260344716, 1097.424072265625, 63.18735122680664,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260378048, 1097.03857421875, 63.16517639160156,-0.0017, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152123_260411380, 1096.64599609375, 63.14295959472656,-0.0015, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260444712, 1096.2637939453125, 63.120635986328125,-0.0013, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260478044, 1095.8740234375, 63.098167419433594,-0.0009, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260494710, 1095.4879150390625, 63.075809478759766,-0.0003, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260528042, 1095.2935791015625, 63.064632415771484,0.0, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260561374, 1094.9036865234375, 63.0422477722168,0.0004, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260594706, 1094.5123291015625, 63.01974105834961,0.001, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260628038, 1094.1209716796875, 62.997188568115234,0.0016, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260661370, 1093.7235107421875, 62.97456359863281,0.0022, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260678036, 1093.3310546875, 62.95170593261719,0.003, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260711368, 1093.1326904296875, 62.94028854370117,0.0033, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260744700, 1092.7398681640625, 62.917484283447266,0.0048, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260761366, 1092.3392333984375, 62.89456558227539,0.0072, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260794698, 1092.138427734375, 62.88306427001953,0.0089, 0.0, 0.0, 0.0, 0.0,0,0
20200714_152124_260828030, 1091.73779296875, 62.859825134277344,0.0123, 0.0, 0.0, 0.0, 0.0,1,0
