Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200714_154905_1830448576,-0.0,6.5e-05,-0.000559,0.012173,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830465242,0.0,2.2e-05,-0.000537,0.003335,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830498574,0.0,1.3e-05,0.000222,0.001394,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830515240,0.0,-4.3e-05,0.000391,-0.008951,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830531906,0.0,-6.3e-05,-0.000778,-0.011809,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830581904,0.0,-6.9e-05,-0.001145,-0.012369,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830598570,-0.0,-1e-05,0.001153,-0.000642,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154905_1830648568,-0.0,4.6e-05,0.000372,0.009384,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830665234,0.0,2.2e-05,-0.000648,0.003428,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830715232,0.0,1.3e-05,6.5e-05,0.00152,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830731898,0.0,-6.3e-05,-0.000944,-0.011677,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830765230,0.0,-0.000123,-0.00104,-0.022251,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830798562,0.0,-8.3e-05,4.4e-05,-0.014325,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830815228,-0.0,3.1e-05,0.001739,0.007351,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830848560,-0.0,5.1e-05,0.000799,0.010434,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830881892,-0.0,8.1e-05,-0.001057,0.014415,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830915224,0.0,2.6e-05,0.000149,0.003375,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830931890,0.0,1e-05,0.000565,0.001065,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830965222,0.0,-4.8e-05,0.000357,-0.009016,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1830981888,0.0,-7.3e-05,-0.001218,-0.012478,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1831015220,-0.0,-2.4e-05,-6.6e-05,-0.00301,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1831048552,-0.0,-1.1e-05,0.001302,-0.000781,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1831081884,-0.0,6.6e-05,-0.00062,0.012166,8.0,0.0,0.0, 0.0, 0.0,1
20200714_154906_1831098550,0.0,2.2e-05,-0.000746,0.003326,8.0,1.9844353199005127,0.0, 0.0, 0.0,1
20200714_154906_1831131882,0.0,1.2e-05,0.0002,0.001385,8.0,3.1746387481689453,0.0, 0.0, 0.0,1
20200714_154906_1831165214,0.0,-4.4e-05,0.000336,-0.008959,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831181880,0.0,-7.2e-05,-0.001239,-0.012383,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831231878,-0.0,-2.3e-05,-3.2e-05,-0.002939,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831248544,-0.0,4.4e-05,0.000579,0.009376,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831281876,-0.0,6.3e-05,-0.00047,0.012266,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831315208,0.0,2.2e-05,-0.000633,0.003418,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831331874,0.0,1.5e-05,0.000752,0.00133,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831381872,0.0,-3.8e-05,0.000426,-0.008864,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831415204,0.0,-8.7e-05,-0.000434,-0.015748,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831448536,-0.0,-3.2e-05,0.001124,-0.004676,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831481868,-0.0,4.9e-05,0.000937,0.010419,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831498534,-0.0,7.7e-05,-0.001242,0.014407,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831531866,-0.0,7.4e-05,-0.00086,0.013106,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154906_1831565198,0.0,1.5e-05,0.000659,0.001315,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154907_1831598530,0.0,-4.5e-05,0.000348,-0.009033,8.0,3.571373224258423,0.0, 0.0, 0.0,1
20200714_154907_1831615196,0.0,-7.1e-05,-0.001219,-0.012506,8.0,3.9681077003479004,0.0, 0.0, 0.0,1
20200714_154907_1831648528,-0.0,-2.5e-05,-0.000183,-0.003031,8.0,3.9681077003479004,0.0, 0.0, 0.0,1
20200714_154907_1831681860,-0.0,-1.2e-05,0.001285,-0.00082,8.0,4.364842176437378,0.0, 0.0, 0.0,1
20200714_154907_1831715192,-0.0,5.9e-05,-0.000543,0.012136,8.0,5.158311128616333,0.0, 0.0, 0.0,1
20200714_154907_1831765190,0.0,2e-05,-0.000729,0.003299,8.0,5.952543020248413,0.0, 0.0, 0.0,1
20200714_154907_1831781856,0.0,-3.9e-05,0.000225,-0.008989,8.0,7.9362183809280396,0.0, 0.0, 0.0,1
20200714_154907_1831815188,0.0,-5.7e-05,-0.000843,-0.011857,8.0,10.714122653007507,0.0, 0.0, 0.0,1
20200714_154907_1831848520,-0.0,-3.4e-05,6e-05,-0.005852,8.0,12.69855797290802,0.0, 0.0, 0.0,1
20200714_154907_1831865186,0.0,-5.1e-05,0.000746,-0.008767,8.0,15.87243378162384,0.0, 0.0, 0.0,1
20200714_154907_1831898518,0.0,-8.2e-05,0.000195,-0.014979,8.0,16.269931197166443,0.0, 0.0, 0.0,1
20200714_154907_1831931850,0.0,-0.000202,0.000964,-0.039851,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1831965182,0.0,-0.000429,0.006137,-0.086237,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1831981848,0.0,-0.000947,0.009248,-0.19021,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832015180,0.0,-0.001282,0.012975,-0.257907,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832048512,0.0,-0.002025,0.01971,-0.40776,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832081844,0.0,-0.002541,0.026595,-0.56768,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832115176,0.0,-0.003213,0.025805,-0.709618,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832131842,1.0,-0.004399,0.020284,-0.869312,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832165174,1.0,-0.004921,0.017867,-0.932365,8.0,17.063400149345398,0.0, 0.0, 0.0,1
20200714_154907_1832198506,1.0,-0.005556,0.006849,-1.042904,8.0,17.856869101524353,0.0, 0.0, 0.0,1
20200714_154907_1832231838,1.0,-0.005778,-0.000321,-1.136223,8.0,18.650338053703308,0.0, 0.0, 0.0,1
20200714_154907_1832265170,1.0,-0.006281,-0.013304,-1.219725,8.0,19.047075510025024,0.0, 0.0, 0.0,1
20200714_154907_1832281836,1.0,-0.006463,-0.008906,-1.302313,8.0,19.047075510025024,0.0, 0.0, 0.0,1
20200714_154907_1832331834,1.0,-0.006466,-0.007599,-1.341966,8.0,19.047075510025024,0.0, 0.0, 0.0,1
20200714_154907_1832381832,2.0,-0.006872,0.001937,-1.459566,8.0,19.841307401657104,0.0, 0.0, 0.0,1
20200714_154907_1832415164,2.0,-0.007845,0.016087,-1.580124,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154907_1832448496,2.0,-0.00831,0.023272,-1.660677,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154907_1832465162,2.0,-0.008617,0.026354,-1.734431,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154907_1832498494,3.0,-0.008733,0.027874,-1.769871,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154907_1832548492,3.0,-0.008994,0.029245,-1.838105,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832565158,3.0,-0.009516,0.029692,-1.934117,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832598490,3.0,-0.009709,0.029546,-1.964277,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832615156,4.0,-0.010016,0.026252,-2.021913,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832648488,4.0,-0.010135,0.024372,-2.049634,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832665154,4.0,-0.010355,0.019679,-2.102442,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832715152,4.0,-0.010483,0.017543,-2.127689,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832731818,4.0,-0.010838,0.012554,-2.199987,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832765150,5.0,-0.010923,0.012828,-2.223009,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832798482,5.0,-0.01111,0.014554,-2.267508,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832848480,5.0,-0.011333,0.017597,-2.30966,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832865146,6.0,-0.011644,0.022959,-2.367917,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832898478,6.0,-0.011737,0.024984,-2.386358,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832931810,6.0,-0.011896,0.027668,-2.420596,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832948476,6.0,-0.012041,0.028974,-2.452018,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1832981808,7.0,-0.012106,0.02947,-2.466603,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833031806,7.0,-0.01223,0.029814,-2.49416,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833065138,7.0,-0.012695,0.067625,-2.53316,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833098470,8.0,-0.012562,0.073334,-2.548574,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833131802,8.0,-0.012504,0.07358,-2.560332,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833165134,8.0,-0.012518,0.071063,-2.569145,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833198466,9.0,-0.012506,0.066062,-2.575016,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833231798,9.0,-0.01225,0.027608,-2.57737,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833265130,9.0,-0.012519,0.017044,-2.584695,8.0,20.63477635383606,0.0, 0.0, 0.0,1
20200714_154908_1833298462,9.0,-0.012693,0.011363,-2.590901,8.0,19.047075510025024,0.0, 0.0, 0.0,1
