Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200715_152010_1312547496,-0.0,-0.000108,-0.000409,0.015088,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312564162,-0.0,-9.8e-05,-0.000518,0.015089,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312580828,-0.0,-0.000106,-0.000541,0.015086,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312614160,-0.0,-0.000123,0.000232,0.015089,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312630826,-0.0,-0.000107,-0.000411,0.015085,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312664158,-0.0,-0.000125,0.000343,0.015089,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312714156,-0.0,-0.000108,-0.000452,0.015082,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312747488,-0.0,-0.000108,-0.000373,0.015081,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312780820,-0.0,-0.0001,-0.000348,0.015083,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312814152,-0.0,-0.000126,0.000352,0.015085,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312864150,-0.0,-0.000106,-0.000522,0.015082,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312897482,-0.0,-0.000104,-0.000469,0.015081,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312914148,-0.0,-9.6e-05,-0.000371,0.015081,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312930814,-0.0,-0.000107,-0.000381,0.015078,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312947480,-0.0,-0.000124,0.000324,0.015081,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1312964146,-0.0,-9.8e-05,-0.000448,0.015077,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313014144,-0.0,-0.000108,-0.000378,0.015075,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313030810,-0.0,-0.00011,-0.000397,0.015074,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313064142,-0.0,-0.000126,0.000357,0.015077,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313080808,-0.0,-0.000109,-0.000486,0.015074,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313097474,-0.0,-0.000123,0.000275,0.015077,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313147472,-0.0,-0.000112,-0.000468,0.015075,-12.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313164138,-0.0,-0.000379,-0.000397,0.015071,-13.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313197470,-0.0,-0.000481,-0.000345,0.015067,-13.0,0.0,0.0, 0.0, 0.0,2
20200715_152010_1313214136,-0.0,-0.000732,-0.000169,0.015063,-15.0,3.571373224258423,0.0, 0.0, 0.0,2
20200715_152010_1313247468,-0.0,-0.000856,-0.000206,0.015058,-16.0,7.1427494287490845,0.0, 0.0, 0.0,2
20200715_152010_1313297466,-0.0,-0.001138,-0.000277,0.015051,-17.0,10.714122653007507,0.0, 0.0, 0.0,2
20200715_152010_1313314132,-0.0,-0.001588,-0.000291,0.013969,-20.0,19.841307401657104,0.0, 0.0, 0.0,2
20200715_152010_1313347464,-0.0,-0.00165,-0.000326,0.013287,-21.0,22.22171425819397,0.0, 0.0, 0.0,2
20200715_152010_1313380796,-0.0,-0.001537,-0.000196,0.006181,-22.0,25.396353006362915,0.0, 0.0, 0.0,2
20200715_152011_1313397462,-0.0,-0.001264,0.002087,-0.012842,-24.0,29.364460706710815,0.0, 0.0, 0.0,2
20200715_152011_1313414128,-0.0,-0.000908,0.00197,-0.031419,-24.0,30.95216155052185,0.0, 0.0, 0.0,2
20200715_152011_1313447460,-0.0,-0.000542,0.002777,-0.051739,-24.0,31.348896026611328,0.0, 0.0, 0.0,2
20200715_152011_1313480792,-0.0,0.001193,0.008159,-0.141068,-25.0,34.126800298690796,0.0, 0.0, 0.0,2
20200715_152011_1313514124,-0.0,0.002647,0.018911,-0.209482,-25.0,35.31700670719147,0.0, 0.0, 0.0,2
20200715_152011_1313530790,0.0,0.007305,0.018178,-0.468722,-25.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152011_1313564122,0.0,0.010664,0.027996,-0.666411,-25.0,37.69817650318146,0.0, 0.0, 0.0,2
20200715_152011_1313614120,0.0,0.017449,0.059526,-1.062525,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313647452,1.0,0.026189,0.068298,-1.603543,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313664118,1.0,0.032184,0.047776,-1.97572,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313697450,1.0,0.034559,0.038956,-2.132588,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313730782,2.0,0.035074,0.007029,-2.181757,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313780780,2.0,0.035894,-0.037927,-2.227119,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313814112,2.0,0.03755,-0.0502,-2.310122,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313847444,3.0,0.038572,-0.032779,-2.373764,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313864110,3.0,0.039797,-0.005716,-2.440641,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313914108,3.0,0.040338,0.009689,-2.474194,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313930774,4.0,0.040999,0.03017,-2.564642,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313964106,4.0,0.041045,0.034477,-2.5927,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
20200715_152011_1313997438,4.0,0.041585,0.034303,-2.644531,-25.0,38.094910979270935,0.0, 0.0, 0.0,2
