Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200715_154509_2756739726,0.0,1e-06,0.000156,2.6e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756773058,0.0,1e-06,-2.2e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756789724,0.0,3e-06,-4.1e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756823056,0.0,4e-06,-4.4e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756839722,0.0,6e-06,3.8e-05,2.4e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756889720,0.0,6e-06,-2.9e-05,2.4e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756906386,0.0,7e-06,-1.4e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756939718,0.0,8e-06,8e-05,2.5e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2756973050,0.0,7e-06,0.000115,2.5e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757023048,0.0,4e-06,0.000181,2.6e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757039714,0.0,1e-06,-4.6e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757073046,0.0,2e-06,-9.9e-05,2.3e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757106378,0.0,3e-06,0.000114,2.4e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757123044,0.0,3e-06,-5.4e-05,2.2e-05,-6.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757139710,0.0,1e-06,-7.4e-05,2.2e-05,-7.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757156376,0.0,8e-06,-6.6e-05,2.2e-05,-7.0,0.0,0.0, 0.0, 0.0,0
20200715_154509_2757189708,0.0,3e-06,7.7e-05,2.3e-05,-9.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757223040,0.0,2e-06,0.000506,2.7e-05,-11.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757256372,0.0,-3e-06,0.000431,2.7e-05,-13.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757273038,0.0,-3e-06,0.000316,2.6e-05,-14.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757289704,0.0,3.7e-05,0.0003,2.7e-05,-15.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757323036,0.0,-7e-06,0.000237,2.5e-05,-16.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757339702,0.0,-1.2e-05,0.000122,2.4e-05,-18.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757389700,0.0,3.7e-05,-3.3e-05,2.4e-05,-19.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757406366,0.0,-7e-06,-0.000181,2.1e-05,-20.0,0.0,0.0, 0.0, 0.0,2
20200715_154509_2757439698,0.0,2.2e-05,-0.000316,2.1e-05,-20.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757473030,0.0,2.2e-05,-0.0004,2e-05,-20.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757506362,0.0,2.2e-05,-7.1e-05,2.3e-05,-20.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757523028,0.0,8e-06,-0.000331,2e-05,-20.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757556360,0.0,0.0,-0.000354,1.9e-05,-19.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757573026,0.0,4e-06,-0.000357,1.9e-05,-19.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757606358,0.0,2e-06,-0.000233,2e-05,-19.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757639690,0.0,-3e-06,0.000101,2.4e-05,-18.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757656356,0.0,-1.2e-05,-0.000201,2.1e-05,-17.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757673022,0.0,4e-06,-0.000238,2.1e-05,-17.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757723020,0.0,-9e-06,-6.6e-05,2.2e-05,-17.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757739686,0.0,9e-06,0.000123,2.4e-05,-17.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757789684,0.0,-1e-06,0.000231,2.6e-05,-17.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757839682,0.0,3e-06,0.000178,2.4e-05,-18.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757856348,0.0,1e-05,0.000126,2.4e-05,-18.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757889680,0.0,1e-06,3.8e-05,2.3e-05,-18.0,0.0,0.0, 0.0, 0.0,2
20200715_154510_2757906346,0.0,1e-06,2.3e-05,2.2e-05,-18.0,1.1902034282684326,0.0, 0.0, 0.0,2
20200715_154510_2757956344,0.0,9e-06,3e-06,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2757989676,0.0,3e-06,4.9e-05,2.3e-05,-18.0,3.1746387481689453,0.0, 0.0, 0.0,2
20200715_154510_2758039674,0.0,4e-06,-6.9e-05,2.2e-05,-18.0,3.1746387481689453,0.0, 0.0, 0.0,2
20200715_154510_2758056340,0.0,4e-06,3.1e-05,2.4e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758089672,0.0,4e-06,3.6e-05,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758106338,0.0,4e-06,3e-05,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758156336,0.0,4e-06,1.6e-05,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758173002,0.0,4e-06,1.3e-05,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758206334,0.0,4e-06,0.00014,2.5e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758223000,0.0,4e-06,1.1e-05,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758272998,0.0,4e-06,1e-06,2.3e-05,-18.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758306330,0.0,4e-06,0.000135,2.5e-05,-19.0,2.3811697959899902,0.0, 0.0, 0.0,2
20200715_154510_2758322996,0.0,4e-06,-1.7e-05,2.3e-05,-19.0,3.1746387481689453,0.0, 0.0, 0.0,2
20200715_154510_2758372994,0.0,4e-06,-2.9e-05,2.2e-05,-19.0,3.9681077003479004,0.0, 0.0, 0.0,2
20200715_154511_2758406326,0.0,4e-06,9.8e-05,2.4e-05,-19.0,7.9362183809280396,0.0, 0.0, 0.0,2
20200715_154511_2758422992,0.0,4e-06,1e-06,2.3e-05,-19.0,8.332952857017517,0.0, 0.0, 0.0,2
20200715_154511_2758456324,0.0,4e-06,-0.00014,2.1e-05,-19.0,11.507591605186462,0.0, 0.0, 0.0,2
20200715_154511_2758472990,0.0,4.2e-05,-2.2e-05,-0.00282,-19.0,19.047075510025024,0.0, 0.0, 0.0,2
20200715_154511_2758506322,0.0,6.1e-05,0.000322,-0.006211,-19.0,28.174257278442383,0.0, 0.0, 0.0,2
20200715_154511_2758556320,0.0,0.000277,0.000893,-0.022725,-19.0,34.126800298690796,0.0, 0.0, 0.0,2
20200715_154511_2758606318,0.0,0.000981,0.004594,-0.074596,-19.0,45.6343948841095,0.0, 0.0, 0.0,2
20200715_154511_2758622984,0.0,0.002326,0.010306,-0.185987,-20.0,50.0,0.0, 0.0, 0.0,2
20200715_154511_2758656316,0.0,0.00328,0.012843,-0.249984,-20.0,52.343785762786865,0.0, 0.0, 0.0,2
20200715_154511_2758689648,0.0,0.00576,0.021742,-0.423168,-20.0,55.85946440696716,0.0, 0.0, 0.0,2
20200715_154511_2758706314,0.0,0.008714,0.03023,-0.62751,-21.0,62.109559774398804,0.0, 0.0, 0.0,2
20200715_154511_2758756312,0.0,0.010313,0.032985,-0.734697,-21.0,66.01586937904358,0.0, 0.0, 0.0,2
20200715_154511_2758789644,1.0,0.016088,0.03428,-1.095818,-22.0,68.75028610229492,0.0, 0.0, 0.0,2
20200715_154511_2758839642,1.0,0.019316,0.027782,-1.307625,-22.0,69.1409170627594,0.0, 0.0, 0.0,2
20200715_154511_2758856308,1.0,0.023162,0.002686,-1.55644,-22.0,69.53154802322388,0.0, 0.0, 0.0,2
20200715_154511_2758906306,1.0,0.024194,-0.006351,-1.626718,-22.0,70.31280994415283,0.0, 0.0, 0.0,2
20200715_154511_2758922972,2.0,0.027167,-0.017038,-1.81896,-22.0,71.87533378601074,0.0, 0.0, 0.0,2
