Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200715_160843_201941922,-0.0,2e-06,-0.001406,-2.6e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_201975254,-0.0,2.8e-05,0.000474,5e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_201991920,-0.0,-5.5e-05,0.00018,1e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202025252,-0.0,-3.9e-05,6e-06,-1e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202058584,-0.0,-7e-06,-0.001436,-2.4e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202075250,-0.0,3.6e-05,0.000488,-1.3e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202125248,-0.0,-2.4e-05,0.000426,-1.1e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202141914,-0.0,-1.3e-05,-1.6e-05,-1.8e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202191912,-0.0,3e-06,-0.001368,-2.5e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202208578,-0.0,-3e-05,0.000484,3e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202258576,-0.0,-4.9e-05,0.000176,-0.0,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202275242,-0.0,-9e-06,-0.001345,-2.4e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202308574,-0.0,8.5e-05,0.000367,-1.7e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202341906,-0.0,-2.9e-05,0.000359,-1.1e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202375238,-0.0,-3.4e-05,-5e-06,-1.7e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202408570,-0.0,1e-06,-0.001325,-2.4e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160843_202441902,-0.0,3.7e-05,0.00043,5e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160844_202458568,-0.0,-4.7e-05,0.000122,0.0,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160844_202491900,-0.0,-3.5e-05,5.8e-05,-1e-06,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160844_202525232,-0.0,-0.0,-0.001405,-2.5e-05,3.0,0.0,0.0, 0.0, 0.0,0
20200715_160844_202541898,-0.0,3.7e-05,0.000428,-1.4e-05,3.0,13.888761401176453,0.0, 0.0, 0.0,0
20200715_160844_202575230,-0.0,-3e-05,0.000349,-1.3e-05,3.0,20.63477635383606,0.0, 0.0, 0.0,0
20200715_160844_202608562,0.0,-5e-05,0.000123,-0.005506,3.0,20.63477635383606,0.0, 0.0, 0.0,0
20200715_160844_202625228,0.0,-3.7e-05,0.000343,-0.022511,3.0,24.999618530273438,0.0, 0.0, 0.0,0
20200715_160844_202658560,0.0,-3.7e-05,0.001059,-0.03096,3.0,28.174257278442383,0.0, 0.0, 0.0,0
20200715_160844_202675226,0.0,-0.000124,0.005683,-0.084665,3.0,49.6025025844574,0.0, 0.0, 0.0,0
20200715_160844_202708558,0.0,-0.000234,0.008228,-0.104186,3.0,54.68757152557373,0.0, 0.0, 0.0,0
20200715_160844_202741890,0.0,-0.00056,0.010318,-0.213435,3.0,69.1409170627594,0.0, 0.0, 0.0,0
20200715_160844_202791888,0.0,-0.000877,0.021903,-0.400621,3.0,74.99961853027344,0.0, 0.0, 0.0,0
20200715_160844_202808554,0.0,-0.00171,0.039439,-0.790477,4.0,78.90592813491821,0.0, 0.0, 0.0,0
20200715_160844_202841886,1.0,-0.002251,0.04565,-0.926465,4.0,80.07782101631165,0.0, 0.0, 0.0,0
20200715_160844_202875218,1.0,-0.003605,0.045952,-1.238651,4.0,91.79674983024597,0.0, 0.0, 0.0,0
20200715_160844_202891884,1.0,-0.004795,0.043728,-1.515604,5.0,98.43747615814209,0.0, 0.0, 0.0,0
20200715_160844_202925216,1.0,-0.005788,0.035911,-1.633838,6.0,98.82810711860657,0.0, 0.0, 0.0,0
20200715_160844_202941882,1.0,-0.00837,0.01164,-1.833797,6.0,99.21873807907104,0.0, 0.0, 0.0,0
