Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200715_171312_3544524880, 31.47620964050293,0.000162,0.168396,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20200715_171313_3544558212, 31.445884704589844,3.6e-05,0.168424,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544574878, 31.425689697265625,-4.1e-05,0.168401,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544591544, 31.415578842163086,-7.1e-05,0.168424,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544624876, 31.405467987060547,-8.6e-05,0.168442,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544658208, 31.38525390625,-0.00015,0.168442,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544691540, 31.365036010742188,-0.000163,0.168453,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544708206, 31.344818115234375,-8.9e-05,0.168453,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544758204, 31.334720611572266,-2.9e-05,0.168453,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544791536, 31.304298400878906,-0.049084,0.168625,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544824868, 31.285823822021484,-0.054194,0.165723,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544841534, 31.265695571899414,-0.052551,0.165575,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544858200, 31.255624771118164,-0.052208,0.165506,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544891532, 31.24553871154785,-0.051614,0.165472,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200715_171313_3544924864, 31.22535514831543,-0.02748,0.165409,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
