Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_165144_3599800234,0.0,2e-06,0.012136,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599833566,-0.0,4e-06,0.003264,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599850232,-0.0,4e-06,0.001122,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599883564,-0.0,3e-06,-0.009041,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599900230,-0.0,1e-06,-0.022398,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599933562,-0.0,1e-06,-0.015905,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3599950228,0.0,0.0,-0.004886,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3600000226,0.0,-0.0,0.007119,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3600033558,0.0,4e-06,0.014206,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3600050224,0.0,7e-06,0.016,0.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3600083556,0.0,6e-06,0.014532,0.0,4.0,0.0, 0.0, 0.0,7,0:00:00
20200720_165144_3600116888,-0.0,3e-06,-0.00716,0.0,5.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600133554,-0.0,0.0,-0.020905,0.0,8.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600183552,-0.0,-2e-06,-0.014202,0.0,10.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600233550,-0.0,-2e-06,-0.012066,0.0,19.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600250216,0.0,3e-06,0.029305,0.0,24.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600283548,0.0,4e-06,0.04627,0.0,24.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600300214,0.0,7e-06,0.098541,0.0,24.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600333546,0.0,7e-06,0.115784,0.0,24.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600366878,0.0,4e-06,0.213564,0.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600400210,0.0,2e-06,0.338938,0.0,27.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600433542,0.0,-0.0,0.498207,0.0,30.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600450208,0.0,-1e-06,0.666124,0.0,31.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600483540,1.0,-1e-06,0.75441,0.0,31.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600516872,1.0,1e-06,0.934681,0.0,32.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600550204,1.0,2e-06,1.075753,0.0,32.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600566870,1.0,3e-06,1.19689,-0.0,33.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600616868,1.0,3e-06,1.251883,-1.0,34.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600650200,1.0,-0.001475,1.402557,-1.0,34.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165144_3600683532,2.0,-0.003527,1.496231,-2.0,34.0,0.0, 0.0, 0.0,0,0:00:00
20200720_165145_3600716864,2.0,-0.005877,1.587949,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600733530,2.0,-0.008154,1.67876,-4.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600766862,2.0,-0.008974,1.724026,-4.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600783528,2.0,-0.00869,1.813118,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600816860,2.0,-0.008027,1.856229,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600833526,3.0,-0.005899,1.939802,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600883524,3.0,-0.005133,1.979911,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600916856,3.0,-0.003575,2.094114,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600950188,4.0,-0.003622,2.16553,-3.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3600983520,4.0,-0.005191,2.233047,-4.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601016852,4.0,-0.007274,2.296716,-4.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601033518,4.0,-0.009178,2.356968,-4.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601066850,5.0,-0.010544,2.386115,-5.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601116848,5.0,-0.015166,2.441802,-5.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601133514,5.0,-0.021913,2.521722,-6.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601166846,5.0,-0.022873,2.547094,-7.0,34.0,0.0, 0.0, 0.0,0,0:00:01
20200720_165145_3601200178,6.0,-0.028923,2.596285,-8.0,34.0,0.0, 0.0, 0.0,1,0:00:01
