Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200804_162053_78885308,51,-0.000575,-1,17,0,0,0,0,0:00:00
20200804_162053_78901974,51,-0.000566,-1,17,0,0,0,0,0:00:00
20200804_162053_78935306,51,-0.000563,-1,17,0,0,0,0,0:00:00
20200804_162053_78951972,51,-0.00055,-1,17,0,0,0,0,0:00:00
20200804_162053_78968638,52,-0.000545,-1,17,0,0,0,0,0:00:00
20200804_162053_79001970,52,-0.000543,-1,17,0,0,0,0,0:00:00
20200804_162053_79018636,52,0.002781,-1,17,0,0,0,0,0:00:00
20200804_162053_79051968,52,0.004773,-1,17,0,0,0,0,0:00:00
20200804_162053_79085300,52,0.005284,-1,17,0,0,0,0,0:00:00
20200804_162053_79118632,52,0.004481,-1,17,0,0,0,0,0:00:00
20200804_162053_79168630,52,0.004127,-1,17,0,0,0,0,0:00:00
20200804_162053_79185296,52,0.00066,-1,16,0,0,0,0,0:00:00
20200804_162053_79235294,52,-0.001332,-1,16,0,0,0,0,0:00:00
20200804_162053_79268626,52,-0.001201,-1,16,0,1,0,5,0:00:00
20200804_162053_79285292,52,-0.00329,-2,16,0,1,0,5,0:00:00
20200804_162053_79335290,52,-0.026235,-2,16,0,1,0,5,0:00:00
20200804_162053_79351956,52,-0.090812,-3,16,0,1,0,5,0:00:00
20200804_162053_79385288,52,-0.108107,-3,16,0,1,0,5,0:00:00
20200804_162053_79401954,52,-0.144136,-4,16,0,1,0,5,0:00:00
20200804_162053_79435286,53,-0.168741,-4,16,0,1,0,5,0:00:00
20200804_162053_79468618,53,-0.263285,-7,16,0,1,0,5,0:00:00
20200804_162053_79485284,53,-0.326319,-8,16,0,1,0,5,0:00:00
20200804_162053_79518616,53,-0.354501,-9,16,0,1,0,5,0:00:00
20200804_162053_79568614,53,-0.387664,-10,16,0,1,0,5,0:00:00
20200804_162053_79585280,53,-0.393235,-11,16,0,1,0,5,0:00:00
20200804_162054_79618612,53,-0.384392,-12,16,0,1,0,5,0:00:01
20200804_162054_79651944,53,-0.329927,-13,16,0,0,0,5,0:00:01
20200804_162054_79668610,53,-0.304748,-14,16,0,0,0,5,0:00:01
20200804_162054_79701942,53,-0.292657,-14,16,0,0,0,5,0:00:01
20200804_162054_79718608,53,-0.284882,-16,16,0,0,0,5,0:00:01
20200804_162054_79751940,53,-0.294599,-16,16,0,0,0,5,0:00:01
20200804_162054_79768606,53,-0.322063,-17,16,0,0,0,5,0:00:01
20200804_162054_79818604,53,-0.318364,-17,16,0,0,0,5,0:00:01
20200804_162054_79851936,53,-0.227685,-17,16,0,0,0,5,0:00:01
20200804_162054_79885268,53,-0.172183,-18,16,0,0,0,5,0:00:01
20200804_162054_79901934,53,-0.112693,-18,16,0,0,0,5,0:00:01
20200804_162054_79935266,53,-0.077876,-18,16,0,0,0,5,0:00:01
20200804_162054_79985264,54,-0.034944,-18,16,0,0,0,5,0:00:01
20200804_162054_80001930,54,-0.010419,-18,16,0,0,0,5,0:00:01
20200804_162054_80035262,54,-0.013956,-18,16,0,1,0,5,0:00:01
20200804_162054_80051928,54,-0.010869,-18,16,0,1,0,5,0:00:01
20200804_162054_80101926,54,-0.008149,-18,16,0,1,0,5,0:00:01
20200804_162054_80135258,54,-0.007655,-18,16,0,1,0,5,0:00:01
20200804_162054_80168590,54,-0.007549,-18,16,0,1,0,5,0:00:01
20200804_162054_80185256,54,-0.006234,-18,16,0,1,0,5,0:00:01
20200804_162054_80218588,54,-0.005584,-18,16,0,1,0,5,0:00:01
20200804_162054_80251920,54,-0.00423,-18,16,0,1,0,5,0:00:01
20200804_162054_80301918,54,0.000969,-17,16,0,1,0,5,0:00:01
20200804_162054_80318584,54,0.037568,-17,16,0,1,0,5,0:00:01
20200804_162054_80351916,54,0.056896,-16,16,0,1,0,5,0:00:01
20200804_162054_80385248,54,0.128295,-15,16,0,1,0,5,0:00:01
20200804_162054_80401914,54,0.206212,-14,16,0,1,0,5,0:00:01
20200804_162054_80435246,54,0.253471,-13,16,0,0,0,5,0:00:01
20200804_162054_80468578,54,0.308268,-12,16,0,0,0,5,0:00:01
20200804_162054_80501910,54,0.334027,-12,16,0,0,0,5,0:00:01
20200804_162054_80535242,54,0.298908,-11,16,0,0,0,5,0:00:01
20200804_162054_80551908,54,0.251408,-10,16,0,0,0,5,0:00:01
20200804_162055_80585240,54,0.227605,-10,16,0,0,0,5,0:00:02
20200804_162055_80635238,54,0.166504,-10,16,0,0,0,5,0:00:02
20200804_162055_80651904,54,0.104268,-9,16,0,0,0,5,0:00:02
20200804_162055_80685236,54,0.111042,-9,16,0,0,0,5,0:00:02
20200804_162055_80718568,54,0.109601,-9,16,0,0,0,5,0:00:02
20200804_162055_80768566,54,0.106568,-8,16,0,0,0,5,0:00:02
20200804_162055_80801898,54,0.171895,-7,16,0,0,0,5,0:00:02
20200804_162055_80818564,54,0.202145,-6,16,0,0,0,5,0:00:02
20200804_162055_80851896,54,0.228484,-5,16,0,1,0,5,0:00:02
20200804_162055_80885228,54,0.303983,-3,16,0,1,0,5,0:00:02
20200804_162055_80918560,54,0.375666,-2,16,0,1,0,5,0:00:02
20200804_162055_80935226,54,0.414612,0,16,0,1,0,5,0:00:02
20200804_162055_80968558,54,0.42824,1,16,0,1,0,5,0:00:02
20200804_162055_81001890,54,0.435568,2,16,0,1,0,5,0:00:02
20200804_162055_81035222,54,0.419963,2,16,0,1,0,5,0:00:02
20200804_162055_81068554,54,0.352874,4,16,0,1,0,5,0:00:02
20200804_162055_81085220,54,0.330706,5,16,0,1,0,5,0:00:02
20200804_162055_81118552,54,0.32635,6,16,0,1,0,5,0:00:02
20200804_162055_81135218,54,0.363861,8,16,0,1,0,5,0:00:02
20200804_162055_81185216,54,0.387069,8,16,0,1,0,5,0:00:02
20200804_162055_81201882,54,0.410164,9,16,0,1,0,5,0:00:02
20200804_162055_81235214,54,0.403379,10,16,0,0,0,5,0:00:02
20200804_162055_81251880,54,0.388208,11,16,0,0,0,5,0:00:02
20200804_162055_81318544,55,0.370423,12,16,0,0,0,5,0:00:02
20200804_162055_81335210,55,0.22493,13,16,0,0,0,5,0:00:02
20200804_162055_81368542,55,0.2048,13,16,0,0,0,5,0:00:02
20200804_162055_81385208,55,0.231988,14,16,0,0,0,5,0:00:02
20200804_162055_81435206,55,0.224201,15,16,0,0,0,5,0:00:02
20200804_162055_81451872,55,0.23466,16,16,0,0,0,5,0:00:02
20200804_162055_81485204,55,0.220998,16,16,0,0,0,5,0:00:02
20200804_162055_81518536,55,0.268062,17,16,0,0,0,5,0:00:02
20200804_162055_81535202,55,0.290611,18,16,0,0,0,5,0:00:02
