Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_170222_4215992252,59.0,0.045729,-0.56178,-1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216025584,59.0,0.109627,-0.56265,-0.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216058916,59.0,0.142847,-0.563714,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216075582,59.0,0.183022,-0.564447,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216092248,59.0,0.204402,-0.564859,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216125580,59.0,0.210876,-0.565351,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216158912,59.0,0.172858,-0.565843,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216208910,59.0,0.09402,-0.56661,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216225576,59.0,0.032773,-0.567491,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216258908,59.0,0.002275,-0.56804,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216292240,59.0,-0.032786,-0.568681,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216308906,60.0,-0.023129,-0.569654,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216342238,60.0,-0.015724,-0.569997,1.0,25.0,0.0, 0.0, 0.0,0,0:00:00
20200720_170222_4216375570,60.0,-0.004071,-0.57034,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216392236,60.0,0.004242,-0.570981,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216442234,60.0,0.00575,-0.571164,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216475566,60.0,0.001822,-0.572045,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216492232,60.0,-0.000654,-0.572435,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216558896,60.0,-0.001166,-0.572641,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216575562,60.0,0.009059,-0.573201,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216608894,60.0,0.008851,-0.573339,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216642226,60.0,0.008303,-0.573659,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170222_4216692224,60.0,0.007628,-0.573648,1.0,25.0,0.0, 1.0, 0.0,3,0:00:00
20200720_170223_4216725556,60.0,-0.000851,-0.574094,1.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4216758888,60.0,-0.002076,-0.574254,1.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4216808886,60.0,-0.00116,-0.57438,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4216875550,61.0,-0.000285,-0.574529,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4216892216,61.0,-0.000217,-0.574529,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4216925548,61.0,0.000283,-0.574483,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4216958880,61.0,-0.003903,-0.57454,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4216992212,61.0,-0.013402,-0.574609,1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217025544,61.0,-0.065243,-0.574712,0.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217058876,61.0,-0.097603,-0.57509,-0.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217092208,61.0,-0.090745,-0.574907,-1.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217108874,61.0,-0.197468,-0.574414,-2.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217142206,61.0,-0.239356,-0.574426,-3.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217175538,61.0,-0.363977,-0.573464,-6.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217225536,61.0,-0.451834,-0.572549,-7.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217258868,61.0,-0.643037,-0.570226,-10.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217308866,62.0,-0.640333,-0.568486,-13.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217325532,62.0,-0.640669,-0.564263,-14.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217358864,62.0,-0.565624,-0.563908,-14.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217392196,62.0,-0.496358,-0.563279,-15.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217408862,62.0,-0.414264,-0.563828,-16.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217425528,62.0,-0.384796,-0.56416,-16.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217458860,62.0,-0.333889,-0.565316,-16.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217508858,62.0,-0.226277,-0.568086,-17.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217542190,62.0,-0.242303,-0.568463,-18.0,25.0,0.0, 1.0, 0.0,3,0:00:01
20200720_170223_4217575522,62.0,-0.159436,-0.569951,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217592188,62.0,-0.12765,-0.570878,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217625520,62.0,-0.113563,-0.571084,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170223_4217658852,62.0,-0.074916,-0.571725,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:01
20200720_170224_4217692184,62.0,-0.014009,-0.572732,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217725516,62.0,0.006189,-0.572789,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217775514,62.0,-0.001001,-0.572102,-18.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217792180,63.0,0.045189,-0.572652,-17.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217825512,63.0,0.07187,-0.573339,-16.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217842178,63.0,0.117845,-0.574597,-15.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217892176,63.0,0.173646,-0.575708,-14.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217908842,63.0,0.379444,-0.579587,-12.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217942174,63.0,0.445515,-0.580354,-11.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4217958840,63.0,0.470605,-0.579461,-9.0,25.0,0.0, 0.0, 0.0,3,0:00:02
20200720_170224_4218008838,63.0,0.507024,-0.578729,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218058836,63.0,0.431228,-0.575296,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218075502,63.0,0.199563,-0.569917,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218108834,63.0,0.127487,-0.568646,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218142166,63.0,0.052778,-0.567353,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218175498,63.0,-0.037212,-0.566106,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218192164,63.0,-0.029944,-0.565179,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
20200720_170224_4218242162,63.0,-0.014359,-0.564904,-9.0,25.0,0.0, 1.0, 0.0,3,0:00:02
