Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200804_154229_3206349306,85,-0.000347,2,0,0,0,0,0,0:00:00
20200804_154229_3206382638,85,0.000265,2,0,0,0,0,0,0:00:00
20200804_154229_3206399304,85,-0.000733,2,0,0,0,0,0,0:00:00
20200804_154229_3206415970,85,0.001597,2,0,0,0,0,0,0:00:00
20200804_154229_3206449302,85,0.005014,2,0,0,0,0,0,0:00:00
20200804_154229_3206482634,84,0.005062,2,0,0,1,0,5,0:00:00
20200804_154229_3206515966,84,0.006489,2,0,0,1,0,5,0:00:00
20200804_154229_3206549298,84,0.006931,2,0,0,1,0,5,0:00:00
20200804_154229_3206582630,84,0.005436,2,0,0,1,0,5,0:00:00
20200804_154229_3206599296,84,-0.000427,2,0,0,1,0,5,0:00:00
20200804_154230_3206632628,84,-0.00084,2,0,0,1,0,5,0:00:01
20200804_154230_3206649294,84,-0.001324,2,0,0,1,0,5,0:00:01
20200804_154230_3206665960,84,-0.002778,2,0,0,1,0,5,0:00:01
20200804_154230_3206699292,84,-0.013515,2,0,0,1,0,5,0:00:01
20200804_154230_3206732624,84,-0.15359,-4,0,0,1,0,5,0:00:01
20200804_154230_3206765956,84,-0.611027,-8,0,0,1,0,5,0:00:01
20200804_154230_3206799288,84,-1.024319,-11,0,0,1,0,5,0:00:01
20200804_154230_3206815954,84,-1.376372,-15,0,0,1,0,5,0:00:01
20200804_154230_3206832620,84,-1.528588,-16,0,0,1,0,5,0:00:01
20200804_154230_3206882618,84,-1.654149,-18,0,0,0,0,5,0:00:01
20200804_154230_3206899284,84,-1.629761,-23,0,0,0,0,5,0:00:01
20200804_154230_3206932616,84,-1.471717,-24,0,0,0,0,5,0:00:01
20200804_154230_3206949282,84,-1.208913,-25,0,0,0,0,5,0:00:01
20200804_154230_3206982614,84,-1.100755,-26,0,0,0,0,5,0:00:01
20200804_154230_3207015946,84,-0.930835,-27,0,0,0,0,5,0:00:01
