Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_120656_321370478,55,-0.118577,2,4,0,0,0,0,0:00:00
20200805_120656_321403810,55,-0.072264,2,4,0,0,0,0,0:00:00
20200805_120656_321420476,55,-0.035924,2,4,0,0,0,0,0:00:00
20200805_120656_321437142,55,-0.024101,2,4,0,0,0,0,0:00:00
20200805_120656_321470474,55,-0.010606,2,4,0,0,0,0,0:00:00
20200805_120656_321503806,55,0.00613,2,4,0,0,0,0,0:00:00
20200805_120657_321520472,55,0.006563,2,4,0,0,1,6,0:00:01
20200805_120657_321570470,55,0.004156,2,4,0,0,1,6,0:00:01
20200805_120657_321587136,55,0.023438,2,4,0,0,1,6,0:00:01
20200805_120657_321637134,55,0.026053,2,4,0,0,1,6,0:00:01
20200805_120657_321670466,55,0.023398,2,4,0,0,1,6,0:00:01
20200805_120657_321687132,55,0.021468,2,4,0,0,1,6,0:00:01
20200805_120657_321703798,55,0.019927,2,4,0,0,1,6,0:00:01
20200805_120657_321720464,55,0.011993,2,4,0,0,1,6,0:00:01
20200805_120657_321737130,55,0.002631,2,4,0,0,1,6,0:00:01
20200805_120657_321770462,55,-0.001054,3,4,0,0,1,6,0:00:01
20200805_120657_321803794,55,0.102881,5,4,0,0,1,6,0:00:01
20200805_120657_321837126,55,0.242309,7,4,0,0,1,6,0:00:01
20200805_120657_321853792,55,0.399993,9,4,0,0,1,6,0:00:01
20200805_120657_321887124,55,0.470785,10,4,0,0,1,6,0:00:01
20200805_120657_321903790,55,0.638458,14,4,0,0,1,6,0:00:01
20200805_120657_321937122,55,0.732288,14,4,0,0,0,6,0:00:01
20200805_120657_321970454,55,0.76298,17,4,0,0,0,6,0:00:01
20200805_120657_322003786,55,0.702696,18,4,0,0,0,6,0:00:01
20200805_120657_322037118,55,0.59503,19,4,0,0,0,6,0:00:01
20200805_120657_322053784,55,0.513404,19,4,0,0,0,6,0:00:01
20200805_120657_322087116,55,0.390266,19,4,0,0,0,6,0:00:01
20200805_120657_322120448,55,0.208489,19,4,0,0,0,6,0:00:01
20200805_120657_322137114,55,0.079097,19,4,0,0,0,6,0:00:01
20200805_120657_322187112,55,0.058127,19,4,0,0,0,6,0:00:01
20200805_120657_322203778,55,-0.00621,19,4,0,0,0,6,0:00:01
20200805_120657_322237110,55,-0.02032,19,4,0,0,0,6,0:00:01
20200805_120657_322270442,55,-0.0249,18,4,0,0,0,6,0:00:01
20200805_120657_322303774,55,-0.027412,18,5,0,0,1,6,0:00:01
20200805_120657_322337106,55,-0.043827,18,5,0,0,1,6,0:00:01
20200805_120657_322353772,55,-0.070577,18,5,0,0,1,6,0:00:01
20200805_120657_322403770,55,-0.079947,18,5,0,0,1,6,0:00:01
20200805_120657_322437102,55,-0.090147,17,4,0,0,1,6,0:00:01
20200805_120658_322453768,55,-0.08658,17,4,0,0,1,6,0:00:02
20200805_120658_322503766,55,-0.087904,17,4,0,0,1,6,0:00:02
20200805_120658_322520432,55,-0.090964,16,5,0,0,1,6,0:00:02
20200805_120658_322553764,55,-0.097814,16,5,0,0,1,6,0:00:02
20200805_120658_322570430,55,-0.117842,15,5,0,0,1,6,0:00:02
20200805_120658_322620428,55,-0.125119,15,5,0,0,1,6,0:00:02
20200805_120658_322637094,55,-0.131654,15,5,0,0,1,6,0:00:02
20200805_120658_322670426,55,-0.127926,15,5,0,0,1,6,0:00:02
20200805_120658_322703758,55,-0.108508,14,5,0,0,0,6,0:00:02
20200805_120658_322737090,55,-0.080783,14,5,0,0,0,6,0:00:02
20200805_120658_322770422,55,-0.047107,14,5,0,0,0,6,0:00:02
20200805_120658_322787088,55,-0.045811,14,5,0,0,0,6,0:00:02
20200805_120658_322820420,55,-0.043244,14,5,0,0,0,6,0:00:02
20200805_120658_322853752,55,-0.070631,13,5,0,0,0,6,0:00:02
20200805_120658_322887084,55,-0.123361,12,5,0,0,0,6,0:00:02
20200805_120658_322920416,55,-0.175651,11,5,0,0,0,6,0:00:02
20200805_120658_322953748,55,-0.248647,10,5,0,0,0,6,0:00:02
20200805_120658_322970414,55,-0.291299,9,5,0,0,0,6,0:00:02
20200805_120658_323003746,55,-0.318025,8,5,0,0,0,6,0:00:02
20200805_120658_323020412,55,-0.323063,7,5,0,0,0,6,0:00:02
20200805_120658_323053744,55,-0.311486,7,5,0,0,0,6,0:00:02
20200805_120658_323087076,55,-0.335765,6,5,0,0,0,6,0:00:02
20200805_120658_323103742,55,-0.284329,5,5,0,0,0,6,0:00:02
20200805_120658_323137074,55,-0.279822,5,5,0,0,1,6,0:00:02
20200805_120658_323170406,55,-0.238206,4,5,0,0,1,6,0:00:02
20200805_120658_323203738,55,-0.198316,4,5,0,0,1,6,0:00:02
20200805_120658_323237070,55,-0.149101,4,5,0,0,1,6,0:00:02
20200805_120658_323270402,55,-0.113978,3,5,0,0,1,6,0:00:02
20200805_120658_323287068,55,-0.102483,3,5,0,0,1,6,0:00:02
20200805_120658_323320400,55,-0.109066,3,5,0,0,1,6,0:00:02
20200805_120658_323370398,55,-0.119163,2,5,0,0,1,6,0:00:02
20200805_120658_323403730,55,-0.149491,1,5,0,0,1,6,0:00:02
20200805_120659_323420396,55,-0.147957,1,5,0,0,1,6,0:00:03
20200805_120659_323453728,55,-0.153681,1,5,0,0,1,6,0:00:03
20200805_120659_323487060,55,-0.190803,-1,6,0,0,1,6,0:00:03
20200805_120659_323520392,55,-0.235499,-2,6,0,0,0,6,0:00:03
20200805_120659_323553724,55,-0.28324,-4,6,0,0,0,6,0:00:03
20200805_120659_323587056,55,-0.35836,-5,6,0,0,0,6,0:00:03
20200805_120659_323620388,55,-0.443544,-7,6,0,0,0,6,0:00:03
20200805_120659_323653720,55,-0.476932,-8,6,0,0,0,6,0:00:03
20200805_120659_323670386,55,-0.472847,-10,6,0,0,0,6,0:00:03
20200805_120659_323703718,55,-0.482154,-10,6,0,0,0,6,0:00:03
20200805_120659_323737050,55,-0.422201,-11,6,0,0,0,6,0:00:03
20200805_120659_323770382,55,-0.368752,-12,6,0,0,0,6,0:00:03
20200805_120659_323803714,55,-0.268933,-12,6,0,0,0,6,0:00:03
20200805_120659_323837046,55,-0.237906,-13,6,0,0,0,6,0:00:03
20200805_120659_323853712,55,-0.181079,-13,6,0,0,0,6,0:00:03
20200805_120659_323887044,55,-0.175368,-14,6,0,0,0,6,0:00:03
20200805_120659_323920376,55,-0.168854,-15,6,0,0,1,6,0:00:03
20200805_120659_323953708,55,-0.201398,-15,6,0,0,1,6,0:00:03
20200805_120659_323987040,55,-0.225383,-16,6,0,0,1,6,0:00:03
20200805_120659_324003706,55,-0.215081,-16,6,0,0,1,6,0:00:03
20200805_120659_324037038,55,-0.198016,-16,6,0,0,1,6,0:00:03
20200805_120659_324070370,55,-0.152926,-16,6,0,0,1,6,0:00:03
20200805_120659_324103702,55,-0.099126,-16,6,0,0,1,6,0:00:03
20200805_120659_324137034,55,-0.04886,-16,6,0,0,1,6,0:00:03
20200805_120659_324153700,55,-0.003626,-16,6,0,0,1,6,0:00:03
20200805_120659_324187032,55,-0.000859,-16,6,0,0,1,6,0:00:03
20200805_120659_324220364,55,-0.006369,-17,6,0,0,1,6,0:00:03
20200805_120659_324237030,55,-0.014156,-17,6,0,0,1,6,0:00:03
20200805_120659_324270362,55,-0.015758,-17,6,0,0,1,6,0:00:03
20200805_120659_324320360,55,-0.018609,-17,6,0,0,0,6,0:00:03
20200805_120659_324337026,55,-0.00656,-16,6,0,0,0,6,0:00:03
20200805_120659_324370358,55,0.015012,-15,6,0,0,0,6,0:00:03
20200805_120700_324403690,55,0.123228,-14,6,0,0,0,6,0:00:04
20200805_120700_324437022,55,0.229968,-12,6,0,0,0,6,0:00:04
20200805_120700_324453688,55,0.321998,-11,6,0,0,0,6,0:00:04
20200805_120700_324503686,55,0.3613,-9,6,0,0,0,6,0:00:04
20200805_120700_324520352,55,0.50936,-8,6,0,0,0,6,0:00:04
20200805_120700_324553684,55,0.505264,-7,6,0,0,0,6,0:00:04
20200805_120700_324587016,55,0.50651,-5,6,0,0,0,0,0:00:04
20200805_120700_324620348,55,0.492075,-4,6,0,0,0,0,0:00:04
20200805_120700_324653680,55,0.440599,-3,6,0,0,0,0,0:00:04
20200805_120700_324687012,55,0.328099,-3,6,0,0,0,0,0:00:04
20200805_120700_324720344,56,0.294392,-2,6,0,0,1,0,0:00:04
20200805_120700_324737010,56,0.215943,-2,6,0,0,1,0,0:00:04
20200805_120700_324787008,56,0.16802,-2,6,0,0,1,0,0:00:04
20200805_120700_324820340,56,0.109501,-2,6,0,0,1,0,0:00:04
20200805_120700_324837006,56,0.071007,-2,6,0,0,0,0,0:00:04
20200805_120700_324870338,56,0.040754,-2,6,0,0,0,0,0:00:04
20200805_120700_324887004,56,-0.015726,-2,6,0,0,0,0,0:00:04
20200805_120700_324920336,56,-0.034082,-2,6,0,0,0,0,0:00:04
20200805_120700_324953668,56,-0.077469,-3,6,0,0,0,0,0:00:04
20200805_120700_324987000,56,-0.108151,-3,6,0,0,0,0,0:00:04
20200805_120700_325020332,56,-0.104088,-3,6,0,0,0,0,0:00:04
20200805_120700_325036998,56,-0.074445,-3,6,0,0,0,0,0:00:04
20200805_120700_325070330,56,-0.060354,-3,6,0,0,0,0,0:00:04
20200805_120700_325120328,56,-0.029248,-3,6,0,0,0,0,0:00:04
20200805_120700_325136994,56,0.046749,-3,6,0,0,0,0,0:00:04
20200805_120700_325186992,56,0.054347,-3,6,0,0,0,0,0:00:04
