Timestamp,Odometer,Gear(dashboard),RPM,Fuel_level,Avg_fuel_consumption,Velocity,Acceleration_x,Acceleration_y,Acceleration_z,Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right),
20200518_155835_2593696248,132843.1406,0,592.1236572,318.4820557,0.314387798,-0.084601857,4.55E-05,3.19E-05,0.006664052,-29612.26758,11.27616692,-4016.380615,0.621450365,-0.000644846,7.36E-06,0.024383917,0, 0.00.0,0,0,0, 
20200518_155835_2593729580,132843.1406,0,592.1236572,318.4819031,0.314387798,-0.085401729,4.39E-05,-8.25E-06,0.006663538,-29612.26953,11.27616119,-4016.381104,0.621449769,-0.000644846,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593746246,132843.1406,0,592.1236572,318.48172,0.314387798,-0.086201496,4.25E-05,-0.000107701,0.006662745,-29612.26953,11.27615547,-4016.381836,0.621449113,-0.000644808,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593779578,132843.1406,0,592.1236572,318.4816284,0.314387798,-0.086601317,4.22E-05,-0.00011323,0.006662555,-29612.26953,11.27615261,-4016.38208,0.621448815,-0.000644808,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593796244,132843.1406,0,592.1236572,318.4814758,0.314387798,-0.087400995,4.29E-05,-0.000116087,0.006662163,-29612.26953,11.27614689,-4016.382568,0.6214481,-0.000644808,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593829576,132843.1406,0,592.1236572,318.4813843,0.314387798,-0.087801084,4.39E-05,-5.91E-05,0.006662242,-29612.26953,11.27614307,-4016.382813,0.621447802,-0.00064477,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593862908,132843.1406,0,592.1236572,318.4812012,0.314387798,-0.088601001,4.53E-05,-8.35E-05,0.00666175,-29612.27148,11.27613831,-4016.383545,0.621447146,-0.00064477,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593896240,132843.1406,0,592.1236572,318.4810486,0.314387798,-0.089400478,4.68E-05,-0.000137402,0.006661102,-29612.27148,11.27613163,-4016.384033,0.621446431,-0.00064477,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593912906,132843.1406,0,592.1236572,318.4808655,0.314387798,-0.090200469,4.69E-05,2.30E-05,0.006661471,-29612.27148,11.27612686,-4016.384766,0.621445775,-0.000644732,7.36E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593962904,132843.1406,0,592.1236572,318.4807739,0.314387798,-0.09060017,4.64E-05,2.06E-05,0.006661269,-29612.27344,11.276124,-4016.38501,0.621445477,-0.000644732,7.32E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2593979570,132843.1406,0,592.1236572,318.4805298,0.314387798,-0.091799416,4.53E-05,-4.46E-05,0.006660409,-29612.27344,11.27611446,-4016.385986,0.621444404,-0.000644694,7.32E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2594029568,132843.1406,0,592.1236572,318.4804382,0.314387798,-0.092199028,4.54E-05,-0.000179547,0.006659593,-29612.27344,11.2761116,-4016.38623,0.621444046,-0.000644656,7.32E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2594046234,132843.1406,0,592.1236572,318.4801941,0.314387798,-0.093398213,4.61E-05,-9.87E-05,0.006659403,-29612.27539,11.27610207,-4016.387207,0.621443033,-0.000644656,7.32E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2594079566,132843.1406,0,592.1236572,318.4801025,0.314387798,-0.093797982,4.69E-05,-0.000135093,0.006659034,-29612.27539,11.27609825,-4016.387451,0.621442676,-0.000644618,7.32E-06,0.02432288,0, 0.00.0,0,0,0, 
20200518_155835_2594112898,132843.1406,0,592.1236572,318.4799194,0.314387798,-0.09459734,4.79E-05,-0.000170465,0.006658464,-29612.27539,11.27609253,-4016.388184,0.62144196,-0.000644618,7.32E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594129564,132843.1406,0,592.1236572,318.4797668,0.314387798,-0.095396578,5.02E-05,-0.000135185,0.00665823,-29612.27539,11.27608585,-4016.388672,0.621441245,-0.00064458,7.29E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594179562,132843.1406,0,592.1236572,318.4796753,0.314387798,-0.095796026,5.01E-05,-0.000250775,0.006657525,-29612.27734,11.27608204,-4016.38916,0.621440887,-0.000644618,7.32E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594196228,132843.1406,0,592.1236572,318.4794006,0.314387798,-0.096996747,0.000154738,0.000624904,0.006660107,-29612.27734,11.27607441,-4016.390137,0.621439815,-0.000644504,8.50E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594229560,132843.1406,0,592.1236572,318.4793396,0.314387798,-0.097396195,0.000162176,0.000643102,0.006659828,-29612.27734,11.2760725,-4016.390381,0.621439397,-0.000644315,8.92E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594246226,132843.1406,0,592.1236572,318.4791565,0.314387798,-0.098195322,0.000127646,0.000544798,0.006659135,-29612.27734,11.27606869,-4016.391113,0.621438682,-0.000643897,9.49E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594296224,132843.1406,0,592.1236572,318.4790649,0.314387798,-0.098598436,8.51E-05,0.00146322,0.006665014,-29612.2793,11.27606869,-4016.391357,0.621438265,-0.000643214,9.18E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594312890,132843.1406,0,592.1236572,318.4787903,0.314387798,-0.09979818,-0.000100828,0.000948942,0.00666678,-29612.2793,11.27606773,-4016.392334,0.621437252,-0.000642341,8.08E-06,0.0243534,0, 0.00.0,0,0,0, 
20200518_155835_2594362888,132843.1406,0,592.1236572,318.4786987,0.314387798,-0.10019628,-7.42E-05,0.000581123,0.006664757,-29612.2793,11.27606583,-4016.392578,0.621436834,-0.000642417,7.74E-06,0.024383917,0, 0.00.0,0,0,0, 
20200518_155835_2594379554,132843.1406,0,592.1236572,318.4784546,0.314387798,-0.10139282,-9.09E-05,-0.000951832,0.006657559,-29612.28125,11.27605629,-4016.393555,0.621435702,-0.000642569,6.91E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155835_2594412886,132843.1406,0,592.1236572,318.478363,0.314387798,-0.101792119,-7.11E-05,-0.00097999,0.006657168,-29612.28125,11.27605247,-4016.394043,0.621435344,-0.000642607,6.79E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594446218,132843.1406,0,592.1236572,318.4781799,0.314387798,-0.102590516,2.20E-05,-0.001988815,0.006649982,-29612.28125,11.27604389,-4016.394531,0.62143451,-0.000642721,6.68E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594462884,132843.1406,0,592.1236572,318.4780273,0.314387798,-0.103389852,0.000211957,-0.001613302,0.006646819,-29612.2832,11.27603436,-4016.395264,0.621433794,-0.000642835,6.75E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594512882,132843.1406,0,592.1236572,318.4779358,0.314387798,-0.103789009,0.000220517,-0.001312403,0.006647892,-29612.2832,11.27602959,-4016.395752,0.621433377,-0.00064291,6.79E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594529548,132843.1406,0,592.1236572,318.4776611,0.314387798,-0.104987137,0.000131028,-0.000530373,0.006651613,-29612.2832,11.27601528,-4016.396729,0.621432185,-0.000643214,7.17E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594579546,132843.1406,0,592.1236572,318.4776001,0.314387798,-0.10538581,0.000112077,-0.000554995,0.006651502,-29612.28516,11.27601147,-4016.396973,0.621431768,-0.000643404,7.32E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594612878,132843.1406,0,592.1236572,318.4773254,0.314387798,-0.106584229,8.66E-05,-0.000233885,0.006652709,-29612.28516,11.27599621,-4016.398193,0.621430516,-0.000643783,7.89E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594629544,132843.1406,0,592.1236572,318.4771729,0.314387798,-0.107383013,8.06E-05,-0.000357527,0.006651781,-29612.28516,11.27598572,-4016.398926,0.621429741,-0.000644125,8.42E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594662876,132843.1406,0,592.1236572,318.4770813,0.314387798,-0.107782073,8.59E-05,-0.000338105,0.006651625,-29612.28711,11.2759819,-4016.39917,0.621429324,-0.000644277,8.73E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594696208,132843.1406,0,592.1236572,318.4768982,0.314387798,-0.108580314,8.65E-05,-0.000438081,0.006650708,-29612.28711,11.27597046,-4016.399902,0.62142849,-0.000644656,9.37E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594712874,132843.1406,0,592.1236572,318.4767456,0.314387798,-0.109382771,9.46E-05,0.00093513,0.006658107,-29612.28711,11.27596188,-4016.400635,0.621427655,-0.00064458,9.90E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594746206,132843.1406,0,592.1236572,318.4766541,0.314387798,-0.109785616,5.39E-05,0.00138287,0.006663304,-29612.28711,11.27595997,-4016.400879,0.621427238,-0.000644087,9.68E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594779538,132843.1406,0,592.1236572,318.4764709,0.314387798,-0.110586949,-9.66E-05,0.001500251,0.006667708,-29612.28906,11.27595806,-4016.401855,0.621426404,-0.000643442,9.22E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594812870,132843.1406,0,592.1236572,318.4763184,0.314387798,-0.111391909,-0.000207769,0.003728632,0.006678012,-29612.28906,11.27596569,-4016.402344,0.621425569,-0.000641507,7.10E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594829536,132843.1406,0,592.1236572,318.4761353,0.314387798,-0.112189643,-0.000268931,0.003588207,0.006677543,-29612.29102,11.27597523,-4016.40332,0.621424735,-0.000640786,5.39E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594862868,132843.1406,0,592.1236572,318.4760437,0.314387798,-0.112586632,-0.000210702,0.00289191,0.006673721,-29612.29102,11.27597713,-4016.403564,0.621424317,-0.000640748,4.74E-06,0.024567025,0, 0.00.0,0,0,0, 
20200518_155836_2594896200,132843.1406,0,592.1236572,318.4758911,0.314387798,-0.113379277,-6.90E-05,-2.73E-05,0.00665737,-29612.29102,11.27597427,-4016.404297,0.621423483,-0.000641241,4.25E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2594929532,132843.1406,0,592.1236572,318.475708,0.314387798,-0.114173897,0.000185378,-0.001637552,0.006641366,-29612.29297,11.27596569,-4016.405029,0.621422648,-0.000641469,4.67E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2594962864,132843.1406,0,592.1236572,318.4755249,0.314387798,-0.114970699,0.000246076,-0.004368416,0.006628245,-29612.29297,11.27595043,-4016.405762,0.621421754,-0.000641658,5.24E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2594996196,132843.1406,0,592.1236572,318.4753723,0.314387798,-0.115769729,0.000368542,-0.004573902,0.0066263,-29612.29297,11.27593708,-4016.406738,0.62142086,-0.000641734,5.77E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595029528,132843.1406,0,592.1236572,318.4751892,0.314387798,-0.116568424,0.000267857,-0.003262181,0.006632838,-29612.29492,11.27592373,-4016.407471,0.621420026,-0.000641886,6.22E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595062860,132843.1406,0,592.1236572,318.4750366,0.314387798,-0.117367201,0.000108651,-0.001235032,0.006643053,-29612.29492,11.27591133,-4016.408203,0.621419072,-0.000642038,6.56E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595096192,132843.1406,0,592.1236572,318.4748535,0.314387798,-0.118165813,-2.70E-05,2.74E-05,0.006649713,-29612.29492,11.27589989,-4016.408936,0.621418238,-0.00064219,6.83E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595129524,132843.1406,0,592.1236572,318.4746704,0.314387798,-0.118964158,-4.85E-05,0.000634111,0.006652284,-29612.29688,11.27588844,-4016.409668,0.621417284,-0.000642379,6.98E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595162856,132843.1406,0,592.1236572,318.4745178,0.314387798,-0.11976216,-1.24E-06,0.000452553,0.006650563,-29612.29688,11.27587891,-4016.410645,0.62141639,-0.000642531,7.06E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595196188,132843.1406,0,592.1236572,318.4743347,0.314387798,-0.120561041,1.93E-05,0.000656984,0.006650876,-29612.29883,11.27586842,-4016.411377,0.621415496,-0.000642645,7.10E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595212854,132843.1406,0,592.1236572,318.4741821,0.314387798,-0.121358834,2.10E-05,0.000403744,0.006649244,-29612.29883,11.27585888,-4016.412109,0.621414542,-0.000642835,7.13E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595229520,132843.1406,0,592.1236572,318.4740906,0.314387798,-0.121757925,2.24E-05,0.00022999,0.006648238,-29612.29883,11.27585411,-4016.412598,0.621414125,-0.000642873,7.13E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595279518,132843.1406,0,592.1236572,318.473999,0.314387798,-0.12215697,2.55E-05,0.000319767,0.006648439,-29612.29883,11.27584934,-4016.413086,0.621413648,-0.000642948,7.13E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595312850,132843.1406,0,592.1236572,318.4737549,0.314387798,-0.123353839,3.71E-05,0.000208833,0.006647255,-29612.30078,11.27583599,-4016.414063,0.621412277,-0.0006431,7.13E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595346182,132843.1406,0,592.1236572,318.4735718,0.314387798,-0.12415161,4.31E-05,0.000236494,0.006646897,-29612.30078,11.27582645,-4016.415039,0.621411324,-0.000643176,7.10E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595379514,132843.1406,0,592.1236572,318.4733887,0.314387798,-0.124949552,4.45E-05,8.61E-05,0.006645757,-29612.30273,11.27581692,-4016.416016,0.62141037,-0.000643252,7.10E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155836_2595412846,132843.1406,0,592.1236572,318.4732361,0.314387798,-0.125746831,4.43E-05,-6.34E-05,0.006644707,-29612.30273,11.27580833,-4016.416748,0.621409416,-0.000643404,7.10E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595446178,132843.1406,0,592.1236572,318.473053,0.314387798,-0.126544982,4.46E-05,4.86E-05,0.006644841,-29612.30469,11.27579975,-4016.41748,0.621408463,-0.000643404,7.06E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595479510,132843.1406,0,592.1236572,318.4729004,0.314387798,-0.127342477,4.63E-05,-3.01E-06,0.00664426,-29612.30469,11.27579021,-4016.418457,0.621407449,-0.000643404,7.06E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595512842,132843.1406,0,592.1236572,318.4727173,0.314387798,-0.128140241,4.78E-05,6.00E-05,0.006644237,-29612.30469,11.27578259,-4016.419189,0.621406555,-0.000643404,7.06E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595529508,132843.1406,0,592.1236572,318.4725342,0.314387798,-0.128937632,4.85E-05,-6.76E-05,0.006643321,-29612.30664,11.27577305,-4016.420166,0.621405602,-0.000643442,7.02E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595562840,132843.1406,0,592.1236572,318.4724731,0.314387798,-0.129336447,4.78E-05,6.95E-05,0.006643768,-29612.30664,11.27576828,-4016.42041,0.621405065,-0.000643442,7.02E-06,0.024536507,0, 0.00.0,0,0,0, 
20200518_155837_2595596172,132843.1406,0,592.1236572,318.4722595,0.314387798,-0.130133823,4.74E-05,-0.000110451,0.006642583,-29612.30859,11.27575874,-4016.421387,0.621404111,-0.000643442,7.02E-06,0.02450599,0, 0.00.0,0,0,0, 
20200518_155837_2595629504,132843.1406,0,592.1236572,318.4720764,0.314387798,-0.130931169,3.39E-05,-4.90E-05,0.006642673,-29612.30859,11.27575016,-4016.422363,0.621403098,-0.000643442,7.02E-06,0.023956664,0, 0.00.0,0,0,0, 
20200518_155837_2595662836,132843.1406,0,592.1236572,318.4719238,0.314387798,-0.131729335,-8.57E-06,-0.000139722,0.006642583,-29612.30859,11.27574062,-4016.423096,0.621402144,-0.00064348,7.02E-06,0.023529412,0, 0.00.0,0,0,0, 
20200518_155837_2595696168,132843.1406,0,592.1236572,318.4717407,0.314387798,-0.132527187,-5.81E-05,5.96E-05,0.006643924,-29612.31055,11.27573204,-4016.424072,0.621401191,-0.00064348,7.02E-06,0.022949569,0, 0.00.0,0,0,0, 
20200518_155837_2595712834,132843.1406,0,592.1236572,318.4715881,0.314387798,-0.133324981,-0.000112027,-2.58E-05,0.006644059,-29612.31055,11.27572346,-4016.424805,0.621400237,-0.000643556,7.02E-06,0.022186618,0, 0.00.0,0,0,0, 
20200518_155837_2595746166,132843.1406,0,592.1236572,318.4714966,0.314387798,-0.133723691,-0.000133606,-6.46E-06,0.006644371,-29612.3125,11.27571869,-4016.425293,0.62139982,-0.000643556,7.02E-06,0.021759365,0, 0.00.0,0,0,0, 
20200518_155837_2595779498,132843.1406,0,592.1236572,318.4713135,0.314387798,-0.134521037,-0.000173756,-0.000160953,0.006644014,-29612.3125,11.2757082,-4016.42627,0.621398926,-0.000643594,7.02E-06,0.021362631,0, 0.00.0,0,0,0, 
20200518_155837_2595796164,132843.1406,0,592.1236572,318.4711609,0.314387798,-0.135319084,-0.000147194,6.26E-05,0.006644461,-29612.3125,11.27569962,-4016.427246,0.621398091,-0.000643631,7.10E-06,0.020935379,0, 0.00.0,0,0,0, 
20200518_155837_2595846162,132843.1406,0,592.1236572,318.4710693,0.314387798,-0.13571763,-0.000139159,-4.10E-05,0.006643679,-29612.31445,11.27569485,-4016.427734,0.621397614,-0.000643631,7.13E-06,0.020721752,0, 0.00.0,0,0,0, 
20200518_155837_2595862828,132843.1406,0,592.1236572,318.4707947,0.314387798,-0.13691926,-9.10E-05,-0.000100347,0.006652061,-29612.31445,11.27568054,-4016.428955,0.621396303,-0.000643631,7.21E-06,0.020691235,0, 0.00.0,0,0,0, 
20200518_155837_2595896160,132843.1406,0,592.1236572,318.4707336,0.314387798,-0.137320846,-5.77E-05,-0.000139872,0.006656308,-29612.31641,11.27567577,-4016.429443,0.621395886,-0.000643631,7.21E-06,0.02059968,0, 0.00.0,0,0,0, 
20200518_155837_2595929492,132843.1406,0,592.1236572,318.4705505,0.314387798,-0.138124272,-1.95E-05,-4.10E-05,0.006666366,-29612.31641,11.27566624,-4016.43042,0.621395051,-0.000643594,7.21E-06,0.020538643,0, 0.00.0,0,0,0, 
20200518_155837_2595946158,132843.1406,0,592.1236572,318.4703674,0.314387798,-0.138928026,3.49E-07,-6.74E-05,0.006676693,-29612.31641,11.2756567,-4016.431152,0.621394157,-0.000643594,7.21E-06,0.020538643,0, 0.00.0,0,0,0, 
