,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
0,20200518_160537_2868185268,592.1236572,-1.5373471980000002,-0.010238804,0.0, 0.00.0,0,0, ,0
1,20200518_160537_2868201934,592.1236572,-1.557437301,-0.010238804,0.0, 0.00.0,0,0, ,0
2,20200518_160537_2868235266,592.1236572,-1.5674463509999998,-0.010238804,0.0, 0.00.0,0,0, ,0
3,20200518_160537_2868268598,592.1236572,-1.587841034,-0.010238804,0.0, 0.00.0,0,0, ,0
4,20200518_160537_2868301930,592.1236572,-1.608228445,-0.010238804,0.0, 0.00.0,0,0, ,0
5,20200518_160537_2868335262,592.1236572,-1.628178596,-0.010238804,0.0, 0.00.0,0,0, ,0
6,20200518_160537_2868351928,592.1236572,-1.6489104030000001,-0.010238804,0.0, 0.00.0,0,0, ,0
7,20200518_160537_2868385260,592.1236572,-1.659267545,-0.010238804,0.0, 0.00.0,0,0, ,0
8,20200518_160537_2868418592,592.1236572,-1.67999804,-0.010238804,0.0, 0.00.0,0,0, ,0
9,20200518_160537_2868451924,592.1236572,-1.700760007,-0.010238804,0.0, 0.00.0,0,0, ,0
10,20200518_160537_2868468590,592.1236572,-1.7214761969999999,-0.010238804,0.0, 0.00.0,0,0, ,0
11,20200518_160538_2868585252,592.1236572,-1.731842995,-0.010238804,0.0, 0.00.0,0,0, ,0
12,20200518_160538_2868618584,592.1236572,-1.804332733,-0.010238804,0.0, 0.00.0,0,0, ,0
13,20200518_160538_2868651916,592.1236572,-1.82507813,-0.010238804,0.0, 0.00.0,0,0, ,0
14,20200518_160538_2868685248,592.1236572,-1.845870614,-0.010238804,0.0, 0.00.0,0,0, ,0
15,20200518_160538_2868718580,592.1236572,-1.8666373490000001,-0.010910201000000001,0.0, 0.00.0,0,0, ,0
16,20200518_160538_2868735246,592.1236572,-1.887344956,-0.011917296,0.0, 0.00.0,0,0, ,0
17,20200518_160538_2868785244,592.1236572,-1.897696495,-0.012680247,0.0, 0.00.0,0,0, ,0
18,20200518_160539_2868801910,592.1236572,-1.928765297,-0.012832837,0.0, 0.00.0,0,0, ,0
19,20200518_160539_2868835242,592.1236572,-1.939132571,-0.012832837,0.0, 0.00.0,0,0, ,0
20,20200518_160539_2868868574,592.1236572,-1.9598488809999999,-0.012832837,0.0, 0.00.0,0,0, ,0
21,20200518_160539_2868918572,592.1236572,-1.980579376,-0.012832837,0.0, 0.00.0,0,0, ,0
22,20200518_160539_2868951904,592.1236572,-2.011614084,-0.012832837,0.0, 0.00.0,0,0, ,0
23,20200518_160539_2868985236,592.1236572,-2.032327175,-0.012832837,0.0, 0.00.0,0,0, ,0
24,20200518_160539_2869018568,592.1236572,-2.053035975,-0.012832837,0.0, 0.00.0,0,0, ,0
25,20200518_160539_2869051900,592.1236572,-2.073591709,-0.012893873,0.0, 0.00.0,0,0, ,0
26,20200518_160539_2869085232,592.1236572,-2.093983412,-0.012893873,0.0, 0.00.0,0,0, ,0
27,20200518_160539_2869118564,592.1236572,-2.1143670080000003,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
28,20200518_160539_2869135230,592.1236572,-2.134732723,-0.013229572,0.0, 0.00.0,0,0, ,0
29,20200518_160539_2869185228,592.1236572,-2.1449086669999997,-0.013229572,0.0, 0.00.0,0,0, ,0
30,20200518_160539_2869218560,592.1236572,-2.175182104,-0.013229572,0.0, 0.00.0,0,0, ,0
31,20200518_160539_2869235226,592.1236572,-2.195253134,-0.013229572,0.0, 0.00.0,0,0, ,0
32,20200518_160539_2869268558,592.1236572,-2.205293417,-0.013076982,0.0, 0.00.0,0,0, ,0
33,20200518_160539_2869301890,592.1236572,-2.225333929,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
34,20200518_160539_2869318556,592.1236572,-2.245355844,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
35,20200518_160539_2869368554,592.1236572,-2.255383492,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
36,20200518_160539_2869385220,592.1236572,-2.285336018,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
37,20200518_160539_2869435218,592.1236572,-2.295217514,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
38,20200518_160539_2869451884,592.1236572,-2.3248381609999997,-0.013046463999999999,0.0, 0.00.0,0,0, ,0
39,20200518_160539_2869485216,592.1236572,-2.3347091669999998,-0.013076982,0.0, 0.00.0,0,0, ,0
40,20200518_160539_2869518548,592.1236572,-2.3546216490000003,-0.013076982,0.0, 0.00.0,0,0, ,0
41,20200518_160539_2869551880,592.1236572,-2.375355482,-0.013076982,0.0, 0.00.0,0,0, ,0
42,20200518_160539_2869568546,592.1236572,-2.395151377,-0.013076982,0.0, 0.00.0,0,0, ,0
43,20200518_160539_2869618544,592.1236572,-2.404520512,-0.013076982,0.0, 0.00.0,0,0, ,0
44,20200518_160539_2869635210,592.1236572,-2.434717178,-0.013076982,0.0, 0.00.0,0,0, ,0
45,20200518_160539_2869685208,592.1236572,-2.4447889330000003,-0.013076982,0.0, 0.00.0,0,0, ,0
46,20200518_160539_2869701874,592.1236572,-2.4749777319999997,-0.012863356000000001,0.0, 0.00.0,0,0, ,0
47,20200518_160539_2869735206,592.1236572,-2.485058784,-0.012863356000000001,0.0, 0.00.0,0,0, ,0
48,20200518_160539_2869768538,592.1236572,-2.505212307,-0.012863356000000001,0.0, 0.00.0,0,0, ,0
49,20200518_160539_2869801870,592.1236572,-2.52534008,-0.012863356000000001,0.0, 0.00.0,0,0, ,0
50,20200518_160540_2869835202,592.1236572,-2.545670271,-0.012893873,0.0, 0.00.0,0,0, ,0
51,20200518_160540_2869851868,592.1236572,-2.5649938580000002,-0.013076982,0.0, 0.00.0,0,0, ,0
52,20200518_160540_2869901866,592.1236572,-2.5744001869999997,-0.013076982,0.0, 0.00.0,0,0, ,0
53,20200518_160540_2869935198,592.1236572,-2.605625153,-0.013076982,0.0, 0.00.0,0,0, ,0
54,20200518_160540_2869968530,592.1236572,-2.6264386180000003,-0.013076982,0.0, 0.00.0,0,0, ,0
55,20200518_160540_2869985196,608.1802978999999,-2.6472330090000002,-0.013076982,0.035713732000000005, 0.00.0,0,0, ,0
56,20200518_160540_2870018528,654.2711792,-2.65764761,-0.013687342,0.09127184699999999, 0.00.0,0,0, ,0
57,20200518_160540_2870051860,814.1188965,-2.67838788,-0.016861219,0.218249798, 0.00.0,0,0, ,0
58,20200518_160540_2870085192,1026.8811039999998,-2.699150085,-0.020645456,0.46427863799999997, 0.00.0,0,0, ,0
59,20200518_160540_2870118524,1341.0571289999998,-2.719965935,-0.023514153,0.644533455, 0.00.0,0,0, ,0
60,20200518_160540_2870151856,1727.757324,-2.7407772539999997,-0.025619898,0.742191195, 0.00.0,0,0, ,0
61,20200518_160540_2870168522,2090.8364260000003,-2.76155448,-0.027634087999999998,0.7773403529999999, 0.00.0,0,0, ,0
62,20200518_160540_2870218520,2238.918457,-2.771921873,-0.029037919,0.781246662, 0.00.0,0,0, ,0
63,20200518_160540_2870235186,2530.3359379999997,-2.8030967710000003,-0.029617762000000002,0.792965591, 0.00.0,0,0, ,0
64,20200518_160540_2870268518,2537.737549,-2.813512087,-0.029343097999999998,0.80077821, 0.00.0,0,0, ,0
65,20200518_160540_2870301850,2541.0473629999997,-2.834322453,-0.029098954,0.80468452, 0.00.0,0,0, ,0
66,20200518_160540_2870335182,2540.9370120000003,-2.855097055,-0.028885328999999998,0.808590829, 0.00.0,0,0, ,0
67,20200518_160540_2870368514,2540.784912,-2.8757433889999997,-0.02885481,0.808590829, 0.00.0,0,0, ,0
68,20200518_160540_2870401846,2540.575439,-2.896243811,-0.028519113,0.7968719009999999, 0.00.0,0,0, ,0
69,20200518_160540_2870451844,2540.287109,-2.916717052,-0.028030824,0.7968719009999999, 0.00.0,0,0, ,0
70,20200518_160540_2870468510,2542.846436,-2.947660923,-0.027023727,0.7890592809999999, 0.00.0,0,0, ,0
71,20200518_160540_2870518508,2539.571289,-2.9577600960000003,-0.026871137000000003,0.785152972, 0.00.0,0,0, ,0
72,20200518_160540_2870535174,2542.789307,-2.988003731,-0.025070572000000003,0.785152972, 0.00.0,0,0, ,0
73,20200518_160540_2870568506,2539.638428,-2.998085737,-0.024216067,0.785152972, 0.00.0,0,0, ,0
74,20200518_160540_2870601838,2539.747314,-3.018291473,-0.021438926,0.7656214240000001, 0.00.0,0,0, ,0
75,20200518_160540_2870635170,2539.6713870000003,-3.0382101539999997,-0.017868314,0.69922179, 0.00.0,0,0, ,0
76,20200518_160540_2870668502,2539.724365,-3.058119535,-0.010238804,0.562500954, 0.00.0,0,0, ,0
77,20200518_160540_2870701834,2539.6872559999997,-3.078035355,-0.002304112,0.460311294, 0.00.0,0,0, ,0
78,20200518_160540_2870718500,2539.713623,-3.0981988910000005,0.006378271,0.349202722, 0.00.0,0,0, ,0
79,20200518_160540_2870751832,2542.741211,-3.108132124,0.0121767,0.281742573, 0.00.0,0,0, ,0
80,20200518_160540_2870785164,2542.729736,-3.1281194689999996,0.018799115,0.18650338100000002, 0.00.0,0,0, ,0
81,20200518_160540_2870818496,2542.738037,-3.148305178,0.021942474,0.09127184699999999, 0.00.0,0,0, ,0
82,20200518_160541_2870851828,2530.525391,-3.1685478689999997,0.022980087000000003,0.0, 0.00.0,0,0, ,0
83,20200518_160541_2870885160,2500.560791,-3.188802958,0.022980087000000003,0.0, 0.00.0,0,0, ,0
