,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200706_154747_96996120,24956.546875,359.5874938964844,3.193988959537819e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154747_97029452,24956.546875,359.58746337890625,2.282341301906854e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154747_97062784,24956.546875,359.5874328613281,1.995632192119956e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154747_97079450,24956.546875,359.58740234375,3.127407399006188e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154747_97112782,24956.546875,359.58740234375,-1.5219411579892041e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154747_97146114,24956.546875,359.5873718261719,-4.015673403046094e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97179446,24956.546875,359.58734130859375,-3.104247298324481e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97212778,24956.546875,359.5873107910156,7.94382685853634e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97246110,24956.546875,359.5872802734375,-7.0597566264041225e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97262776,24956.546875,359.5872802734375,4.485302633838728e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97296108,24956.546875,359.5872497558594,1.7475889762863517e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97329440,24956.546875,359.58721923828125,-2.309028059244156e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97362772,24956.546875,359.5871887207031,-6.055665835447144e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97396104,24956.546875,359.587158203125,1.6365818737540397e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97429436,24956.546875,359.5871276855469,1.7697657312965018e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97479434,24956.546875,359.5871276855469,3.1998106351238675e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97496100,24956.546875,359.5870666503906,-5.8109471865464e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97529432,24956.546875,359.5870666503906,1.881417483673431e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97546098,24956.546875,359.5870361328125,-2.2487689420813695e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97579430,24956.546875,359.5870056152344,-5.1673374400706955e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97612762,24956.546875,359.58697509765625,-2.230516474810429e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97629428,24956.546875,359.58697509765625,-2.7799957024399188e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97662760,24956.546875,359.5869445800781,-1.5210511264740491e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97696092,24956.546875,359.5869140625,2.0103234419366345e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97712758,24956.546875,359.5869140625,1.1926947991014458e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97762756,24956.546875,359.5868835449219,-2.16584976442391e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97812754,24956.546875,359.58685302734375,2.1201927665970288e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97829420,24956.546875,359.5867919921875,3.5096032661385834e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97879418,24956.546875,359.5867919921875,-8.152257578331046e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97896084,24956.546875,359.5867614746094,2.889251481974497e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97946082,24956.546875,359.58673095703125,3.404717062949203e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97962748,24956.546875,359.5867004394531,3.554203431122005e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_97996080,24956.546875,359.586669921875,3.6823457776336e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_98029412,24956.546875,359.5866394042969,9.592740752850661e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_98062744,24956.546875,359.58660888671875,4.853134669247083e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_98096076,24956.546875,359.58660888671875,4.360145794635173e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154748_98129408,24956.546875,359.5865783691406,-2.9639886633958673e-07,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98162740,24956.546875,359.5865478515625,5.010398126614746e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98179406,24956.546875,359.5865173339844,-1.9144063116982583e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98212738,24956.546875,359.5865173339844,-3.051954263355583e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98229404,24956.546875,359.58648681640625,2.8755965104210194e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98262736,24956.546875,359.5864562988281,-6.476366252172738e-07,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98296068,24956.546875,359.58642578125,2.2287940737442118e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98329400,24956.546875,359.5863952636719,2.7432088245404884e-06,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98362732,24956.546875,359.5863952636719,2.0529994799289846e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98379398,24956.546875,359.58636474609375,3.539579483913258e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98412730,24956.546875,359.5863342285156,1.1926387742278164e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98446062,24956.546875,359.5863037109375,4.46128033217974e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98479394,24956.546875,359.5862731933594,2.4805794964777306e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98496060,24956.546875,359.58624267578125,7.388149242615327e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98546058,24956.546875,359.58624267578125,1.1909283784916624e-05,0.0, 0.00.0,0.0,0.0, ,0
20200706_154749_98579390,24956.546875,359.5862121582031,-8.303659706143662e-05,0.011902034282684326, 0.00.0,0.0,0.0, ,0
20200706_154749_98596056,24956.546875,359.586181640625,-0.00012526870705187318,0.04761576652526856, 0.00.0,0.0,0.0, ,0
20200706_154749_98629388,24956.546875,359.586181640625,-0.0001430773118045181,0.1031738817691803, 0.00.0,0.0,0.0, ,0
