Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Timecheck
20200715_171312_3544524880,31,0.000162,-0.001846,0.168396,0,0,0,0,0,0,0:00:00
20200715_171313_3544558212,31,3.60E-05,-0.001222,0.168424,0,0,0,0,0,0,0:00:01
20200715_171313_3544574878,31,-4.10E-05,-0.002297,0.168401,0,0,0,0,0,0,0:00:01
20200715_171313_3544591544,31,-7.10E-05,-0.002139,0.168424,0,0,0,0,0,0,0:00:01
20200715_171313_3544624876,31,-8.60E-05,-0.001815,0.168442,0,0,0,0,0,0,0:00:01
20200715_171313_3544658208,31,-0.00015,-0.002254,0.168442,0,0,0,0,0,0,0:00:01
20200715_171313_3544691540,31,-0.000163,-0.002078,0.168453,0,0,0,0,0,0,0:00:01
20200715_171313_3544708206,31,-8.90E-05,-0.002116,0.168453,1,0,0,0,0,0,0:00:01
20200715_171313_3544758204,31,-2.90E-05,-0.001801,0.168453,1,0,0,0,0,0,0:00:01
20200715_171313_3544791536,31,-0.049084,0.002722,0.168625,1,0,0,0,0,0,0:00:01
20200715_171313_3544824868,31,-0.054194,0.00356,0.165723,1,0,0,0,0,0,0:00:01
20200715_171313_3544841534,31,-0.052551,-0.001282,0.165575,1,0,0,0,0,0,0:00:01
20200715_171313_3544858200,31,-0.052208,-0.003431,0.165506,1,0,0,0,0,0,0:00:01
20200715_171313_3544891532,31,-0.051614,-0.004262,0.165472,1,0,0,0,0,0,0:00:01
20200715_171313_3544924864,31,-0.02748,-0.004593,0.165409,1,0,0,0,0,0,0:00:01
20200715_171313_3544958196,31,-0.001082,-0.009367,0.16522,1,0,0,0,0,0,0:00:01
20200715_171313_3544974862,31,0.003483,-0.010308,0.16807,1,0,0,0,0,0,0:00:01
20200715_171313_3544991528,31,0.002966,-0.0078,0.168115,1,0,0,0,0,0,0:00:01
20200715_171313_3545008194,31,0.00138,-0.00505,0.168173,1,0,0,0,0,0,0:00:01
20200715_171313_3545041526,31,0.000999,-0.00287,0.168201,1,0,0,0,0,0,0:00:01
20200715_171313_3545074858,31,-5.60E-05,-0.000973,0.16748,1,10.71412265,0,0,0,0,0:00:01
20200715_171313_3545108190,31,-0.000633,-0.000542,0.160482,1,25.39635301,0,0,0,0,0:00:01
20200715_171313_3545141522,31,0.00254,-0.002263,0.143378,1,37.6981765,0,0,0,0,0:00:01
20200715_171313_3545158188,31,0.00313,-0.000958,0.113737,1,47.22133279,0,0,0,0,0:00:01
20200715_171313_3545191520,31,0.002843,-0.000807,0.09352,1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545208186,31,0.002345,-0.000286,0.042197,1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545241518,31,0.0026,0.00054,0.011932,1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545274850,31,0.004582,0.001393,-0.053382,1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545308182,31,0.003437,0.004125,-0.121872,1,46.82459831,0,0,0,0,0:00:01
20200715_171313_3545324848,31,0.004972,0.000324,-0.190374,1,45.63439488,0,0,0,0,0:00:01
20200715_171313_3545374846,31,0.006518,-0.000527,-0.223694,1,44.04669404,0,0,0,0,0:00:01
20200715_171314_3545408178,31,0.006771,-0.005691,-0.31683,1,16.2699312,0,0,0,0,0:00:02
20200715_171314_3545458176,31,0.003883,-0.007447,-0.367226,1,0,0,0,0,0,0:00:02
20200715_171314_3545474842,31,0.001936,-0.009155,-0.413027,1,0,0,0,0,0,0:00:02
20200715_171314_3545524840,31,0.000451,-0.007503,-0.419745,1,0,0,0,0,0,0:00:02
20200715_171314_3545541506,32,-0.001193,-0.005307,-0.415997,1,0,0,0,0,0,0:00:02
20200715_171314_3545591504,32,-0.000842,-0.002871,-0.408318,1,0,0,0,0,0,0:00:02
20200715_171314_3545608170,32,-0.00011,0.001903,-0.376382,1,0,0,0,0,0,0:00:02
20200715_171314_3545658168,32,-0.000142,0.003904,-0.365178,1,0,0,0,0,0,0:00:02
20200715_171314_3545674834,32,-0.000315,0.007314,-0.332561,1,0,0,0,0,0,0:00:02
20200715_171314_3545708166,32,-0.000332,0.007952,-0.322106,1,0,0,0,0,0,0:00:02
20200715_171314_3545724832,32,-0.000385,0.006885,-0.301781,1,0,0,0,0,0,0:00:02
20200715_171314_3545758164,32,-0.000439,0.007609,-0.291961,1,0,0,0,0,0,0:00:02
20200715_171314_3545791496,32,-0.000358,0.00544,-0.272877,1,0,0,0,0,0,0:00:02
20200715_171314_3545824828,32,-0.000284,0.005989,-0.254629,1,0,0,0,0,0,0:00:02
20200715_171314_3545858160,32,-0.000191,0.004791,-0.237102,1,0,0,0,0,0,0:00:02
20200715_171314_3545891492,32,-0.000146,0.005805,-0.22033,1,0,0,0,0,0,0:00:02
20200715_171314_3545924824,32,-2.40E-05,0.005027,-0.20421,1,0,0,0,0,0,0:00:02
20200715_171314_3545941490,32,3.00E-06,0.005349,-0.188823,1,0,0,0,0,0,0:00:02
20200715_171314_3545974822,32,-3.50E-05,0.004475,-0.181332,1,3.174638748,0,0,0,0,0:00:02
20200715_171314_3546008154,32,-3.10E-05,0.004944,-0.169596,1,19.04707551,0,0,0,0,0:00:02
20200715_171314_3546024820,32,-0.000188,0.003215,-0.167301,1,35.31700671,0,0,0,0,0:00:02
20200715_171314_3546058152,32,-0.000181,0.002957,-0.170666,1,39.68184888,0,0,0,0,0:00:02
20200715_171314_3546091484,32,-0.000361,0.002681,-0.187959,1,50.78126192,0,0,0,0,0:00:02
20200715_171314_3546108150,32,-0.003184,0.003478,-0.221365,1,57.03135729,0,0,0,0,0:00:02
20200715_171314_3546141482,32,-0.005319,0.004206,-0.244627,2,62.8908217,0,0,0,0,0:00:02
20200715_171314_3546191480,32,-0.018011,0.005309,-0.302565,2,67.57839322,0,0,0,0,0:00:02
20200715_171314_3546224812,32,-0.044762,0.008448,-0.408604,2,71.87533379,0,0,0,0,0:00:02
20200715_171314_3546241478,32,-0.04902,0.008779,-0.488023,3,73.43785763,0,0,0,0,0:00:02
20200715_171314_3546274810,32,-0.050555,0.007027,-0.529178,3,73.43785763,0,0,0,0,0:00:02
20200715_171314_3546308142,32,-0.04441,0.005679,-0.613101,3,73.43785763,0,0,0,0,0:00:02
20200715_171315_3546341474,33,-0.029545,0.000708,-0.696955,3,73.43785763,0,0,0,0,0:00:03
20200715_171315_3546374806,33,-0.011334,-0.005146,-0.779104,3,73.04722667,0,0,0,0,0:00:03
20200715_171315_3546408138,33,-0.001232,-0.010474,-0.858386,3,65.62523842,0,0,0,0,0:00:03
20200715_171315_3546441470,33,0.002045,-0.012181,-0.932696,3,58.20325017,0,0,0,0,0:00:03
20200715_171315_3546458136,33,-2.40E-05,-0.010742,-0.999658,3,37.30067909,0,0,0,0,0:00:03
20200715_171315_3546491468,33,-0.001476,-0.008726,-1.029065,3,29.76119518,0,0,0,0,0:00:03
20200715_171315_3546524800,33,-0.002757,-0.002484,-1.076685,3,9.920653701,0,0,0,0,0:00:03
20200715_171315_3546558132,33,-0.00243,0.004788,-1.105365,3,0,0,0,0,0,0:00:03
20200715_171315_3546574798,33,-0.001807,0.011901,-1.11154,3,0,0,0,0,0,0:00:03
20200715_171315_3546608130,34,-0.001616,0.014979,-1.106779,3,0,0,0,0,0,0:00:03
20200715_171315_3546658128,34,-0.001523,0.018064,-1.082831,3,0,0,0,0,0,0:00:03
20200715_171315_3546691460,34,-0.001717,0.012675,-1.022284,3,0,0,0,0,0,0:00:03
20200715_171315_3546724792,34,-0.001819,0.012178,-0.974583,3,0,0,0,0,0,0:00:03
20200715_171315_3546758124,34,-0.001742,0.01031,-0.927019,3,0,0,0,0,0,0:00:03
20200715_171315_3546791456,34,-0.001644,0.009294,-0.881321,3,0,0,0,0,0,0:00:03
20200715_171315_3546808122,34,-0.001587,0.010667,-0.837614,3,0,0,0,0,0,0:00:03
20200715_171315_3546841454,34,-0.001578,0.013133,-0.816557,3,0,0,0,0,0,0:00:03
20200715_171315_3546874786,34,-0.001494,0.015308,-0.775511,3,0,0,0,0,0,0:00:03
20200715_171315_3546891452,34,-0.001021,0.013781,-0.735924,3,0,0,0,0,0,0:00:03
20200715_171315_3546924784,34,-0.000758,0.013193,-0.716754,3,0,0,0,0,0,0:00:03
20200715_171315_3546958116,35,0.000907,0.01114,-0.679577,2,0,0,0,0,0,0:00:03
20200715_171315_3546991448,35,0.005964,0.009985,-0.643978,2,0,0,0,0,0,0:00:03
20200715_171315_3547008114,35,0.012829,0.009152,-0.609885,2,0,0,0,0,0,0:00:03
20200715_171315_3547041446,35,0.016834,0.009238,-0.593382,2,0,0,0,0,0,0:00:03
20200715_171315_3547074778,35,0.025565,0.009921,-0.561429,2,0,0,0,0,0,0:00:03
20200715_171315_3547091444,35,0.03579,0.010967,-0.53082,2,0,0,0,0,0,0:00:03
20200715_171315_3547158108,35,0.038139,0.01075,-0.515948,2,3.174638748,0,0,0,0,0:00:03
20200715_171315_3547174774,35,0.034307,0.008716,-0.468997,1,15.87243378,0,0,0,0,0:00:03
20200715_171315_3547208106,35,0.030217,0.009442,-0.462079,1,18.65033805,0,0,0,0,0:00:03
20200715_171315_3547241438,35,0.020429,0.007143,-0.454977,1,23.8094151,0,0,0,0,0:00:03
20200715_171315_3547274770,35,0.009724,0.008326,-0.458056,1,26.58655643,0,0,0,0,0:00:03
20200715_171315_3547308102,35,0.003159,0.007696,-0.471086,1,26.58655643,0,0,0,0,0:00:03
20200715_171316_3547341434,35,-0.001382,0.009526,-0.490393,1,26.98405385,0,0,0,0,0:00:04
20200715_171316_3547374766,35,-0.001166,0.006318,-0.512772,1,27.7775228,0,0,0,0,0:00:04
20200715_171316_3547391432,35,-0.000286,0.007868,-0.537258,1,29.36446071,0,0,0,0,0:00:04
20200715_171316_3547424764,35,-8.70E-05,0.007983,-0.549807,1,29.76119518,0,0,0,0,0:00:04
20200715_171316_3547458096,35,-4.00E-05,0.00715,-0.575162,1,31.34889603,0,0,0,0,0:00:04
20200715_171316_3547474762,36,-0.000315,0.007075,-0.601021,1,33.33256841,0,0,0,0,0:00:04
20200715_171316_3547524760,36,-0.000536,0.007242,-0.614194,1,33.72930288,0,0,0,0,0:00:04
20200715_171316_3547558092,36,-0.000759,0.007128,-0.655148,1,36.11047566,0,0,0,0,0:00:04
20200715_171316_3547591424,36,-0.000814,0.007903,-0.683851,1,36.90394461,0,0,0,0,0:00:04
20200715_171316_3547624756,36,-0.000712,0.006892,-0.713321,1,37.30067909,0,0,0,0,0:00:04
20200715_171316_3547641422,36,-0.000591,0.006472,-0.743317,1,37.6981765,0,0,0,0,0:00:04
20200715_171316_3547691420,36,-0.000428,0.005095,-0.758384,1,38.09491098,0,0,0,0,0:00:04
20200715_171316_3547708086,36,-0.000291,0.003345,-0.803601,1,38.88837993,0,0,0,0,0:00:04
20200715_171316_3547741418,36,-0.000257,0.001971,-0.818467,1,39.28511441,0,0,0,0,0:00:04
20200715_171316_3547758084,36,-0.000373,4.20E-05,-0.847891,1,39.68184888,0,0,0,0,0:00:04
20200715_171316_3547808082,36,-0.000484,-0.000154,-0.862455,1,40.07858336,0,0,0,0,0:00:04
