,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
0,20190517_141751_680601004,592.1233521,-0.000192963,0.000732433,0.0, 0.00.0,0,0, ,0
1,20190517_141751_680634336,592.1233521,-0.000191968,0.000732433,0.0, 0.00.0,0,0, ,0
2,20190517_141751_680651002,592.1233521,-0.00019335200000000001,0.000732433,0.0, 0.00.0,0,0, ,0
3,20190517_141751_680701000,592.1233521,-0.000192,0.000732433,0.0, 0.00.0,0,0, ,0
4,20190517_141751_680717666,592.1233521,-0.000191119,0.000732433,0.0, 0.00.0,0,0, ,0
5,20190517_141751_680750998,592.1233521,-0.00019099900000000002,0.000732433,0.0, 0.00.0,0,0, ,0
6,20190517_141751_680784330,592.1233521,-0.00019077,0.000732433,0.0, 0.00.0,0,0, ,0
7,20190517_141751_680817662,592.1233521,-0.00018952099999999998,0.000732433,0.0, 0.00.0,0,0, ,0
8,20190517_141751_680850994,592.1233521,-0.000190969,0.000732433,0.0, 0.00.0,0,0, ,0
9,20190517_141751_680884326,592.1233521,-0.000190338,0.000732433,0.0, 0.00.0,0,0, ,0
10,20190517_141751_680917658,592.1233521,-0.000189165,0.000732433,0.0, 0.00.0,0,0, ,0
11,20190517_141751_680950990,592.1233521,-0.00019061900000000003,0.000732433,0.0, 0.00.0,0,0, ,0
12,20190517_141751_680984322,592.1233521,-0.00018979200000000002,0.000183108,0.0, 0.00.0,0,0, ,0
13,20190517_141751_681000988,592.1233521,-0.000188654,-0.00047303,0.0, 0.00.0,0,0, ,0
14,20190517_141751_681034320,592.1233521,-0.00019074400000000002,-0.000503548,0.0, 0.00.0,0,0, ,0
15,20190517_141751_681067652,592.1233521,-0.000190137,-0.000503548,0.0, 0.00.0,0,0, ,0
16,20190517_141751_681100984,592.1233521,-0.000190437,-0.000503548,0.0, 0.00.0,0,0, ,0
17,20190517_141751_681134316,592.1233521,-0.000189853,-0.000442512,0.0, 0.00.0,0,0, ,0
18,20190517_141751_681167648,592.1233521,-0.00018978700000000002,-0.000442512,0.0, 0.00.0,0,0, ,0
19,20190517_141751_681184314,592.1233521,-0.000189756,-0.000442512,0.0, 0.00.0,0,0, ,0
20,20190517_141751_681234312,592.1233521,-0.00018832599999999997,-0.000442512,0.0, 0.00.0,0,0, ,0
21,20190517_141751_681267644,592.1233521,-0.000189348,-0.000442512,0.0, 0.00.0,0,0, ,0
22,20190517_141751_681284310,592.1233521,-0.000189857,-0.000259403,0.0, 0.00.0,0,0, ,0
23,20190517_141751_681317642,592.1233521,-0.000188635,-7.63e-05,0.0, 0.00.0,0,0, ,0
24,20190517_141751_681350974,592.1233521,-0.000188392,0.000396735,0.0, 0.00.0,0,0, ,0
25,20190517_141751_681384306,592.1233521,-0.000188029,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
26,20190517_141751_681417638,592.1233521,-0.000189498,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
27,20190517_141752_681450970,592.1233521,-0.000189382,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
28,20190517_141752_681467636,592.1233521,-0.000188289,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
29,20190517_141752_681517634,592.1233521,-0.00018853,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
30,20190517_141752_681534300,592.1233521,-0.00018815900000000003,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
31,20190517_141752_681567632,592.1233521,-0.00018874200000000002,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
32,20190517_141752_681600964,592.1233521,-0.000187585,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
33,20190517_141752_681634296,592.1233521,-0.00018925799999999998,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
34,20190517_141752_681667628,592.1233521,-0.00018852900000000002,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
35,20190517_141752_681700960,592.1233521,-0.000187433,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
36,20190517_141752_681717626,592.1233521,-0.00018815900000000003,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
37,20190517_141752_681767624,592.1233521,-0.000186719,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
38,20190517_141752_681784290,592.1233521,-0.000188921,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
39,20190517_141752_681817622,592.1233521,-0.000187503,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
40,20190517_141752_681850954,592.1233521,-0.000186233,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
41,20190517_141752_681884286,592.1233521,-0.000185735,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
42,20190517_141752_681917618,592.1233521,-0.000185661,0.0005188069999999999,0.0, 0.00.0,0,0, ,0
