,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Unnamed: 22,Label
0,20200518_155316_2305824430,592.1237183,-0.003284095,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
1,20200518_155316_2305857762,592.1237183,-0.003116245,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
2,20200518_155316_2305891094,592.1237183,-0.001959359,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
3,20200518_155316_2305907760,592.1237183,-0.002562422,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
4,20200518_155317_2305924426,592.1237183,-0.000705097,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
5,20200518_155317_2305974424,592.1237183,-0.001518086,-0.021103227999999998,0.0, 0.00.0,0,0, ,0
6,20200518_155317_2305991090,592.1237183,-0.002172182,-0.0212253,0.0, 0.00.0,0,0, ,0
7,20200518_155317_2306024422,592.1237183,-0.000363,-0.0212253,0.0, 0.00.0,0,0, ,0
8,20200518_155317_2306041088,592.1237183,-0.003036412,-0.0212253,0.0, 0.00.0,0,0, ,0
9,20200518_155317_2306091086,592.1237183,-0.004222104,-0.02107271,0.0, 0.00.0,0,0, ,0
10,20200518_155317_2306107752,592.1237183,-0.003292725,-0.019913023000000002,0.0, 0.00.0,0,0, ,0
11,20200518_155317_2306157750,592.1237183,-0.004938806,-0.019699397,0.0, 0.00.0,0,0, ,0
12,20200518_155317_2306174416,592.1237183,-0.003392594,-0.018814374,0.0, 0.00.0,0,0, ,0
13,20200518_155317_2306207748,592.1237183,-0.0031862920000000003,-0.018631266,0.0, 0.00.0,0,0, ,0
14,20200518_155317_2306241080,592.1237183,-0.003688776,-0.018478675,0.0, 0.00.0,0,0, ,0
15,20200518_155317_2306274412,592.1237183,-0.003476313,-0.018478675,0.0, 0.00.0,0,0, ,0
16,20200518_155317_2306291078,592.1237183,-0.0034684459999999996,-0.01841764,0.0, 0.00.0,0,0, ,0
17,20200518_155317_2306324410,592.1237183,-0.00509136,-0.018295567,0.0, 0.00.0,0,0, ,0
18,20200518_155317_2306341076,592.1237183,-0.004762289,-0.017929351,0.0, 0.00.0,0,0, ,0
19,20200518_155317_2306391074,592.1237183,-0.002297889,-0.01762417,0.0, 0.00.0,0,0, ,0
20,20200518_155317_2306424406,592.1237183,-0.005172667,-0.017441062,0.0, 0.00.0,0,0, ,0
21,20200518_155317_2306441072,592.1237183,-0.001293754,-0.017441062,0.0, 0.00.0,0,0, ,0
22,20200518_155317_2306474404,592.1237183,-0.003353164,-0.017837796,0.0, 0.00.0,0,0, ,0
23,20200518_155317_2306507736,592.1237183,-0.0036017209999999996,-0.018631266,0.0, 0.00.0,0,0, ,0
24,20200518_155317_2306541068,592.1237183,-0.0035893220000000003,-0.019851988,0.0, 0.00.0,0,0, ,0
25,20200518_155317_2306574400,592.1237183,-0.003940394,-0.020920118,0.0, 0.00.0,0,0, ,0
26,20200518_155317_2306624398,592.1237183,-0.003982335,-0.021835661,0.0, 0.00.0,0,0, ,0
27,20200518_155317_2306657730,592.1237183,-0.004077557,-0.023514153,0.0, 0.00.0,0,0, ,0
28,20200518_155317_2306691062,592.1237183,-0.0041408470000000005,-0.023636226,0.0, 0.00.0,0,0, ,0
29,20200518_155317_2306707728,592.1237183,-0.0032675729999999997,-0.023636226,0.0, 0.00.0,0,0, ,0
30,20200518_155317_2306757726,592.1237183,-0.003236477,-0.023636226,0.0, 0.00.0,0,0, ,0
31,20200518_155317_2306774392,592.1237183,-8.62e-05,-0.023636226,0.0, 0.00.0,0,0, ,0
32,20200518_155317_2306807724,592.1237183,-0.003830128,-0.023636226,0.0, 0.00.0,0,0, ,0
33,20200518_155317_2306824390,592.1237183,-0.003605702,-0.023636226,0.0, 0.00.0,0,0, ,0
34,20200518_155317_2306874388,592.1237183,-0.003551872,-0.023636226,0.0, 0.00.0,0,0, ,0
35,20200518_155318_2306907720,592.1237183,-0.004413645999999999,-0.023636226,0.0, 0.00.0,0,0, ,0
36,20200518_155318_2306941052,592.1237183,-0.003699573,-0.023636226,0.0, 0.00.0,0,0, ,0
37,20200518_155318_2306974384,592.1237183,-0.003971128,-0.023636226,0.0, 0.00.0,0,0, ,0
38,20200518_155318_2307007716,592.1237183,-0.005363127,-0.023636226,0.0, 0.00.0,0,0, ,0
39,20200518_155318_2307041048,592.1237183,-0.005177742,-0.023636226,0.0, 0.00.0,0,0, ,0
40,20200518_155318_2307057714,592.1237183,-0.00510879,-0.023636226,0.0, 0.00.0,0,0, ,0
41,20200518_155318_2307107712,592.1237183,-0.0041436220000000005,-0.023636226,0.0, 0.00.0,0,0, ,0
42,20200518_155318_2307141044,592.1237183,-0.003718345,-0.023636226,0.0, 0.00.0,0,0, ,0
43,20200518_155318_2307157710,592.1237183,-0.003794166,-0.023636226,0.0, 0.00.0,0,0, ,0
44,20200518_155318_2307191042,592.1237183,-0.003997356,-0.023636226,0.0, 0.00.0,0,0, ,0
45,20200518_155318_2307241040,592.1237183,-0.003930834,-0.023636226,0.0, 0.00.0,0,0, ,0
46,20200518_155318_2307257706,592.1237183,-0.002441944,-0.023636226,0.0, 0.00.0,0,0, ,0
47,20200518_155318_2307291038,592.1237183,-0.004678125,-0.023636226,0.0, 0.00.0,0,0, ,0
48,20200518_155318_2307307704,592.1237183,-0.005186648,-0.023636226,0.0, 0.00.0,0,0, ,0
49,20200518_155318_2307341036,592.1237183,-0.00424534,-0.023636226,0.0, 0.00.0,0,0, ,0
50,20200518_155318_2307357702,592.1237183,-0.004965967,-0.023636226,0.0, 0.00.0,0,0, ,0
51,20200518_155318_2307407700,592.1237183,-0.005967312,-0.023636226,0.0, 0.00.0,0,0, ,0
52,20200518_155318_2307424366,592.1237183,-0.00513377,-0.023636226,0.0, 0.00.0,0,0, ,0
