,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200610_152032_339436422,24848.05078125,106.44632720947266,4.558400178211741e-06,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339453088,24848.05078125,106.44629669189452,3.690603989525698e-06,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339486420,24848.05078125,106.44628143310548,4.728462954517454e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339503086,24848.05078125,106.44625854492188,2.9567672754637897e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339536418,24848.05078125,106.4462432861328,2.709675754886121e-06,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339569750,24848.05078125,106.44621276855469,2.9936563805676997e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339619748,24848.05078125,106.4461898803711,-1.2308973964536565e-06,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339653080,24848.05078125,106.4461441040039,-3.979566827183589e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339686412,24848.05078125,106.44612121582031,-1.3765566109213978e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339719744,24848.05078125,106.4460906982422,-3.125478542642668e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339736410,24848.05078125,106.44606018066406,-6.098634912632406e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339769742,24848.05078125,106.44605255126952,-6.725167622789741e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339803074,24848.05078125,106.4460220336914,-6.209247658262028e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339819740,24848.05078125,106.44599151611328,-4.806279321201146e-07,0.0, 0.00.0,0.0,0.0, ,0
20200610_152032_339853072,24848.05078125,106.44598388671876,-5.029141902923584e-07,0.0, 0.00.0,0.0,0.0, ,0
