Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152032_339436422, 24848.05078125, 0.0, 592.1236572265625, 106.44632720947266, 0.43298962712287903, 0.0033075581304728985, 4.558400178211741e-06, 0.0001376396103296429, -2.7769856387749314e-06, -26406.509765625, 8.502913475036621, -2140.0029296875, 0.0005437923246063292, -0.009991086088120937, 1.1383647802176711e-07, -0.010269321501255035, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339453088, 24848.05078125, 0.0, 592.1236572265625, 106.44629669189453, 0.43298962712287903, 0.0033099607098847628, 3.690603989525698e-06, 0.00010196355287916958, -4.971399903297424e-06, -26406.509765625, 8.502913475036621, -2140.0029296875, 0.0005437811487354338, -0.009991048835217953, 1.1383647802176711e-07, -0.010269321501255035, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339486420, 24848.05078125, 0.0, 592.1236572265625, 106.44628143310547, 0.43298962712287903, 0.003408479504287243, 4.728462954517454e-07, -1.7412949091522023e-05, -1.2562202755361795e-05, -26406.509765625, 8.502913475036621, -2140.0029296875, 0.0005437780637294054, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339503086, 24848.05078125, 0.0, 592.1236572265625, 106.44625854492188, 0.43298962712287903, 0.003411115612834692, 2.9567672754637897e-07, 5.163054447621107e-05, -8.436734788119793e-06, -26406.509765625, 8.502914428710938, -2140.0029296875, 0.0005437673535197973, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339536418, 24848.05078125, 0.0, 592.1236572265625, 106.44624328613281, 0.43298962712287903, 0.0033169183880090714, 2.7096757548861206e-06, -0.0001336557324975729, -1.9588624127209187e-05, -26406.509765625, 8.502913475036621, -2140.0029296875, 0.0005437597865238786, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339569750, 24848.05078125, 0.0, 592.1236572265625, 106.44621276855469, 0.43298962712287903, 0.003312538843601942, 2.9936563805676997e-07, -1.6303376469295472e-05, -1.2163363862782717e-05, -26406.509765625, 8.502914428710938, -2140.0029296875, 0.0005437490181066096, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339619748, 24848.05078125, 0.0, 592.1236572265625, 106.4461898803711, 0.43298962712287903, 0.0033178869634866714, -1.2308973964536563e-06, -0.00010083139932248741, -1.7699494492262602e-05, -26406.509765625, 8.502914428710938, -2140.0029296875, 0.0005437382496893406, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339653080, 24848.05078125, 0.0, 592.1236572265625, 106.4461441040039, 0.43298962712287903, 0.0034140190109610558, -3.9795668271835893e-07, 2.4906195903895423e-05, -9.717157809063792e-06, -26406.509765625, 8.502914428710938, -2140.003173828125, 0.0005437243380583823, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339686412, 24848.05078125, 0.0, 592.1236572265625, 106.44612121582031, 0.43298962712287903, 0.0034193657338619232, -1.3765566109213978e-07, -5.086731835035607e-05, -1.4234843547455966e-05, -26406.509765625, 8.502914428710938, -2140.003173828125, 0.0005437135114334524, -0.009991086088120937, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152032_339719744, 24848.05078125, 0.0, 592.1236572265625, 106.44609069824219, 0.43298962712287903, 0.0034202970564365387, -3.125478542642668e-07, -4.469146369956434e-05, -1.4368968550115824e-05, -26406.509765625, 8.502913475036621, -2140.003173828125, 0.0005437026848085225, -0.009991048835217953, 1.1383647802176711e-07, -0.010391393676400185, 0.0, 0.00.0, 0.0, 0.0, 0.0, 
