Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1
20200706_154747_96996120,0.0,3.2e-05,0.00143,-0.009249,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154747_97029452,0.0,2.3e-05,0.00078,-0.012161,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154747_97062784,-0.0,2e-05,0.001043,-0.003285,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154747_97079450,-0.0,3.1e-05,0.001956,-0.001184,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154747_97112782,-0.0,-1.5e-05,0.00068,0.00901,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154747_97146114,-0.0,-4e-05,-0.001946,0.022366,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97179446,-0.0,-3.1e-05,-0.00188,0.014471,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97212778,0.0,8e-06,0.000454,-0.007148,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97246110,0.0,-7e-06,-0.000566,-0.02093,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97262776,0.0,4.5e-05,0.000474,-0.012904,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97296108,-0.0,1.7e-05,0.001797,-0.003127,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97329440,-0.0,-2.3e-05,0.00061,-0.000766,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97362772,-0.0,-6e-06,0.00048,0.012156,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97396104,0.0,1.6e-05,-0.001339,0.003277,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97429436,0.0,2e-06,0.00054,0.001183,-2.0,0.0,0.0, 0.0, 0.0,5
20200706_154748_97479434,0.0,3e-06,-0.001109,-0.011844,-2.0,0.0,0.0, 0.0, 0.0,5
