Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200709_124409_406261314, 1012.056396484375, 36.237831115722656, -0.03483634814620018, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406277980, 1011.7667236328125, 36.22728729248047, -0.035690851509571075, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406311312, 1011.475341796875, 36.2167854309082, -0.035904478281736374, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406327978, 1010.8889770507812, 36.19599151611328, -0.03523308038711548, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406361310, 1010.5948486328125, 36.18568801879883, -0.03443961217999458, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406394642, 1010.001708984375, 36.16533279418945, -0.030838483944535255, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406427974, 1009.4185791015625, 36.14509582519531, -0.02851911261677742, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406444640, 1008.83251953125, 36.124542236328125, -0.025803005322813988, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406494638, 1008.538818359375, 36.11419677734375, -0.02369726076722145, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406527970, 1007.64892578125, 36.08281326293945, -0.020279239863157272, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406544636, 1007.05078125, 36.06186294555664, -0.016891736537218094, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406577968, 1006.754638671875, 36.051387786865234, -0.015518425032496452, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406594634, 1006.1513671875, 36.0303840637207, -0.010269321501255035, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406644632, 1005.8558349609375, 36.01985168457031, -0.008255130611360073, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406661298, 1004.9510498046875, 35.987789154052734, -0.0016632333863526583, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406694630, 1004.6531372070312, 35.977027893066406, 0.0009460593573749065, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406711296, 1004.05615234375, 35.95554733276367, 0.0032043945975601673, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406744628, 1003.746826171875, 35.944766998291016, 0.007110704202204943, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406761294, 1003.1529541015625, 35.9229621887207, 0.00952162966132164, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406794626, 1002.8666381835938, 35.91265869140625, 0.012359807267785072, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406811292, 1002.266845703125, 35.89061737060547, 0.016571298241615295, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406844624, 1001.9642944335938, 35.879520416259766, 0.018127717077732086, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406877956, 1001.3408813476562, 35.85736846923828, 0.026550699025392532, 0.0, 0.00.0, 1.0, 0.0,1.0
20200709_124409_406927954, 1000.7426147460938, 35.83395004272461, 0.031189441680908203, 0.0, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406944620, 1004.0795288085938, 35.79960250854492, 0.038727398961782455, 0.10714122653007507, 0.00.0, 0.0, 0.0,0.0
20200709_124409_406961286, 1006.6475219726562, 35.78955841064453, 0.04129091277718544, 0.17063400149345398, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407011284, 1008.872314453125, 35.78071212768555, 0.04629587382078171, 0.25396353006362915, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407027950, 1011.0360717773438, 35.76121139526367, 0.05380330979824066, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407061282, 1011.153564453125, 35.75779342651367, 0.05529869347810745, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407094614, 1011.2747802734375, 35.756282806396484, 0.059327077120542526, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407127946, 1011.4432983398438, 35.76030349731445, 0.062958724796772, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407144612, 1011.7291259765625, 35.76906967163086, 0.06610208004713058, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407161278, 1011.93408203125, 35.7754020690918, 0.07058823853731155, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407194610, 1012.1543579101562, 35.782066345214844, 0.07214465737342834, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407244608, 1012.7135620117188, 35.79853820800781, 0.08072022348642349, 0.2618982195854187, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407261274, 1013.5671997070312, 35.829891204833984, 0.09109636396169662, 0.25396353006362915, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407294606, 1013.94140625, 35.84271240234375, 0.0943312719464302, 0.25396353006362915, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407327938, 1014.832275390625, 35.87126159667969, 0.10257114470005035, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407361270, 1015.8602905273438, 35.90338134765625, 0.1109330877661705, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407394602, 1016.9805297851562, 35.9378776550293, 0.11749447137117386, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407427934, 1018.2289428710938, 35.97617721557617, 0.1265583336353302, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407461266, 1019.5469360351562, 36.0169677734375, 0.13373006880283356, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407494598, 1020.9659423828125, 36.061458587646484, 0.14047455787658691, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407527930, 1022.527099609375, 36.10993957519531, 0.15027084946632385, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407577928, 1024.1092529296875, 36.15857696533203, 0.1569543033838272, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407627926, 1026.671630859375, 36.23883056640625, 0.16736094653606415, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407644592, 1029.4334716796875, 36.321922302246094, 0.18191805481910706, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407694590, 1030.3489990234375, 36.350120544433594, 0.18469519913196564, 0.25396353006362915, 0.00.0, 1.0, 0.0,1.0
20200709_124410_407711256, 1033.2989501953125, 36.4432487487793, 0.19455252587795258, 0.25396353006362915, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407727922, 1034.3046875, 36.47572326660156, 0.19653619825839996, 0.25396353006362915, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407761254, 1035.6011962890625, 36.50970458984375, 0.20355534553527832, 0.2658655643463135, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407794586, 1038.089111328125, 36.57469940185547, 0.2083466798067093, 0.28174257278442383, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407844584, 1041.0291748046875, 36.64388656616211, 0.21213091909885406, 0.30555427074432373, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407877916, 1046.2921142578125, 36.761009216308594, 0.21655604243278503, 0.3611047565937042, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407894582, 1049.6846923828125, 36.84758377075195, 0.21817348897457123, 0.38094910979270935, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407927914, 1051.3038330078125, 36.89259719848633, 0.21850919723510742, 0.3888837993144989, 0.00.0, 0.0, 0.0,0.0
20200709_124410_407961246, 1054.3157958984375, 36.98654556274414, 0.21850919723510742, 0.3928511440753937, 0.00.0, 0.0, 0.0,0.0
