Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200715_171312_3544524880,31,0.000162,0.168396,0,0,0,0,0,0,0:00:00
20200715_171313_3544558212,31,3.60E-05,0.168424,0,0,0,0,0,0,0:00:01
20200715_171313_3544574878,31,-4.10E-05,0.168401,0,0,0,0,0,0,0:00:01
20200715_171313_3544591544,31,-7.10E-05,0.168424,0,0,0,0,0,0,0:00:01
20200715_171313_3544624876,31,-8.60E-05,0.168442,0,0,0,0,0,0,0:00:01
20200715_171313_3544658208,31,-0.00015,0.168442,0,0,0,0,0,0,0:00:01
20200715_171313_3544691540,31,-0.000163,0.168453,0,0,0,0,0,0,0:00:01
20200715_171313_3544708206,31,-8.90E-05,0.168453,-1,0,0,0,0,0,0:00:01
20200715_171313_3544758204,31,-2.90E-05,0.168453,-1,0,0,0,0,0,0:00:01
20200715_171313_3544791536,31,-0.049084,0.168625,-1,0,0,0,0,0,0:00:01
20200715_171313_3544824868,31,-0.054194,0.165723,-1,0,0,0,0,0,0:00:01
20200715_171313_3544841534,31,-0.052551,0.165575,-1,0,0,0,0,0,0:00:01
20200715_171313_3544858200,31,-0.052208,0.165506,-1,0,0,0,0,0,0:00:01
20200715_171313_3544891532,31,-0.051614,0.165472,-1,0,0,0,0,0,0:00:01
20200715_171313_3544924864,31,-0.02748,0.165409,-1,0,0,0,0,0,0:00:01
20200715_171313_3544958196,31,-0.001082,0.16522,-1,0,0,0,0,0,0:00:01
20200715_171313_3544974862,31,0.003483,0.16807,-1,0,0,0,0,0,0:00:01
20200715_171313_3544991528,31,0.002966,0.168115,-1,0,0,0,0,0,0:00:01
20200715_171313_3545008194,31,0.00138,0.168173,-1,0,0,0,0,0,0:00:01
20200715_171313_3545041526,31,0.000999,0.168201,-1,0,0,0,0,0,0:00:01
20200715_171313_3545074858,31,-5.60E-05,0.16748,-1,10.71412265,0,0,0,0,0:00:01
20200715_171313_3545108190,31,-0.000633,0.160482,-1,25.39635301,0,0,0,0,0:00:01
20200715_171313_3545141522,31,0.00254,0.143378,-1,37.6981765,0,0,0,0,0:00:01
20200715_171313_3545158188,31,0.00313,0.113737,-1,47.22133279,0,0,0,0,0:00:01
20200715_171313_3545191520,31,0.002843,0.09352,-1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545208186,31,0.002345,0.042197,-1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545241518,31,0.0026,0.011932,-1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545274850,31,0.004582,-0.053382,-1,47.61806726,0,0,0,0,0:00:01
20200715_171313_3545308182,31,0.003437,-0.121872,-1,46.82459831,0,0,0,0,0:00:01
20200715_171313_3545324848,31,0.004972,-0.190374,-1,45.63439488,0,0,0,0,0:00:01
20200715_171313_3545374846,31,0.006518,-0.223694,-1,44.04669404,0,0,0,0,0:00:01
20200715_171314_3545408178,31,0.006771,-0.31683,-1,16.2699312,0,0,0,0,0:00:02
20200715_171314_3545458176,31,0.003883,-0.367226,-1,0,0,0,0,0,0:00:02
20200715_171314_3545474842,31,0.001936,-0.413027,-1,0,0,0,0,0,0:00:02
20200715_171314_3545524840,31,0.000451,-0.419745,-1,0,0,0,0,0,0:00:02
20200715_171314_3545541506,32,-0.001193,-0.415997,-1,0,0,0,0,0,0:00:02
20200715_171314_3545591504,32,-0.000842,-0.408318,-1,0,0,0,0,0,0:00:02
20200715_171314_3545608170,32,-0.00011,-0.376382,-1,0,0,0,0,0,0:00:02
20200715_171314_3545658168,32,-0.000142,-0.365178,-1,0,0,0,0,0,0:00:02
20200715_171314_3545674834,32,-0.000315,-0.332561,-1,0,0,0,0,0,0:00:02
20200715_171314_3545708166,32,-0.000332,-0.322106,-1,0,0,0,0,0,0:00:02
20200715_171314_3545724832,32,-0.000385,-0.301781,-1,0,0,0,0,0,0:00:02
20200715_171314_3545758164,32,-0.000439,-0.291961,-1,0,0,0,0,0,0:00:02
20200715_171314_3545791496,32,-0.000358,-0.272877,-1,0,0,0,0,0,0:00:02
20200715_171314_3545824828,32,-0.000284,-0.254629,-1,0,0,0,0,0,0:00:02
20200715_171314_3545858160,32,-0.000191,-0.237102,-1,0,0,0,0,0,0:00:02
20200715_171314_3545891492,32,-0.000146,-0.22033,-1,0,0,0,0,0,0:00:02
20200715_171314_3545924824,32,-2.40E-05,-0.20421,-1,0,0,0,0,0,0:00:02
20200715_171314_3545941490,32,3.00E-06,-0.188823,-1,0,0,0,0,0,0:00:02
20200715_171314_3545974822,32,-3.50E-05,-0.181332,-1,3.174638748,0,0,0,0,0:00:02
20200715_171314_3546008154,32,-3.10E-05,-0.169596,-1,19.04707551,0,0,0,0,0:00:02
