Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_163713_2765583604,62,0.347352,0.196639,4,0,0,0,1,6,0:00:00
20200720_163713_2765600270,62,0.423792,0.198745,6,0,0,0,1,6,0:00:00
20200720_163713_2765650268,62,0.487761,0.199146,7,0,0,0,1,6,0:00:00
20200720_163713_2765666934,62,0.531534,0.200302,8,0,0,0,1,6,0:00:00
20200720_163713_2765700266,62,0.466803,0.199649,8,0,0,0,0,6,0:00:00
20200720_163714_2765716932,62,0.388944,0.198814,9,0,0,0,0,6,0:00:01
20200720_163714_2765766930,62,0.378786,0.198619,9,0,0,0,0,6,0:00:01
20200720_163714_2765783596,62,0.249303,0.196216,10,0,0,0,0,6,0:00:01
20200720_163714_2765816928,62,0.179452,0.195552,10,0,0,0,0,6,0:00:01
20200720_163714_2765850260,62,0.123588,0.1953,10,0,0,0,0,6,0:00:01
20200720_163714_2765883592,62,0.118606,0.19593,10,0,0,0,0,6,0:00:01
20200720_163714_2765916924,62,0.063893,0.195804,10,0,0,0,0,6,0:00:01
20200720_163714_2765933590,62,0.053696,0.195781,11,0,0,0,0,6,0:00:01
20200720_163714_2765966922,62,0.057872,0.195896,11,0,0,0,0,6,0:00:01
20200720_163714_2766000254,62,0.071276,0.195918,11,0,0,0,0,6,0:00:01
20200720_163714_2766016920,62,0.071815,0.19601,11,0,0,0,0,6,0:00:01
20200720_163714_2766050252,62,0.069179,0.195976,11,0,0,0,0,6,0:00:01
20200720_163714_2766083584,62,0.055578,0.195564,11,0,0,0,1,6,0:00:01
20200720_163714_2766116916,62,0.040797,0.1953,11,0,0,0,1,6,0:00:01
20200720_163714_2766133582,62,0.030825,0.195071,11,0,0,0,1,6,0:00:01
20200720_163714_2766166914,62,0.019196,0.194934,11,0,0,0,1,6,0:00:01
20200720_163714_2766200246,62,0.001485,0.194568,11,0,0,0,1,6,0:00:01
20200720_163714_2766233578,62,-0.003826,0.194511,11,0,0,0,1,6,0:00:01
20200720_163714_2766266910,62,-0.007108,0.194396,11,0,0,0,1,6,0:00:01
20200720_163714_2766300242,62,-0.010598,0.194362,11,0,0,0,1,6,0:00:01
20200720_163714_2766350240,62,-0.01387,0.19427,11,0,0,0,1,6,0:00:01
20200720_163714_2766400238,61,-0.010562,0.194316,11,0,0,0,1,6,0:00:01
20200720_163714_2766416904,61,-0.005435,0.194431,11,0,0,0,1,6,0:00:01
20200720_163714_2766466902,61,-0.006263,0.194396,11,0,0,0,1,6,0:00:01
20200720_163714_2766483568,61,-0.001653,0.194453,11,0,0,0,1,6,0:00:01
20200720_163714_2766500234,61,-5.20E-05,0.194522,11,0,0,0,0,6,0:00:01
20200720_163714_2766533566,61,-0.00014,0.194522,11,0,0,0,0,6,0:00:01
20200720_163714_2766566898,61,-0.003874,0.194465,11,0,0,0,0,6,0:00:01
20200720_163714_2766583564,61,-0.004801,0.19435,11,0,0,0,0,6,0:00:01
20200720_163714_2766616896,61,-0.002502,0.194328,11,0,0,0,0,6,0:00:01
20200720_163715_2766633562,61,0.003791,0.194385,11,0,0,0,0,6,0:00:02
20200720_163715_2766666894,61,0.001714,0.194442,11,0,0,0,0,6,0:00:02
20200720_163715_2766716892,61,0.002211,0.194362,11,0,0,0,0,6,0:00:02
20200720_163715_2766750224,61,-0.001015,0.194076,11,0,0,0,0,6,0:00:02
20200720_163715_2766783556,61,-0.002771,0.193893,11,0,0,0,0,6,0:00:02
20200720_163715_2766816888,61,-0.007173,0.193698,11,0,0,0,0,6,0:00:02
20200720_163715_2766850220,61,-0.012767,0.193378,11,0,0,0,0,6,0:00:02
20200720_163715_2766866886,61,-0.011451,0.193229,11,0,0,0,0,6,0:00:02
20200720_163715_2766883552,61,-0.015064,0.193126,11,0,0,0,1,6,0:00:02
20200720_163715_2766933550,61,-0.017317,0.19308,11,0,0,0,1,6,0:00:02
20200720_163715_2766950216,61,-0.017868,0.192977,11,0,0,0,1,6,0:00:02
20200720_163715_2767000214,61,-0.020071,0.192886,11,0,0,0,1,6,0:00:02
20200720_163715_2767033546,61,-0.019013,0.192703,10,0,0,0,1,6,0:00:02
20200720_163715_2767083544,61,-0.02213,0.192554,10,0,0,0,1,6,0:00:02
20200720_163715_2767100210,61,-0.035264,0.192233,10,0,0,0,1,6,0:00:02
20200720_163715_2767150208,61,-0.045227,0.192016,10,0,0,0,1,6,0:00:02
20200720_163715_2767183540,61,-0.07794,0.191432,9,0,0,0,1,6,0:00:02
20200720_163715_2767200206,61,-0.112622,0.190894,9,0,0,0,1,6,0:00:02
20200720_163715_2767216872,61,-0.123395,0.190768,8,0,0,0,1,6,0:00:02
20200720_163715_2767266870,61,-0.134961,0.19062,8,0,0,0,1,6,0:00:02
20200720_163715_2767283536,61,-0.188107,0.19007,7,0,0,0,1,6,0:00:02
20200720_163715_2767333534,61,-0.201368,0.18991,7,0,0,0,0,6,0:00:02
20200720_163715_2767366866,61,-0.225943,0.189864,6,0,0,0,0,6,0:00:02
20200720_163715_2767400198,61,-0.215058,0.190024,6,0,0,0,0,6,0:00:02
20200720_163715_2767416864,61,-0.198922,0.190425,5,0,0,0,0,6,0:00:02
20200720_163715_2767466862,61,-0.195735,0.190528,5,0,0,0,0,6,0:00:02
20200720_163715_2767483528,61,-0.173792,0.191146,4,0,0,0,0,6,0:00:02
20200720_163715_2767516860,61,-0.15681,0.191329,4,0,0,0,0,6,0:00:02
20200720_163715_2767550192,61,-0.143984,0.191501,3,0,0,0,0,6,0:00:02
20200720_163715_2767583524,61,-0.177828,0.191352,3,0,0,0,0,6,0:00:02
20200720_163715_2767600190,61,-0.194691,0.191363,1,0,0,0,0,6,0:00:02
20200720_163715_2767633522,61,-0.233257,0.191363,1,0,0,0,0,6,0:00:02
20200720_163716_2767666854,61,-0.274053,0.191878,-1,0,0,0,0,6,0:00:03
20200720_163716_2767683520,61,-0.351574,0.192176,-3,0,0,0,1,6,0:00:03
20200720_163716_2767733518,61,-0.414673,0.192805,-4,0,0,0,1,6,0:00:03
20200720_163716_2767750184,61,-0.569138,0.194877,-7,0,0,0,1,6,0:00:03
20200720_163716_2767800182,61,-0.59191,0.195564,-8,0,0,0,1,6,0:00:03
20200720_163716_2767816848,60,-0.647104,0.197223,-10,0,0,0,1,6,0:00:03
20200720_163716_2767850180,60,-0.64653,0.196925,-10,0,0,0,1,6,0:00:03
20200720_163716_2767866846,60,-0.526269,0.19585,-11,0,0,0,1,6,0:00:03
20200720_163716_2767916844,60,-0.483471,0.195426,-12,0,0,0,1,6,0:00:03
20200720_163716_2767933510,60,-0.326258,0.19395,-12,0,0,0,1,6,0:00:03
20200720_163716_2767966842,60,-0.239284,0.192828,-12,0,0,0,1,6,0:00:03
20200720_163716_2767983508,60,-0.143194,0.191638,-12,0,0,0,1,6,0:00:03
20200720_163716_2768016840,60,-0.12965,0.191638,-12,0,0,0,1,6,0:00:03
20200720_163716_2768050172,60,-0.076788,0.191512,-12,0,0,0,1,6,0:00:03
20200720_163716_2768066838,60,-0.016572,0.190642,-12,0,0,0,1,6,0:00:03
20200720_163716_2768100170,60,0.002979,0.190311,-12,0,0,0,0,6,0:00:03
20200720_163716_2768116836,60,0.002239,0.190242,-12,0,0,0,0,6,0:00:03
20200720_163716_2768150168,60,0.004556,0.190208,-12,0,0,0,0,6,0:00:03
20200720_163716_2768166834,60,0.009325,0.190219,-12,0,0,0,0,6,0:00:03
20200720_163716_2768200166,60,0.008625,0.190265,-12,0,0,0,0,6,0:00:03
20200720_163716_2768233498,60,0.000271,0.190368,-12,0,0,0,0,6,0:00:03
20200720_163716_2768266830,60,-0.001242,0.190299,-12,0,0,0,0,6,0:00:03
20200720_163716_2768283496,60,0.018795,0.189807,-11,0,0,0,0,6,0:00:03
20200720_163716_2768333494,60,0.044967,0.189303,-11,0,0,0,0,6,0:00:03
20200720_163716_2768350160,60,0.120548,0.188102,-10,0,0,0,0,6,0:00:03
20200720_163716_2768400158,60,0.138873,0.18785,-10,0,0,0,0,6,0:00:03
20200720_163716_2768416824,60,0.18875,0.187117,-9,0,0,0,0,6,0:00:03
20200720_163716_2768450156,60,0.190065,0.187072,-9,0,0,0,0,6,0:00:03
20200720_163716_2768500154,60,0.148211,0.187838,-9,0,0,0,1,6,0:00:03
20200720_163716_2768516820,60,0.056978,0.189429,-9,0,0,0,1,6,0:00:03
20200720_163716_2768550152,60,0.036894,0.189773,-10,0,0,0,1,6,0:00:03
