Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_133251_987343838,24.13,-0.51,0.59,-32,-32,0,0,0,0:00:00
20200803_133251_987443834,24.13,-4,0.47,-32,-32,0,0,0,0:00:00
20200803_133251_987543830,24.13,-9.7,0.35,-32,-32,0,0,0,0:00:00
20200803_133251_987627160,24.13,-8.09,0.35,-32,-32,0,1,6,0:00:00
20200803_133251_987693824,23.5,-4.28,0.24,-32,-32,0,1,6,0:00:00
20200803_133251_987793820,23.5,-2.41,0.24,-32,-32,0,1,6,0:00:00
20200803_133251_987860484,23.5,3.87,0.47,-32,-32,0,1,6,0:00:00
20200803_133251_987927148,23.5,23.77,0.94,-32,-32,0,1,6,0:00:00
20200803_133251_988060476,23.5,31.75,1.76,-32,-32,0,0,6,0:00:00
20200803_133251_988127140,23.5,31.75,2.35,-32,-32,0,0,6,0:00:00
20200803_133252_988227136,23.5,31.75,2.47,-32,-32,0,0,6,0:00:01
20200803_133252_988327132,23.5,16.43,2.47,-32,-32,0,0,6,0:00:01
20200803_133252_988410462,23.5,-7.75,2.35,-32,-32,0,1,6,0:00:01
20200803_133252_988493792,23.5,-4.72,2.23,-32,-32,0,1,6,0:00:01
20200803_133252_988577122,23.5,-2.31,2.23,-32,-32,0,1,6,0:00:01
20200803_133252_988677118,22.86,-3.52,2.23,-32,-32,0,1,6,0:00:01
20200803_133252_988743782,22.86,-4.82,2.12,-32,-32,0,1,6,0:00:01
20200803_133252_988860444,22.86,-19.23,1.76,-32,-32,0,0,6,0:00:01
20200803_133252_988927108,22.86,-32,0.71,-32,-32,0,0,6,0:00:01
20200803_133252_989027104,22.86,-32,-0.24,-32,-32,0,0,6,0:00:01
20200803_133252_989127100,22.86,-32,-1.07,-32,-32,0,0,6,0:00:01
20200803_133253_989210430,22.86,-30.06,-1.07,-32,-32,0,1,6,0:00:02
20200803_133253_989293760,22.86,3.21,-1.07,-32,-32,0,1,6,0:00:02
20200803_133253_989410422,22.86,-10.56,-1.3,-32,-32,0,1,6,0:00:02
20200803_133253_989510418,22.22,-8.42,-1.3,-32,-32,0,1,6,0:00:02
20200803_133253_989593748,22.22,2.14,-1.3,-32,-32,0,1,6,0:00:02
20200803_133253_989677078,22.22,20.52,-0.83,-32,-32,0,0,6,0:00:02
20200803_133253_989760408,22.22,31.75,-0.47,-32,-32,0,0,6,0:00:02
20200803_133253_989843738,22.22,19.2,-0.36,-32,-32,0,0,6,0:00:02
20200803_133253_989927068,22.22,-1.09,-0.36,-32,-32,0,0,6,0:00:02
20200803_133253_990027064,22.22,8.82,-0.12,-32,-32,0,1,6,0:00:02
20200803_133254_990143726,21.59,6.14,-0.24,-32,-32,0,0,0,0:00:03
20200803_133254_990243722,21.59,-18.88,-0.47,-32,-32,0,0,0,0:00:03
20200803_133254_990343718,21.59,-7.15,-0.47,-32,-32,0,0,0,0:00:03
20200803_133254_990460380,21.59,11.94,-0.24,-32,-32,0,0,0,0:00:03
20200803_133254_990543710,21.59,24.62,0.12,-32,-32,0,0,0,0:00:03
20200803_133254_990643706,21.59,21.39,0.35,-32,-32,0,0,0,0:00:03
20200803_133254_990743702,21.59,0.32,0.35,-32,-32,0,0,0,0:00:03
