Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200804_152437_2299585578,13.33,-6.76,0.0,-32,-32,0,0,0,0:00:00
20200804_152437_2299652242,13.33,-2.64,0.0,-32,-32,0,0,0,0:00:00
20200804_152437_2299718906,13.33,1.12,0.0,-32,-32,0,0,0,0:00:00
20200804_152437_2299802236,13.33,-0.13,0.12,-32,-32,0,0,0,0:00:00
20200804_152437_2299852234,13.33,6.01,0.24,-32,-32,0,0,0,0:00:00
20200804_152437_2299918898,13.33,17.43,0.59,-32,-32,0,0,0,0:00:00
20200804_152437_2299968896,13.33,28.12,0.82,-32,-32,0,1,6,0:00:00
20200804_152437_2300035560,13.33,29.99,1.06,-32,-32,0,1,6,0:00:00
20200804_152438_2300102224,13.33,18.82,1.18,-32,-32,0,1,6,0:00:01
20200804_152438_2300168888,13.33,5.57,1.18,-32,-32,0,1,6,0:00:01
20200804_152438_2300218886,13.33,4.9,1.29,-32,-32,0,1,6,0:00:01
20200804_152438_2300268884,13.33,8.89,1.41,-32,-32,0,1,6,0:00:01
20200804_152438_2300318882,13.33,11.57,1.53,-32,-32,0,1,6,0:00:01
20200804_152438_2300418878,13.33,9.99,1.65,-32,-32,0,0,6,0:00:01
20200804_152438_2300485542,13.33,8.74,1.76,-32,-32,0,0,6,0:00:01
20200804_152438_2300552206,13.33,9.37,1.76,-32,-32,0,0,6,0:00:01
20200804_152438_2300602204,13.33,7.94,1.88,-32,-32,0,0,6,0:00:01
20200804_152438_2300668868,13.33,3.95,1.88,-32,-32,0,0,6,0:00:01
20200804_152438_2300735532,13.33,0.06,1.88,-32,-32,0,0,6,0:00:01
20200804_152438_2300785530,13.33,-0.36,1.88,-32,-32,0,1,6,0:00:01
20200804_152438_2300852194,13.33,-0.09,1.88,-32,-32,0,1,6,0:00:01
20200804_152438_2300902192,13.33,-0.31,1.88,-32,-32,0,1,6,0:00:01
20200804_152438_2300952190,13.33,-0.46,1.88,-32,-32,0,1,6,0:00:01
20200804_152439_2301002188,13.33,-0.98,1.88,-32,-32,0,1,6,0:00:02
20200804_152439_2301052186,13.33,-1.18,1.76,-32,-32,0,1,6,0:00:02
20200804_152439_2301135516,12.7,-5.4,1.65,-32,-32,0,1,6,0:00:02
20200804_152439_2301185514,12.7,-9.41,1.41,-32,-32,0,0,6,0:00:02
20200804_152439_2301252178,12.7,-21.35,1.18,-32,-32,0,0,6,0:00:02
20200804_152439_2301285510,12.7,-23.17,1.06,-32,-32,0,0,6,0:00:02
20200804_152439_2301352174,12.7,-23.09,0.82,-32,-32,0,0,6,0:00:02
20200804_152439_2301418838,12.7,-22.54,0.59,-32,-32,0,0,6,0:00:02
20200804_152439_2301485502,12.7,-21.73,0.35,-32,-32,0,0,6,0:00:02
20200804_152439_2301535500,12.7,-25.25,0.0,-32,-32,0,0,6,0:00:02
20200804_152439_2301585498,12.7,-29.75,-0.47,-32,-32,0,1,6,0:00:02
20200804_152439_2301685494,12.7,-32,-1.07,-32,-32,0,1,6,0:00:02
20200804_152439_2301735492,12.7,-32,-1.54,-32,-32,0,1,6,0:00:02
20200804_152439_2301802156,12.7,-32,-1.78,-32,-32,0,1,6,0:00:02
20200804_152439_2301852154,12.7,-21.86,-1.9,-32,-32,0,1,6,0:00:02
20200804_152440_2301918818,12.7,-13.29,-2.13,-32,-32,0,1,6,0:00:03
20200804_152440_2301985482,12.7,-15.33,-2.37,-32,-32,0,0,6,0:00:03
20200804_152440_2302035480,12.7,-20.99,-2.49,-32,-32,0,0,6,0:00:03
20200804_152440_2302102144,12.7,-16.99,-2.61,-32,-32,0,0,6,0:00:03
20200804_152440_2302168808,12.7,-9.16,-2.61,-32,-32,0,0,6,0:00:03
20200804_152440_2302218806,12.7,-1.59,-2.61,-32,-32,0,0,6,0:00:03
20200804_152440_2302285470,12.7,0.86,-2.61,-32,-32,0,0,6,0:00:03
20200804_152440_2302335468,12.7,0.36,-2.61,-32,-32,0,0,6,0:00:03
20200804_152440_2302385466,12.7,0.07,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302452130,12.7,0.1,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302502128,12.7,0.11,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302568792,12.7,0.15,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302668788,12.7,0.15,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302735452,12.7,2.27,-2.61,-32,-32,0,1,6,0:00:03
20200804_152440_2302785450,12.7,10.0,-2.25,-32,-32,0,0,6,0:00:03
20200804_152440_2302852114,12.7,20.47,-2.01,-32,-32,0,0,6,0:00:03
20200804_152441_2302902112,12.06,31.57,-1.54,-32,-32,0,0,6,0:00:04
20200804_152441_2302968776,12.06,31.75,-1.3,-32,-32,0,0,6,0:00:04
20200804_152441_2303035440,12.06,25.47,-1.07,-32,-32,0,0,6,0:00:04
20200804_152441_2303085438,12.06,22.32,-0.83,-32,-32,0,0,6,0:00:04
20200804_152441_2303135436,12.06,18.79,-0.71,-32,-32,0,0,6,0:00:04
20200804_152441_2303202100,12.06,14.92,-0.59,-32,-32,0,1,6,0:00:04
20200804_152441_2303268764,12.06,13.24,-0.36,-32,-32,0,1,6,0:00:04
20200804_152441_2303352094,12.06,14.8,-0.12,-32,-32,0,1,6,0:00:04
20200804_152441_2303402092,12.06,17.03,0.12,-32,-32,0,1,6,0:00:04
20200804_152441_2303468756,12.06,17.85,0.24,-32,-32,0,1,6,0:00:04
20200804_152441_2303535420,12.06,17.43,0.35,-32,-32,0,1,6,0:00:04
20200804_152441_2303585418,12.06,18.75,0.71,-32,-32,0,0,6,0:00:04
20200804_152441_2303685414,12.06,19.6,0.82,-32,-32,0,0,6,0:00:04
20200804_152441_2303752078,12.06,14.45,0.82,-32,-32,0,0,6,0:00:04
20200804_152442_2303818742,12.06,-5.73,0.71,-32,-32,0,0,6,0:00:05
20200804_152442_2303885406,12.06,-9.19,0.59,-32,-32,0,0,6,0:00:05
20200804_152442_2303935404,12.06,-7.73,0.59,-32,-32,0,0,6,0:00:05
20200804_152442_2303985402,11.43,-4.74,0.59,-32,-32,0,1,6,0:00:05
20200804_152442_2304085398,11.43,-2.9,0.47,-32,-32,0,1,6,0:00:05
20200804_152442_2304152062,11.43,-2.66,0.47,-32,-32,0,1,6,0:00:05
20200804_152442_2304202060,11.43,-1.61,0.47,-32,-32,0,1,6,0:00:05
20200804_152442_2304268724,11.43,-0.56,0.47,-32,-32,0,0,0,0:00:05
20200804_152442_2304318722,11.43,-0.47,0.47,-32,-32,0,0,0,0:00:05
20200804_152442_2304385386,11.43,-0.25,0.47,-32,-32,0,0,0,0:00:05
20200804_152442_2304452050,11.43,-0.01,0.47,-32,-32,0,0,0,0:00:05
20200804_152442_2304518714,11.43,-0.51,0.47,-32,-32,0,0,0,0:00:05
20200804_152442_2304568712,11.43,-3.15,0.35,-32,-32,0,0,0,0:00:05
20200804_152442_2304635376,11.43,-8.24,0.24,-32,-32,0,0,0,0:00:05
20200804_152442_2304702040,11.43,-11.36,0.12,-32,-32,0,0,0,0:00:05
20200804_152443_2304802036,11.43,-6.15,0.12,-32,-32,0,0,0,0:00:06
20200804_152443_2304868700,10.79,-1.1,0.12,-32,-32,0,0,0,0:00:06
20200804_152443_2304918698,10.79,0.25,0.12,-32,-32,0,0,0,0:00:06
20200804_152443_2304985362,10.79,-0.05,0.12,-32,-32,0,0,0,0:00:06
20200804_152443_2305035360,10.79,-0.12,0.12,-32,-32,0,0,0,0:00:06
20200804_152437_2299585578,13.33,-6.76,0.0,-32,-32,0,0,0,0:00:00
