Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_111752_480330786, 71.77515411376953,-0.006863,-0.001741,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:00
20200722_111752_480364118, 71.77599334716797,0.020404,-0.003149,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:00
20200722_111752_480397450, 71.77713012695312,0.009663,-0.005003,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:00
20200722_111752_480430782, 71.7785415649414,0.002147,-0.007109,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:00
20200722_111753_480447448, 71.78022003173828,-0.001728,-0.009363,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480480780, 71.78114318847656,-0.003277,-0.010485,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480514112, 71.7831802368164,-0.004033,-0.012739,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480547444, 71.78544616699219,-0.001144,-0.014857,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480597442, 71.78794860839844,0.001513,-0.016894,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480614108, 71.79209899902344,0.000543,-0.019801,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480647440, 71.79358673095703,-0.000115,-0.020728,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480664106, 71.79671478271484,-0.000517,-0.022547,-0.0,8.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480697438, 71.79835510253906,-0.000315,-0.023452,-0.0,9.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480730770, 71.80181884765625,0.000154,-0.025237,-0.0,10.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480764102, 71.80575561523438,0.000274,-0.027446,-0.0,12.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480797434, 71.81034088134766,7.9e-05,-0.030387,-0.0,14.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480814100, 71.8157958984375,-7.3e-05,-0.03445,-0.0,16.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480830766, 71.81893157958984,-0.000106,-0.037013,-0.0,16.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480864098, 71.82233428955078,-0.00016,-0.039955,-0.0,17.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480897430, 71.83009338378906,0.000107,-0.047119,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480914096, 71.83908081054688,0.0001,-0.055542,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480947428, 71.84402465820312,3.8e-05,-0.060108,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480980760, 71.85482025146484,-4.6e-05,-0.069791,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_480997426, 71.86676788330078,-6e-05,-0.079724,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481047424, 71.8731460571289,3e-06,-0.08468,-0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481064090, 71.89385986328125,2.6e-05,-0.099043,0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481097422, 71.9012680053711,3.8e-05,-0.103632,0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481130754, 71.91685485839844,-4.1e-05,-0.112616,0.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481164086, 71.93334197998047,-0.000158,-0.121131,1.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481197418, 71.95069122314453,-3.4e-05,-0.129234,1.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481214084, 71.96884155273438,0.067743,-0.136913,1.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481247416, 71.9782485961914,0.092004,-0.140655,1.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481280748, 71.99761199951172,0.116049,-0.147797,1.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481314080, 72.01770782470703,0.136181,-0.154526,2.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111753_481347412, 72.03846740722656,0.153943,-0.160912,2.0,18.0,0.0, 0.0, 0.0,0,0:00:01
20200722_111754_481380744, 72.05989837646484,0.130451,-0.167058,2.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481397410, 72.08200073242188,0.093743,-0.172917,2.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481430742, 72.09333038330078,0.090088,-0.175813,3.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481464074, 72.11631774902344,0.100222,-0.181238,3.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481480740, 72.13996124267578,0.102059,-0.186605,3.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481514072, 72.15196990966797,0.111859,-0.189169,4.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481547404, 72.17639923095703,0.124776,-0.194158,4.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481580736, 72.20130157470703,0.14477,-0.198828,4.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481597402, 72.22669219970703,0.156534,-0.203234,5.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481630734, 72.23958587646484,0.160317,-0.205443,5.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481664066, 72.26565551757812,0.179981,-0.209483,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481697398, 72.29217529296875,0.182786,-0.213443,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481730730, 72.31913757324219,0.178915,-0.217242,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481764062, 72.3465576171875,0.156149,-0.220985,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481780728, 72.37446594238281,0.114501,-0.224807,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481830726, 72.38858795166016,0.099406,-0.22665,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481864058, 72.43151092529297,0.028286,-0.232235,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481897390, 72.4605484008789,0.002957,-0.235679,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481914056, 72.48987579345703,-0.00618,-0.238872,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481947388, 72.50468444824219,-0.005663,-0.240372,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_481980720, 72.53451538085938,-0.006029,-0.24321,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482014052, 72.56464385986328,0.001269,-0.245899,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482047384, 72.59506225585938,0.007257,-0.24844,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482064050, 72.62580871582031,0.006972,-0.251072,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482114048, 72.64124298095703,0.005185,-0.252274,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482130714, 72.68790435791016,0.00357,-0.25565,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482164046, 72.7035903930664,0.001946,-0.25676,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482180712, 72.73511505126953,0.00044,-0.258832,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482230710, 72.75096130371094,0.000227,-0.259827,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482247376, 72.79878997802734,0.000952,-0.262574,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111754_482280708, 72.81483459472656,0.001419,-0.263512,6.0,18.0,0.0, 0.0, 0.0,0,0:00:02
20200722_111755_482314040, 72.84706115722656,0.001305,-0.265263,6.0,18.0,0.0, 0.0, 0.0,0,0:00:03
20200722_111755_482347372, 72.87946319580078,0.00219,-0.266889,6.0,18.0,0.0, 0.0, 0.0,0,0:00:03
20200722_111755_482380704, 72.91204071044922,0.007751,-0.268468,6.0,18.0,0.0, 0.0, 0.0,0,0:00:03
20200722_111755_482397370, 72.94474029541016,0.017927,-0.26991,7.0,18.0,0.0, 0.0, 0.0,0,0:00:03
20200722_111755_482447368, 72.96111297607422,0.029526,-0.270551,7.0,18.0,0.0, 0.0, 0.0,0,0:00:03
20200722_111755_482464034, 73.0104751586914,0.06824,-0.272348,7.0,18.0,0.0, 0.0, 0.0,0,0:00:03
