2,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112440_850299320,95.87541962,0.000562,-0.556976,2,20,0,0,0,2,0:00:00
20200722_112440_850332652,95.94130707,0.014373,-0.554744,2,20,0,0,0,2,0:00:00
20200722_112440_850365984,96.00655365,0.025021,-0.551814,2,20,0,0,0,2,0:00:00
20200722_112440_850382650,96.07152557,0.050744,-0.548541,3,20,0,0,0,2,0:00:00
20200722_112440_850399316,96.10384369,0.068754,-0.546802,3,20,0,0,0,2,0:00:00
20200722_112440_850432648,96.13610077,0.094833,-0.545085,4,20,0,0,0,2,0:00:00
20200722_112440_850482646,96.20111847,0.209359,-0.542865,4,20,0,0,0,2,0:00:00
20200722_112440_850499312,96.29666901,0.275308,-0.538127,5,20,0,0,0,2,0:00:00
20200722_112440_850532644,96.32802582,0.288262,-0.535815,5,20,0,0,0,2,0:00:00
20200722_112440_850549310,96.39086151,0.271804,-0.532255,5,20,0,0,0,2,0:00:00
20200722_112440_850582642,96.42218781,0.259397,-0.530596,5,20,0,0,0,2,0:00:00
20200722_112440_850615974,96.48453522,0.16329,-0.525721,5,20,0,0,0,2,0:00:00
20200722_112440_850632640,96.54878235,0.071166,-0.526178,5,20,0,0,0,2,0:00:00
20200722_112440_850682638,96.57972717,0.049391,-0.524977,5,20,0,0,0,2,0:00:00
20200722_112440_850699304,96.6758194,0.017075,-0.526945,5,20,0,0,0,2,0:00:00
20200722_112440_850749302,96.70615387,0.019562,-0.525515,5,20,0,0,0,2,0:00:00
20200722_112440_850765968,96.79587555,0.031071,-0.518934,5,20,0,0,0,2,0:00:00
20200722_112440_850815966,96.82566833,0.031018,-0.51296,5,20,0,0,0,2,0:00:00
20200722_112440_850849298,96.91416931,0.025362,-0.498528,5,20,0,0,0,2,0:00:00
20200722_112440_850865964,96.9725647,0.022507,-0.494603,6,20,0,0,0,2,0:00:00
20200722_112440_850899296,97.0011673,0.023615,-0.491707,6,20,0,0,0,2,0:00:00
20200722_112440_850932628,97.05825806,0.028788,-0.487038,6,20,0,0,0,2,0:00:00
20200722_112440_850949294,97.11487579,0.048036,-0.482037,6,20,0,0,0,2,0:00:00
20200722_112440_850982626,97.14321136,0.047962,-0.48008,6,20,0,0,0,2,0:00:00
20200722_112441_851015958,97.19914246,0.041749,-0.474975,6,20,0,0,0,2,0:00:01
20200722_112441_851049290,97.25449371,0.030582,-0.469906,6,20,0,0,0,2,0:00:01
20200722_112441_851065956,97.3092804,0.006221,-0.465488,6,20,0,0,0,2,0:00:01
20200722_112441_851099288,97.33654785,0.001807,-0.46384,6,20,0,0,0,2,0:00:01
20200722_112441_851115954,97.3900528,-0.017939,-0.458656,6,20,0,0,0,2,0:00:01
20200722_112441_851165952,97.41632843,-0.018524,-0.455211,6,20,0,0,0,2,0:00:01
20200722_112441_851182618,97.49504089,-0.014167,-0.447005,6,20,0,0,0,2,0:00:01
