Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_141126_2151313944,8.26,-1.66,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151363942,8.26,-0.86,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151397274,8.26,-0.02,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151463938,7.62,0.09,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151547268,7.62,-0.0,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151597266,7.62,-0.36,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151663930,7.62,-1.66,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151713928,7.62,-2.22,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151780592,7.62,-5.55,0.0,-32,-32,0,1,4,0:00:00
20200805_141126_2151830590,7.62,-3.89,0.0,-32,-32,0,1,4,0:00:00
20200805_141126_2151880588,7.62,-1.52,0.0,-32,-32,0,1,4,0:00:00
20200805_141126_2151947252,7.62,9.83,0.59,-32,-32,0,1,4,0:00:00
20200805_141127_2151997250,7.62,30.57,1.53,-32,-32,0,1,4,0:00:01
20200805_141127_2152047248,7.62,31.75,2.94,-32,-32,0,1,4,0:00:01
20200805_141127_2152097246,7.62,31.75,4.35,-32,-32,0,1,4,0:00:01
20200805_141127_2152180576,7.62,31.75,5.53,-32,-32,0,0,4,0:00:01
20200805_141127_2152230574,7.62,31.75,6.82,-32,-32,0,0,4,0:00:01
20200805_141127_2152297238,7.62,31.75,8.58,-32,-32,0,0,4,0:00:01
20200805_141127_2152347236,7.62,31.75,9.53,-32,-32,0,0,4,0:00:01
20200805_141127_2152413900,7.62,31.75,11.29,-32,-32,0,0,4,0:00:01
20200805_141127_2152463898,6.99,31.75,11.76,-32,-32,0,0,4,0:00:01
20200805_141127_2152530562,6.99,10.8,11.99,-32,-32,0,0,4,0:00:01
20200805_141127_2152613892,6.99,-19.84,12.94,-32,-32,0,1,4,0:00:01
20200805_141127_2152680556,6.99,-32,14.35,-32,-32,0,1,4,0:00:01
20200805_141127_2152730554,6.99,-32,16.58,-32,-32,0,1,4,0:00:01
20200805_141127_2152797218,6.99,-32,18.46,-32,-32,0,1,4,0:00:01
20200805_141127_2152847216,6.35,-32,19.76,-32,-32,0,1,4,0:00:01
20200805_141127_2152913880,6.35,-32,20.81,-32,-32,0,1,4,0:00:01
20200805_141128_2152980544,6.35,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153047208,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153113872,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153163870,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153230534,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153297198,5.08,-32,21.4,-32,-32,0,0,4,0:00:02
20200805_141128_2153347196,5.08,-32,21.4,-32,-32,0,0,4,0:00:02
20200805_141128_2153397194,5.08,-32,21.4,-32,-32,0,1,4,0:00:02
20200805_141128_2153447192,4.45,-32,21.17,-32,-32,0,1,4,0:00:02
20200805_141128_2153513856,4.45,-32,19.52,-32,-32,0,1,4,0:00:02
20200805_141128_2153580520,4.45,-32,16.7,-32,-32,0,1,4,0:00:02
20200805_141128_2153630518,3.81,-32,13.05,-32,-32,0,1,4,0:00:02
20200805_141128_2153713848,3.81,-32,10.0,-32,-32,0,1,4,0:00:02
20200805_141128_2153763846,3.81,-32,8.11,-32,-32,0,1,4,0:00:02
20200805_141128_2153830510,3.81,2.21,6.0,-32,-32,0,0,4,0:00:02
20200805_141128_2153897174,4.45,31.75,3.65,-32,-32,0,0,4,0:00:02
20200805_141129_2153947172,4.45,31.75,2.12,-32,-32,0,0,4,0:00:03
20200805_141129_2154013836,4.45,31.75,0.24,-32,-32,0,0,4,0:00:03
20200805_141129_2154080500,5.08,31.75,-0.83,-32,-32,0,0,4,0:00:03
20200805_141129_2154130498,5.08,31.75,-1.42,-32,-32,0,0,4,0:00:03
20200805_141129_2154180496,5.08,31.75,-1.42,-32,-32,0,0,4,0:00:03
20200805_141129_2154247160,5.71,31.75,-1.3,-32,-32,0,0,4,0:00:03
20200805_141129_2154297158,5.71,31.75,-1.3,-32,-32,0,0,4,0:00:03
20200805_141129_2154363822,6.35,-14.96,-1.54,-32,-32,0,0,4,0:00:03
20200805_141126_2151313944,8.26,-1.66,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151380608,8.26,-0.31,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151463938,7.62,0.09,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151580600,7.62,-0.08,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151663930,7.62,-1.66,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151747260,7.62,-5.05,0.0,-32,-32,0,0,0,0:00:00
20200805_141126_2151830590,7.62,-3.89,0.0,-32,-32,0,1,4,0:00:00
20200805_141126_2151913920,7.62,0.13,0.12,-32,-32,0,1,4,0:00:00
20200805_141127_2151997250,7.62,30.57,1.53,-32,-32,0,1,4,0:00:01
20200805_141127_2152080580,7.62,31.75,3.18,-32,-32,0,1,4,0:00:01
20200805_141127_2152180576,7.62,31.75,5.53,-32,-32,0,0,4,0:00:01
20200805_141127_2152280572,7.62,31.75,7.17,-32,-32,0,0,4,0:00:01
20200805_141127_2152347236,7.62,31.75,9.53,-32,-32,0,0,4,0:00:01
20200805_141127_2152447232,7.62,31.75,11.52,-32,-32,0,0,4,0:00:01
20200805_141127_2152530562,6.99,10.8,11.99,-32,-32,0,0,4,0:00:01
20200805_141127_2152630558,6.99,-32,13.99,-32,-32,0,1,4,0:00:01
20200805_141127_2152730554,6.99,-32,16.58,-32,-32,0,1,4,0:00:01
20200805_141127_2152813884,6.99,-32,19.52,-32,-32,0,1,4,0:00:01
20200805_141127_2152913880,6.35,-32,20.81,-32,-32,0,1,4,0:00:01
20200805_141128_2153030542,6.35,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153113872,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153213868,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153297198,5.08,-32,21.4,-32,-32,0,0,4,0:00:02
20200805_141128_2153380528,5.08,-32,21.4,-32,-32,0,1,4,0:00:02
20200805_141128_2153447192,4.45,-32,21.17,-32,-32,0,1,4,0:00:02
20200805_141128_2153547188,4.45,-32,18.11,-32,-32,0,1,4,0:00:02
20200805_141128_2153630518,3.81,-32,13.05,-32,-32,0,1,4,0:00:02
20200805_141128_2153730514,3.81,-32,8.82,-32,-32,0,1,4,0:00:02
20200805_141128_2153830510,3.81,2.21,6.0,-32,-32,0,0,4,0:00:02
20200805_141129_2153913840,4.45,31.75,2.7,-32,-32,0,0,4,0:00:03
20200805_141129_2154013836,4.45,31.75,0.24,-32,-32,0,0,4,0:00:03
20200805_141129_2154097166,5.08,31.75,-1.3,-32,-32,0,0,4,0:00:03
20200805_141129_2154180496,5.08,31.75,-1.42,-32,-32,0,0,4,0:00:03
20200805_141129_2154280492,5.71,31.75,-1.3,-32,-32,0,0,4,0:00:03
20200805_141129_2154363822,6.35,-14.96,-1.54,-32,-32,0,0,4,0:00:03
20200805_141126_2151347276,8.26,-1.4,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151430606,8.26,0.07,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151580600,7.62,-0.08,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151680596,7.62,-1.88,0.12,-32,-32,0,0,0,0:00:00
20200805_141126_2151797258,7.62,-4.45,0.0,-32,-32,0,1,4,0:00:00
20200805_141126_2151913920,7.62,0.13,0.12,-32,-32,0,1,4,0:00:00
20200805_141127_2152030582,7.62,31.75,2.23,-32,-32,0,1,4,0:00:01
20200805_141127_2152147244,7.62,31.75,4.47,-32,-32,0,1,4,0:00:01
20200805_141127_2152280572,7.62,31.75,7.17,-32,-32,0,0,4,0:00:01
20200805_141127_2152397234,7.62,31.75,10.58,-32,-32,0,0,4,0:00:01
20200805_141127_2152497230,6.99,26.31,11.88,-32,-32,0,0,4,0:00:01
20200805_141127_2152630558,6.99,-32,13.99,-32,-32,0,1,4,0:00:01
20200805_141127_2152747220,6.99,-32,17.99,-32,-32,0,1,4,0:00:01
20200805_141127_2152880548,6.35,-32,20.34,-32,-32,0,1,4,0:00:01
20200805_141128_2153030542,6.35,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153130538,5.71,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153263866,5.08,-32,21.28,-32,-32,0,0,4,0:00:02
20200805_141128_2153380528,5.08,-32,21.4,-32,-32,0,1,4,0:00:02
20200805_141128_2153480524,4.45,-32,20.7,-32,-32,0,1,4,0:00:02
20200805_141128_2153613852,4.45,-32,14.82,-32,-32,0,1,4,0:00:02
20200805_141128_2153730514,3.81,-32,8.82,-32,-32,0,1,4,0:00:02
20200805_141128_2153863842,4.45,23.85,4.7,-32,-32,0,0,4,0:00:02
20200805_141129_2153980504,4.45,31.75,1.18,-32,-32,0,0,4,0:00:03
