Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200723_140255_516096022,0.0,-2.4e-05,-0.01337,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516112688,0.0,-2.5e-05,-0.014077,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516146020,-0.0,-7e-06,-0.004307,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516179352,-0.0,-3e-06,-0.002312,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516196018,-0.0,1.9e-05,0.010718,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516229350,-0.0,3.8e-05,0.021473,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516262682,-0.0,4.2e-05,0.023472,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516296014,-0.0,9e-06,0.005269,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516329346,0.0,-3.5e-05,-0.019857,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516362678,0.0,-3.9e-05,-0.022213,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516396010,0.0,-2.5e-05,-0.014105,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516412676,-0.0,-4e-06,-0.002357,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516446008,-0.0,-4e-06,-0.002347,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516462674,-0.0,1.9e-05,0.010696,-3.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140255_516496006,-0.0,3.7e-05,0.021459,-2.0,0.0,0.0, 0.0, 0.0,7,0:00:00
20200723_140256_516529338,-0.0,3.9e-05,0.023471,-2.0,0.0,0.0, 0.0, 0.0,7,0:00:01
20200723_140256_516546004,-0.0,9e-06,0.005276,-2.0,0.0,0.0, 0.0, 0.0,7,0:00:01
20200723_140256_516562670,0.0,-1.2e-05,-0.007254,-2.0,0.0,0.0, 0.0, 0.0,7,0:00:01
20200723_140256_516596002,0.0,-3.3e-05,-0.019856,-2.0,0.0,0.0, 0.0, 0.0,7,0:00:01
20200723_140256_516612668,0.0,-3.8e-05,-0.022239,-2.0,5.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516646000,0.0,-2.6e-05,-0.015306,-2.0,10.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516679332,-0.0,-7e-06,-0.00432,-2.0,21.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516712664,-0.0,-3e-06,-0.002363,-2.0,29.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516729330,-0.0,1.4e-05,0.008342,-2.0,48.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516779328,-0.0,2.7e-05,0.016746,-2.0,55.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516795994,0.0,-1.5e-05,-0.008894,-2.0,88.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516812660,0.0,-7.6e-05,-0.045566,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516845992,0.0,-0.00013,-0.078496,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516879324,0.0,-0.000241,-0.146288,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516912656,0.0,-0.000527,-0.320298,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516945988,0.0,-0.000978,-0.597571,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516979320,1.0,-0.001532,-0.940318,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_516995986,1.0,-0.002109,-1.29748,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517029318,1.0,-0.002435,-1.498096,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517062650,1.0,-0.002983,-1.837674,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517095982,2.0,-0.003394,-2.091185,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517129314,2.0,-0.003701,-2.278156,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517145980,2.0,-0.003962,-2.431976,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517179312,2.0,-0.004086,-2.506005,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517229310,3.0,-0.004318,-2.652301,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517262642,3.0,-0.00468,-2.881001,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517295974,4.0,-0.004925,-3.034389,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517312640,4.0,-0.005145,-3.179087,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517362638,4.0,-0.005252,-3.248177,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517379304,5.0,-0.005569,-3.445449,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517395970,5.0,-0.005675,-3.510029,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140256_517429302,5.0,-0.005776,-3.573128,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:01
20200723_140257_517462634,6.0,-0.005966,-3.696868,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517495966,6.0,-0.006153,-3.818655,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517529298,7.0,-0.006336,-3.937743,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517562630,7.0,-0.006513,-4.054944,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517595962,8.0,-0.006688,-4.170297,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517629294,8.0,-0.006866,-4.285476,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517662626,9.0,-0.007047,-4.402505,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517695958,10.0,-0.007234,-4.523631,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517729290,10.0,-0.007428,-4.651343,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517762622,11.0,-0.007634,-4.787913,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517779288,11.0,-0.007852,-4.935056,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517812620,12.0,-0.007969,-5.012825,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517845952,12.0,-0.008214,-5.177281,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517862618,13.0,-0.008463,-5.352663,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517895950,13.0,-0.008587,-5.442832,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517929282,14.0,-0.008839,-5.624659,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517962614,15.0,-0.009094,-5.804032,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_517979280,16.0,-0.009339,-5.976803,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518012612,16.0,-0.00946,-6.059565,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518045944,17.0,-0.00802,-6.216737,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518079276,18.0,-0.006321,-6.363394,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518095942,18.0,-0.004458,-6.499875,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518145940,19.0,-0.004187,-6.56445,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518162606,20.0,-0.000168,-6.687794,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518195938,20.0,0.000404,-6.684856,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518229270,21.0,-0.000559,-6.613271,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518262602,22.0,-0.002396,-6.467556,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518295934,23.0,-0.003466,-6.240333,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518312600,23.0,-0.005653,-5.966084,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518345932,24.0,-0.006601,-5.833888,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518395930,24.0,-0.007784,-5.587916,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140257_518429262,25.0,-0.006899,-5.243913,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:02
20200723_140258_518462594,26.0,-0.006167,-5.034675,-2.0,100.0,0.0, 0.0, 0.0,0,0:00:03
