Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_171146_467419766, 74.27068328857422,-0.017369,-0.959636,2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467453098, 74.38533782958984,-0.005715,-0.955939,1.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467469764, 74.49958801269531,-0.035413,-0.953662,1.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467486430, 74.55667114257812,-0.094912,-0.952826,0.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467519762, 74.6138687133789,-0.128763,-0.952449,-0.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467536428, 74.72825622558594,-0.140242,-0.952643,-1.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467586426, 74.78500366210938,-0.138384,-0.952254,-1.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467619758, 74.95541381835938,-0.248457,-0.950171,-2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467636424, 75.0687255859375,-0.228444,-0.948603,-2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467669756, 75.12529754638672,-0.170442,-0.947745,-2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467719754, 75.23846435546875,-0.12896,-0.945479,-2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467736420, 75.40901184082031,-0.088161,-0.945605,-2.0,43.0,0.0, 0.0, 0.0,0,0:00:00
20200720_171146_467769752, 75.46654510498047,-0.043595,-0.946806,-2.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467803084, 75.57933807373047,-0.009341,-0.945342,-2.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467836416, 75.69207000732422,-0.012159,-0.944655,-2.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467869748, 75.8043212890625,-0.055088,-0.943133,-3.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467903080, 75.9176025390625,-0.083813,-0.943316,-3.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467936412, 76.030029296875,-0.103117,-0.939173,-3.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467969744, 76.14125061035156,-0.126028,-0.936564,-4.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_467986410, 76.25155639648438,-0.237806,-0.932512,-6.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_468019742, 76.30677032470703,-0.274196,-0.931059,-7.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_468053074, 76.41704559326172,-0.391232,-0.927088,-8.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_468069740, 76.52709197998047,-0.502563,-0.921777,-9.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_468103072, 76.58206939697266,-0.5316,-0.920107,-10.0,43.0,0.0, 1.0, 0.0,3,0:00:00
20200720_171146_468136404, 76.69100189208984,-0.584294,-0.916284,-10.0,43.0,0.0, 0.0, 0.0,3,0:00:00
20200720_171146_468153070, 76.79936981201172,-0.508884,-0.913057,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:00
20200720_171146_468186402, 76.85337829589844,-0.461938,-0.911054,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:00
20200720_171147_468203068, 76.96319580078125,-0.32487,-0.910287,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468253066, 77.01825714111328,-0.253174,-0.910161,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468286398, 77.18354034423828,-0.105793,-0.91134,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468319730, 77.293212890625,-0.033094,-0.913308,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468336396, 77.402587890625,0.000593,-0.91538,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468369728, 77.4573974609375,0.009849,-0.915552,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468403060, 77.56684875488281,0.000507,-0.91435,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468453058, 77.67607879638672,-0.023185,-0.912622,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468486390, 77.83973693847656,-0.041758,-0.910916,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468519722, 77.94863891601562,-0.040104,-0.910127,-11.0,43.0,0.0, 0.0, 0.0,3,0:00:01
20200720_171147_468553054, 78.0573501586914,-0.031632,-0.90865,-11.0,43.0,0.0, 1.0, 0.0,3,0:00:01
