Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_134113_1356129086,14.61,-4.69,0.35,-32,-32,0,0,0,0:00:00
20200803_134113_1356195750,14.61,-3.48,0.35,-32,-32,0,0,0,0:00:00
20200803_134113_1356262414,14.61,-1.06,0.35,-32,-32,1,0,5,0:00:00
20200803_134113_1356329078,14.61,-1.17,0.24,-32,-32,1,0,5,0:00:00
20200803_134113_1356395742,14.61,-6.16,0.12,-32,-32,1,0,5,0:00:00
20200803_134113_1356445740,14.61,-6.86,0.12,-32,-32,1,0,5,0:00:00
20200803_134113_1356479072,14.61,-7.06,0.12,-32,-32,1,0,5,0:00:00
20200803_134113_1356545736,14.61,-7.84,0,-32,-32,1,0,5,0:00:00
20200803_134113_1356612400,14.61,-5.61,0,-32,-32,1,0,5,0:00:00
20200803_134113_1356679064,14.61,-0.53,0,-32,-32,0,0,5,0:00:00
20200803_134113_1356729062,14.61,-2.16,-0.12,-32,-32,0,0,5,0:00:00
20200803_134113_1356779060,14.61,-7.03,-0.36,-26.51,-32,0,0,5,0:00:00
20200803_134113_1356829058,14.61,-18.13,-0.59,-16.46,-32,0,0,5,0:00:00
20200803_134113_1356895722,14.61,-26.32,-0.71,-14.63,-32,0,0,5,0:00:00
20200803_134113_1356945720,14.61,-15.43,-0.71,-4.57,-32,0,0,5,0:00:00
20200803_134114_1357045716,14.61,-4.67,-0.83,6.35,-32,0,0,5,0:00:01
20200803_134114_1357112380,14.61,-2.58,-0.83,13.61,-32,1,0,5,0:00:01
20200803_134114_1357145712,14.61,-4.42,-0.83,17.24,-32,1,0,5,0:00:01
20200803_134114_1357229042,14.61,-4.6,-0.95,19.05,-32,1,0,5,0:00:01
20200803_134114_1357295706,14.61,-3.29,-0.95,19.05,-32,1,0,5,0:00:01
20200803_134114_1357345704,14.61,-2.88,-0.95,19.05,-32,1,0,5,0:00:01
20200803_134114_1357412368,14.61,-2.95,-0.95,19.96,-32,1,0,5,0:00:01
20200803_134114_1357462366,14.61,-3.01,-1.07,22.68,-32,0,0,5,0:00:01
20200803_134114_1357512364,14.61,-2.62,-1.07,25.4,-32,0,0,5,0:00:01
20200803_134114_1357612360,15.24,-2.6,-1.07,27.21,-32,0,0,5,0:00:01
20200803_134114_1357679024,15.24,-1.65,-1.07,30.84,-32,0,0,5,0:00:01
20200803_134114_1357745688,15.24,-1.48,-1.07,31.75,-32,0,0,5,0:00:01
20200803_134114_1357795686,15.24,-0.49,-1.07,31.75,-32,0,0,5,0:00:01
20200803_134114_1357845684,15.24,-0.37,-1.07,31.75,-32,0,0,5,0:00:01
20200803_134114_1357912348,15.88,0.29,-1.07,31.75,-32,1,0,5,0:00:01
20200803_134115_1357979012,15.88,0.47,-1.07,31.75,-32,1,0,5,0:00:02
20200803_134115_1358045676,15.88,0.19,-1.07,31.75,-32,1,0,5,0:00:02
20200803_134115_1358095674,15.88,-1.01,-1.07,31.75,-32,1,0,5,0:00:02
20200803_134115_1358162338,15.88,-0.94,-1.07,31.75,-32,1,0,5,0:00:02
20200803_134115_1358229002,16.51,-0.27,-1.07,31.75,-32,1,0,5,0:00:02
20200803_134115_1358279000,16.51,0.65,-1.07,31.75,-32,0,0,5,0:00:02
20200803_134115_1358345664,16.51,0.61,-1.07,31.75,-32,0,0,5,0:00:02
20200803_134115_1358412328,17.14,2.17,-1.07,31.75,-32,0,0,5,0:00:02
20200803_134115_1358462326,17.14,6.57,-0.83,31.75,-32,0,0,5,0:00:02
20200803_134115_1358528990,17.14,11.82,-0.71,31.75,-32,0,0,5,0:00:02
20200803_134115_1358578988,17.14,16.39,-0.47,31.75,-32,0,0,5,0:00:02
20200803_134115_1358628986,17.78,29.76,0,31.75,-32,0,0,5,0:00:02
