Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200803_134123_1365945360,17.78,0,-0.12,-32,-32,0,0,0,0:00:00
20200803_134123_1366012024,17.14,-0.01,-0.12,-32,-32,0,0,0,0:00:00
20200803_134123_1366095354,17.14,0,0,-32,-32,0,0,0,0:00:00
20200803_134123_1366195350,17.14,0,0,-32,-32,1,0,5,0:00:00
20200803_134123_1366278680,17.14,-0.02,0.12,-32,-32,1,0,5,0:00:00
20200803_134123_1366378676,17.14,0,0.12,-32,-32,1,0,5,0:00:00
20200803_134123_1366445340,17.14,0,0.12,-32,-32,1,0,5,0:00:00
20200803_134123_1366562002,17.14,-0.03,0,-32,-32,1,0,5,0:00:00
20200803_134123_1366645332,17.14,-21.67,-0.83,-32,-32,0,0,5,0:00:00
20200803_134124_1366745328,17.14,-32,-1.07,-32,-32,0,0,5,0:00:01
20200803_134124_1366828658,17.14,-15.68,-1.3,-32,-32,0,0,5,0:00:01
20200803_134124_1366911988,17.14,-12.37,-1.42,-32,-32,0,0,5,0:00:01
20200803_134124_1367028650,17.14,-10.11,-1.42,-32,-32,1,0,5,0:00:01
20200803_134124_1367145312,17.14,0.41,-1.42,-32,-32,1,0,5,0:00:01
20200803_134124_1367228642,16.51,-0.33,-1.42,-32,-32,1,0,5,0:00:01
20200803_134124_1367311972,16.51,0.18,-1.42,-32,-32,1,0,5,0:00:01
20200803_134124_1367395302,16.51,0.23,-1.42,-32,-32,0,0,5,0:00:01
20200803_134124_1367495298,16.51,0.18,-1.42,-32,-32,0,0,5,0:00:01
20200803_134124_1367595294,16.51,0.04,-1.42,-32,-32,0,0,5,0:00:01
20200803_134124_1367695290,16.51,8.7,-1.19,-32,-32,0,0,5,0:00:01
20200803_134125_1367761954,16.51,21.04,-0.83,-32,-32,0,0,5,0:00:02
20200803_134125_1367845284,16.51,26.16,-0.36,-32,-32,1,0,5,0:00:02
20200803_134125_1367961946,16.51,31.75,0.35,-32,-32,1,0,5,0:00:02
20200803_134125_1368045276,16.51,31.75,1.18,-32,-32,1,0,5,0:00:02
20200803_134125_1368145272,16.51,31.75,1.41,-32,-32,1,0,5,0:00:02
20200803_134125_1368211936,16.51,10.14,1.53,-32,-32,0,0,5,0:00:02
20200803_134125_1368295266,16.51,8.32,1.76,-32,-32,0,0,5,0:00:02
20200803_134125_1368395262,15.88,8.67,1.76,-32,-32,0,0,5,0:00:02
20200803_134125_1368495258,15.88,-0.34,1.76,-32,-32,0,0,5,0:00:02
20200803_134125_1368578588,15.88,-0.06,1.76,-32,-32,1,0,5,0:00:02
20200803_134126_1368695250,15.88,-0.06,1.76,-32,-32,1,0,5,0:00:03
20200803_134126_1368761914,15.88,-0.2,1.76,-32,-32,1,0,5,0:00:03
20200803_134126_1368845244,15.88,-1.35,1.65,-32,-32,1,0,5,0:00:03
20200803_134126_1368928574,15.88,-13.13,1.29,-32,-32,1,0,5,0:00:03
20200803_134126_1369028570,15.88,-22.28,1.18,-32,-32,0,0,5,0:00:03
20200803_134126_1369128566,15.88,-8.46,1.06,-32,-32,0,0,5,0:00:03
20200803_134126_1369228562,15.88,-9.19,0.82,-32,-32,0,0,5,0:00:03
20200803_134126_1369328558,15.88,-21.08,0.47,-32,-32,0,0,5,0:00:03
20200803_134126_1369445220,15.88,-23.83,0,-32,-32,1,0,5,0:00:03
20200803_134126_1369511884,15.88,-22.32,-0.24,-32,-32,1,0,5,0:00:03
20200803_134126_1369611880,15.24,-8.87,-0.24,-32,-32,1,0,5,0:00:03
20200803_134127_1369695210,15.24,1,-0.24,-32,-32,0,0,0,0:00:04
20200803_134127_1369795206,15.24,0.49,-0.24,-32,-32,0,0,0,0:00:04
20200803_134127_1369895202,15.24,5.29,-0.12,-32,-32,0,0,0,0:00:04
20200803_134127_1369978532,15.24,2.88,-0.12,-32,-32,0,0,0,0:00:04
20200803_134127_1370095194,15.24,-0.18,-0.12,-32,-32,0,0,0,0:00:04
20200803_134127_1370195190,15.24,0.2,-0.12,-32,-32,0,0,0,0:00:04
20200803_134127_1370278520,15.24,-0.04,-0.12,-32,-32,0,0,0,0:00:04
20200803_134127_1370378516,15.24,0,-0.12,-32,-32,0,0,0,0:00:04
