Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112134_697255442, 83.21401977539062,-0.25766,-2.112402,-8.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697288774, 83.33954620361328,-0.251541,-2.108706,-8.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697322106, 83.5902328491211,-0.265112,-2.10192,-9.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697338772, 83.84075164794922,-0.262987,-2.096072,-9.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697388770, 83.96598815917969,-0.239736,-2.093989,-10.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697422102, 84.34178924560547,-0.237524,-2.08932,-10.0,97.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697455434, 84.58944702148438,-0.229822,-2.083243,-11.0,98.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697488766, 84.82627868652344,-0.207667,-2.060148,-11.0,98.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697522098, 85.05216217041016,-0.213474,-2.019085,-12.0,98.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697538764, 85.267822265625,-0.225383,-1.960901,-12.0,98.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697572096, 85.37195587158203,-0.210573,-1.9258,-12.0,100.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112134_697588762, 85.5726089477539,-0.244878,-1.842976,-14.0,100.0,0.0, 0.0, 0.0,1,0:00:00
20200722_112135_697638760, 85.66959381103516,-0.280655,-1.800311,-14.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697655426, 85.9466781616211,-0.401759,-1.677007,-16.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697688758, 86.03477478027344,-0.437113,-1.637741,-17.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697722090, 86.2052230834961,-0.478515,-1.56239,-17.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697738756, 86.36703491210938,-0.48702,-1.489328,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697772088, 86.4449234008789,-0.465746,-1.453907,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697805420, 86.59486389160156,-0.399611,-1.384301,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697838752, 86.7394027709961,-0.284321,-1.321242,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697855418, 86.87796020507812,-0.15737,-1.261604,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697888750, 86.94483184814453,-0.11735,-1.232718,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697905416, 87.07360076904297,-0.051974,-1.177658,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697938748, 87.13558197021484,-0.029191,-1.15113,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_697972080, 87.2552719116211,-0.008069,-1.100717,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_698005412, 87.36935424804688,-0.001979,-1.04996,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_698038744, 87.4781723022461,-0.003421,-1.000394,-18.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_698055410, 87.58234405517578,0.0285,-0.95386,-17.0,100.0,0.0, 0.0, 0.0,1,0:00:01
20200722_112135_698072076, 87.63243103027344,0.044468,-0.931406,-17.0,100.0,0.0, 0.0, 0.0,1,0:00:01
