Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_120552_1911156884,69.15982056,-3.40E-05,0.216042,-1,0,0,0,0,0,0:00:04
20200722_120552_1911173550,69.13380432,-0.064303,0.216271,-2,0,0,0,0,0,0:00:04
20200722_120552_1911206882,69.12069702,-0.124142,0.21658,-2,0,0,0,0,0,0:00:04
20200722_120552_1911223548,69.09394073,-0.272397,0.217988,-4,0,0,0,0,0,0:00:04
20200722_120552_1911256880,69.08047485,-0.351222,0.218835,-6,0,0,0,0,0,0:00:04
20200722_120552_1911290212,69.05342865,-0.503681,0.220723,-6,0,0,0,0,0,0:00:04
20200722_120552_1911323544,69.02757263,-0.541913,0.220437,-7,0,0,0,0,0,0:00:04
20200722_120552_1911356876,69.00251007,-0.469063,0.218846,-7,0,0,0,0,0,0:00:04
20200722_120552_1911373542,68.97733307,-0.335927,0.216878,-7,0,0,0,0,0,0:00:04
20200722_120552_1911406874,68.96442413,-0.228772,0.215882,-7,0,0,0,0,0,0:00:04
20200722_120552_1911440206,68.93861389,-0.043025,0.213685,-7,0,0,0,0,0,0:00:04
20200722_120552_1911490204,68.91285706,0.032134,0.212552,-7,0,0,0,0,0,0:00:04
20200722_120552_1911506870,68.87419128,0.022826,0.213891,-7,0,0,0,0,0,0:00:04
20200722_120552_1911540202,68.86123657,0.010971,0.21468,-7,0,0,0,0,0,0:00:04
20200722_120552_1911573534,68.83533478,-0.006147,0.215184,-7,0,0,0,0,0,0:00:04
20200722_120552_1911606866,68.80944824,-0.013618,0.215298,-7,0,0,0,0,0,0:00:04
20200722_120552_1911640198,68.78350067,-0.009074,0.215619,-7,0,0,0,0,0,0:00:04
20200722_120552_1911673530,68.75759125,0.001128,0.215962,-7,0,0,0,0,0,0:00:04
20200722_120552_1911690196,68.73165894,0.006223,0.215985,-7,0,0,0,0,0,0:00:04
20200722_120552_1911723528,68.71869659,0.004962,0.216008,-7,0,0,0,0,0,0:00:04
20200722_120552_1911756860,68.69280243,0.000991,0.216019,-7,0,0,0,0,0,0:00:04
20200722_120552_1911790192,68.66694641,-0.000221,0.215893,-7,0,0,0,0,0,0:00:04
20200722_120552_1911806858,68.64109039,-0.000734,0.21579,-7,0,0,0,0,0,0:00:04
20200722_120552_1911840190,68.62818146,-0.000229,0.215699,-7,0,0,0,0,0,0:00:04
20200722_120552_1911873522,68.60219574,-0.012578,0.215802,-7,0,0,0,0,0,0:00:04
20200722_120552_1911890188,68.57614136,-0.042329,0.216008,-7,0,0,0,0,0,0:00:04
20200722_120553_1911923520,68.56307983,-0.056828,0.216237,-8,0,0,0,0,1,0:00:05
20200722_120553_1911956852,68.53676605,-0.109208,0.216992,-8,0,0,0,0,1,0:00:05
20200722_120553_1911973518,68.51064301,-0.142389,0.217438,-9,0,0,0,0,1,0:00:05
20200722_120553_1912023516,68.49765778,-0.158085,0.217564,-9,0,0,0,0,1,0:00:05
20200722_120553_1912040182,68.4591217,-0.146537,0.216843,-9,0,0,0,0,1,0:00:05
20200722_120553_1912090180,68.44637299,-0.124218,0.216305,-9,0,0,0,0,1,0:00:05
20200722_120553_1912106846,68.40788269,-0.058133,0.214829,-9,0,0,0,0,1,0:00:05
20200722_120553_1912140178,68.39505768,-0.045075,0.214451,-9,0,0,0,0,1,0:00:05
20200722_120553_1912173510,68.36936188,-0.010723,0.213856,-9,0,0,0,0,1,0:00:05
20200722_120553_1912223508,68.34368134,-0.005964,0.213708,-9,0,0,0,0,1,0:00:05
20200722_120553_1912240174,68.30518341,-0.01746,0.214039,-9,0,0,0,0,1,0:00:05
20200722_120553_1912273506,68.29233551,-0.018907,0.214039,-9,0,0,0,0,1,0:00:05
20200722_120553_1912290172,68.26668549,-0.021045,0.213982,-9,0,0,0,0,1,0:00:05
20200722_120553_1912340170,68.25386047,-0.019074,0.213936,-9,0,0,0,0,1,0:00:05
20200722_120553_1912356836,68.21546936,-0.016125,0.213708,-9,0,0,0,0,1,0:00:05
20200722_120553_1912406834,68.20263672,-0.018913,0.213696,-10,0,0,0,0,1,0:00:05
20200722_120553_1912423500,68.16420746,-0.025566,0.21357,-10,0,0,0,0,1,0:00:05
20200722_120553_1912456832,68.15143585,-0.027197,0.213479,-10,0,0,0,0,1,0:00:05
20200722_120553_1912490164,68.12586212,-0.036523,0.213353,-10,0,0,0,0,1,0:00:05
20200722_120553_1912523496,68.10030365,-0.040808,0.213318,-10,0,0,0,0,1,0:00:05
20200722_120553_1912556828,68.07475281,-0.042336,0.213158,-10,0,0,0,0,1,0:00:05
20200722_120553_1912573494,68.04919434,-0.044958,0.213101,-10,0,0,0,0,1,0:00:05
20200722_120553_1912606826,68.03642273,-0.045719,0.213009,-10,0,0,0,0,1,0:00:05
20200722_120553_1912640158,68.01089478,-0.047824,0.212964,-10,0,0,0,0,1,0:00:05
20200722_120553_1912673490,67.98538208,-0.045916,0.212838,-11,0,0,0,0,1,0:00:05
20200722_120553_1912723488,67.95986176,-0.056121,0.212838,-11,0,0,0,0,1,0:00:05
20200722_120553_1912740154,67.92147827,-0.066107,0.212872,-11,0,0,0,0,1,0:00:05
20200722_120553_1912773486,67.908638,-0.075846,0.212987,-12,0,0,0,0,1,0:00:05
20200722_120553_1912806818,67.88259888,-0.122964,0.213856,-12,0,0,0,0,1,0:00:05
20200722_120553_1912840150,67.85674286,-0.151287,0.214417,-12,0,0,0,0,1,0:00:05
20200722_120553_1912856816,67.83146667,-0.145973,0.214005,-13,0,0,0,0,1,0:00:05
20200722_120554_1912906814,67.8189621,-0.137654,0.213559,-13,0,0,0,0,1,0:00:06
20200722_120554_1912940146,67.78120422,-0.112796,0.212414,-13,0,0,0,0,1,0:00:06
20200722_120554_1912956812,67.75587463,-0.061352,0.211224,-13,0,0,0,0,1,0:00:06
20200722_120554_1912990144,67.74324036,-0.037624,0.210618,-13,0,0,0,0,1,0:00:06
20200722_120554_1913023476,67.71791077,-0.029192,0.210263,-13,0,0,0,0,1,0:00:06
20200722_120554_1913056808,67.69259644,-0.038298,0.210629,-13,0,0,0,0,1,0:00:06
20200722_120554_1913090140,67.6672821,-0.034866,0.210869,-13,0,0,0,0,1,0:00:06
20200722_120554_1913123472,67.64199066,-0.04536,0.210972,-13,0,0,0,0,1,0:00:06
20200722_120554_1913156804,67.61669922,-0.048621,0.210927,-14,0,0,0,0,1,0:00:06
20200722_120554_1913190136,67.5914917,-0.042427,0.210721,-14,0,0,0,0,1,0:00:06
20200722_120554_1913223468,67.56620789,-0.043501,0.210675,-14,0,0,0,0,1,0:00:06
20200722_120554_1913240134,67.54076385,-0.060274,0.210892,-14,0,0,0,0,1,0:00:06
20200722_120554_1913290132,67.52792358,-0.07443,0.211224,-15,0,0,0,0,1,0:00:06
20200722_120554_1913306798,67.48918152,-0.13283,0.212552,-16,0,0,0,0,1,0:00:06
20200722_120554_1913356796,67.47635651,-0.147539,0.212861,-16,0,0,0,0,1,0:00:06
20200722_120554_1913373462,67.43914795,-0.129543,0.211785,-16,0,0,0,0,1,0:00:06
20200722_120554_1913406794,67.42682648,-0.120923,0.211236,-16,0,0,0,0,1,0:00:06
20200722_120554_1913440126,67.40203094,-0.081307,0.209839,-16,0,0,0,0,1,0:00:06
20200722_120554_1913473458,67.37697601,-0.033984,0.208603,-16,0,0,0,0,1,0:00:06
20200722_120554_1913506790,67.35181427,0.000108,0.207596,-16,0,0,0,0,1,0:00:06
20200722_120554_1913523456,67.32631683,-0.036493,0.208558,-17,0,0,0,0,1,0:00:06
20200722_120554_1913556788,67.31344604,-0.066483,0.20953,-17,0,0,0,0,1,0:00:06
20200722_120554_1913590120,67.28749084,-0.126526,0.21167,-18,0,0,0,0,1,0:00:06
20200722_120554_1913606786,67.26181793,-0.171885,0.212895,-18,0,0,0,0,1,0:00:06
20200722_120554_1913640118,67.24933624,-0.174005,0.212758,-18,0,0,0,0,1,0:00:06
20200722_120554_1913673450,67.2248764,-0.155225,0.211579,-18,0,0,0,0,1,0:00:06
20200722_120554_1913690116,67.20037079,-0.115954,0.209931,-18,0,0,0,0,1,0:00:06
20200722_120554_1913723448,67.18801117,-0.088018,0.209073,-18,0,0,0,0,1,0:00:06
20200722_120554_1913756780,67.16318512,-0.025812,0.207196,-18,0,0,0,0,1,0:00:06
20200722_120554_1913790112,67.13835144,0.016717,0.205799,-18,0,0,0,0,1,0:00:06
20200722_120554_1913823444,67.11356354,0.012688,0.205902,-18,0,0,0,0,1,0:00:06
20200722_120554_1913840110,67.08869171,0.003347,0.206589,-18,0,0,0,0,1,0:00:06
20200722_120555_1913890108,67.07624817,0.001086,0.206898,-18,0,0,0,0,1,0:00:07
20200722_120555_1913923440,67.03878784,-0.019221,0.207356,-18,0,0,0,0,1,0:00:07
20200722_120555_1913940106,67.01377869,-0.030133,0.207642,-18,0,0,0,0,1,0:00:07
20200722_120555_1913973438,67.00219727,-0.038693,0.206292,-18,0,0,0,0,1,0:00:07
20200722_120555_1914006770,66.97665405,-0.076355,0.207505,-19,0,0,0,0,1,0:00:07
20200722_120555_1914023436,66.95059967,-0.134801,0.209439,-20,0,0,0,0,1,0:00:07
20200722_120555_1914073434,66.93756866,-0.163558,0.210423,-20,0,0,0,0,1,0:00:07
20200722_120555_1914090100,66.90048218,-0.160092,0.209691,-20,0,0,0,0,1,0:00:07
20200722_120555_1914123432,66.88844299,-0.151336,0.208912,-20,0,0,0,0,1,0:00:07
20200722_120555_1914156764,66.86421204,-0.131892,0.20905,-20,0,0,0,0,1,0:00:07
20200722_120555_1914190096,66.83965302,-0.063596,0.206623,-20,0,0,0,0,1,0:00:07
20200722_120555_1914223428,66.81501007,0.002818,0.204289,-20,0,0,0,0,1,0:00:07
20200722_120555_1914240094,66.79036713,0.019422,0.203682,-20,0,0,0,0,1,0:00:07
20200722_120555_1914273426,66.77806854,0.011569,0.204048,-20,0,0,0,0,1,0:00:07
20200722_120555_1914290092,66.75338745,0.003351,0.204941,-20,0,0,0,0,1,0:00:07
20200722_120555_1914323424,66.7410965,0.003695,0.205216,-20,0,0,0,0,1,0:00:07
20200722_120555_1914356756,66.71651459,0.001645,0.20525,-20,0,0,0,0,1,0:00:07
20200722_120555_1914390088,66.69186401,-0.002359,0.205262,-20,0,0,0,0,1,0:00:07
20200722_120555_1914423420,66.6672287,-0.000418,0.20525,-20,0,0,0,0,1,0:00:07
20200722_120555_1914456752,66.64259338,0.003371,0.205273,-20,0,0,0,0,1,0:00:07
20200722_120555_1914490084,66.61798859,0.005507,0.205204,-20,0,0,0,0,1,0:00:07
20200722_120555_1914506750,66.59339142,0.003274,0.205227,-20,0,0,0,0,1,0:00:07
20200722_120555_1914540082,66.58110046,0.002659,0.205193,-20,0,0,0,0,1,0:00:07
20200722_120555_1914556748,66.5565033,0.001592,0.205021,-20,0,0,0,0,1,0:00:07
20200722_120555_1914606746,66.54420471,0.001049,0.205067,-20,0,0,0,0,1,0:00:07
20200722_120555_1914623412,66.50735474,0.003454,0.204872,-20,0,0,0,0,1,0:00:07
20200722_120555_1914656744,66.49504852,0.002787,0.204918,-20,0,0,0,0,1,0:00:07
20200722_120555_1914690076,66.47039032,-0.001425,0.205021,-20,0,0,0,0,1,0:00:07
20200722_120555_1914723408,66.44528198,-0.030282,0.205914,-21,0,0,0,0,1,0:00:07
20200722_120555_1914756740,66.41937256,-0.089953,0.208077,-22,0,0,0,0,1,0:00:07
20200722_120555_1914790072,66.39334869,-0.153934,0.210503,-23,0,0,0,0,1,0:00:07
20200722_120555_1914823404,66.36823273,-0.18489,0.211384,-23,0,0,0,0,1,0:00:07
20200722_120556_1914840070,66.34441376,-0.171957,0.209988,-23,0,0,0,0,1,0:00:08
20200722_120556_1914890068,66.33253479,-0.163349,0.209073,-23,0,0,0,0,1,0:00:08
20200722_120556_1914906734,66.29640198,-0.080875,0.204964,-23,0,0,0,0,1,0:00:08
20200722_120556_1914940066,66.28416443,-0.049376,0.203774,-23,0,0,0,0,1,0:00:08
20200722_120556_1914973398,66.25981903,0.015816,0.201279,-23,0,0,0,0,1,0:00:08
20200722_120556_1915006730,66.2354126,0.015623,0.201439,-23,0,0,0,0,1,0:00:08
20200722_120556_1915023396,66.2110672,0.004583,0.202469,-23,0,0,0,0,1,0:00:08
20200722_120556_1915056728,66.1988678,0.003447,0.202915,-23,0,0,0,0,1,0:00:08
20200722_120556_1915073394,66.17455292,0.002555,0.20311,-23,0,0,0,0,1,0:00:08
20200722_120556_1915123392,66.16236115,0.001301,0.203018,-23,0,0,0,0,1,0:00:08
20200722_120556_1915140058,66.12580109,-0.002375,0.203041,-23,0,0,0,0,1,0:00:08
20200722_120556_1915190056,66.11360168,-0.000458,0.203041,-23,0,0,0,0,1,0:00:08
20200722_120556_1915206722,66.07707977,0.006856,0.202996,-23,0,0,0,0,1,0:00:08
20200722_120556_1915240054,66.06494141,0.006453,0.202984,-23,0,0,0,0,1,0:00:08
