Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_142946_409866938,61.25217056,-0.362469,0.158381,-4,0,0,0,0,3,0:00:09
20200720_142946_409883604,61.24204254,-0.438934,0.159869,-7,0,0,0,0,3,0:00:09
20200720_142946_409933602,61.23119354,-0.578079,0.162478,-8,0,0,0,0,3,0:00:09
20200720_142946_409950268,61.19858551,-0.864606,0.17002,-12,0,0,0,0,3,0:00:09
20200720_142946_409983600,61.18829727,-0.860928,0.171245,-13,0,0,0,0,3,0:00:09
20200720_142946_410016932,61.1679039,-0.940852,0.173374,-14,0,0,0,0,3,0:00:09
20200720_142946_410050264,61.1483078,-0.820544,0.17311,-15,0,0,0,0,3,0:00:09
20200720_142946_410066930,61.12853241,-0.622665,0.171108,-16,0,0,0,0,3,0:00:09
20200720_142947_410100262,61.1183548,-0.519067,0.170112,-16,0,0,0,0,3,0:00:10
20200720_142947_410116928,61.09762573,-0.334055,0.168269,-18,0,0,0,0,3,0:00:10
20200720_142947_410150260,61.08646011,-0.338475,0.169734,-19,0,0,0,0,3,0:00:10
20200720_142947_410166926,61.0632515,-0.373356,0.174426,-22,0,0,0,0,3,0:00:10
20200720_142947_410216924,61.05076218,-0.445914,0.178901,-25,0,0,0,0,3,0:00:10
20200720_142947_410233590,61.00904846,-0.793513,0.199147,-30,0,0,0,0,3,0:00:10
20200720_142947_410283588,60.99506378,-0.908572,0.205498,-33,0,0,0,0,3,0:00:10
20200720_142947_410300254,60.95251083,-1.185184,0.22326,-38,0,0,0,0,3,0:00:10
20200720_142947_410333586,60.93934631,-1.227015,0.226728,-41,0,0,0,0,3,0:00:10
20200720_142947_410383584,60.91096878,-1.23558,0.233,-46,0,0,0,0,3,0:00:10
20200720_142947_410400250,60.86741638,-1.100266,0.236067,-53,0,0,0,0,3,0:00:10
20200720_142947_410433582,60.8519783,-1.059842,0.238482,-57,0,0,0,0,3,0:00:10
20200720_142947_410450248,60.81739807,-0.999663,0.248164,-61,0,0,0,0,3,0:00:10
20200720_142947_410500246,60.80028152,-0.968106,0.253726,-63,0,0,0,0,3,0:00:10
20200720_142947_410516912,60.74117661,-0.923399,0.283001,-73,0,0,0,0,3,0:00:10
20200720_142947_410550244,60.72078705,-0.901366,0.293164,-75,0,0,0,0,3,0:00:10
20200720_142947_410583576,60.67742157,-0.865348,0.316671,-81,0,0,0,0,3,0:00:10
20200720_142947_410616908,60.63249207,-0.784776,0.3375,-84,0,0,0,0,3,0:00:10
20200720_142947_410650240,60.5860405,-0.665673,0.357082,-89,0,0,0,0,3,0:00:10
20200720_142947_410666906,60.53811264,-0.497992,0.372394,-93,1,0,0,0,3,0:00:10
20200720_142947_410716904,60.51293564,-0.409412,0.380417,-96,1,0,0,0,3,0:00:10
20200720_142947_410766902,60.43406677,-0.12608,0.405606,-99,2,0,0,0,3,0:00:10
20200720_142947_410783568,60.34992981,0.151691,0.433142,-105,5,0,0,0,3,0:00:10
20200720_142947_410833566,60.32059097,0.235787,0.442435,-106,6,0,0,0,3,0:00:10
20200720_142947_410850232,60.22838974,0.442357,0.474262,-111,10,0,0,0,3,0:00:10
20200720_142947_410883564,60.19620514,0.507343,0.484379,-111,11,0,0,0,3,0:00:10
