Timestamp,Velocity,accel_X,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200805_145433_3988873772,13.97,0.29,0.59,-32,-32, 0.0, 0.0,0,0:00:00
20200805_145433_3988940436,13.97,1.28,0.71,-32,-32, 0.0, 0.0,0,0:00:00
20200805_145433_3988973768,13.97,3.29,0.71,-32,-32, 0.0, 0.0,0,0:00:00
20200805_145434_3989023766,13.97,5.3,0.71,-32,-32, 0.0, 0.0,0,0:00:01
20200805_145434_3989073764,13.97,-1.91,0.47,-32,-32, 0.0, 0.0,0,0:00:01
20200805_145434_3989140428,13.97,-19.28,0.12,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989223758,13.97,-32,-0.71,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989290422,13.97,-32,-2.49,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989357086,13.97,-32,-3.67,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989407084,13.97,-32,-4.27,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989457082,13.97,-32,-5.45,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145434_3989523746,13.97,-32,-7.23,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989573744,13.97,-32,-8.77,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989607076,13.33,-32,-9.72,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989673740,13.33,-26.07,-11.5,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989757070,13.33,-1.84,-12.56,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989823734,13.33,31.75,-13.99,-32,-32, 0.0, 0.0,3,0:00:01
20200805_145434_3989873732,13.33,31.75,-14.93,-32,-32, 1.0, 0.0,3,0:00:01
20200805_145435_3989940396,13.33,31.75,-16.24,-32,-32, 1.0, 0.0,3,0:00:02
20200805_145435_3989990394,12.7,31.75,-17.42,-32,-32, 1.0, 0.0,3,0:00:02
20200805_145435_3990057058,12.7,31.75,-17.9,-32,-32, 1.0, 0.0,3,0:00:02
20200805_145435_3990107056,12.7,31.75,-18.25,-32,-32, 1.0, 0.0,3,0:00:02
