Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200724_142128_74813674,24,-0.03461,-1.432602,7,35,0,0,0,0,0:00:03
20200724_142128_74847006,25,-0.03019,-1.369559,7,35,0,0,0,0,0:00:03
20200724_142128_74880338,25,-0.026461,-1.307893,7,35,0,0,0,0,0:00:03
20200724_142128_74930336,25,-0.024388,-1.24894,7,35,0,0,0,0,0:00:03
20200724_142129_74963668,25,-0.012741,-1.163518,7,35,0,0,0,0,0:00:04
20200724_142129_74997000,25,-0.009479,-1.110029,7,35,0,0,0,0,0:00:04
20200724_142129_75030332,25,-0.008985,-1.058611,7,34,0,0,0,0,0:00:04
20200724_142129_75046998,25,-0.007533,-1.010252,6,33,0,0,0,0,0:00:04
20200724_142129_75096996,26,-0.008886,-0.986682,6,33,0,0,0,0,0:00:04
20200724_142129_75113662,26,-0.024354,-0.920169,6,33,0,0,0,0,0:00:04
20200724_142129_75146994,26,-0.030483,-0.898542,5,33,0,0,0,0,0:00:04
20200724_142129_75163660,26,-0.041513,-0.861636,5,33,0,0,0,0,0:00:04
20200724_142129_75213658,26,-0.049521,-0.85016,4,33,0,0,0,0,0:00:04
20200724_142129_75230324,26,-0.074239,-0.844941,4,34,0,0,0,0,0:00:04
20200724_142129_75280322,26,-0.077027,-0.851985,3,34,0,0,0,0,0:00:04
20200724_142129_75330320,26,-0.074034,-0.900181,3,34,0,0,0,0,0:00:04
20200724_142129_75346986,26,-0.080243,-0.973426,2,34,0,0,0,0,0:00:04
20200724_142129_75396984,27,-0.078639,-0.996725,1,34,0,0,0,0,0:00:04
20200724_142129_75430316,27,-0.094068,-1.064153,0,34,0,0,0,0,0:00:04
20200724_142129_75463648,27,-0.099349,-1.106589,0,34,0,0,0,0,0:00:04
20200724_142129_75480314,27,-0.09309,-1.146874,-1,34,0,0,0,0,0:00:04
20200724_142129_75513646,27,-0.095764,-1.166198,-1,34,0,0,0,0,0:00:04
20200724_142129_75546978,27,-0.089953,-1.203161,-2,34,0,0,0,0,0:00:04
20200724_142129_75580310,27,-0.092649,-1.239014,-2,34,0,0,0,0,0:00:04
20200724_142129_75596976,28,-0.070983,-1.273045,-3,34,0,0,0,0,0:00:04
20200724_142129_75630308,28,-0.078914,-1.289436,-3,34,0,0,0,0,0:00:04
20200724_142129_75663640,28,-0.091343,-1.322342,-4,34,0,0,0,0,0:00:04
20200724_142129_75696972,28,-0.09114,-1.352293,-5,34,0,0,0,0,0:00:04
20200724_142129_75730304,28,-0.102647,-1.380658,-6,34,0,0,0,0,0:00:04
20200724_142129_75763636,28,-0.131579,-1.404022,-7,34,0,0,0,0,0:00:04
20200724_142129_75796968,28,-0.167166,-1.429981,-9,34,0,0,0,0,0:00:04
20200724_142129_75830300,29,-0.182775,-1.453128,-10,34,0,0,0,0,0:00:04
20200724_142129_75863632,29,-0.203565,-1.475671,-11,34,0,0,0,0,0:00:04
20200724_142129_75880298,29,-0.213293,-1.497547,-12,34,0,0,0,0,0:00:04
20200724_142129_75930296,29,-0.208171,-1.510702,-13,34,0,0,0,0,0:00:04
20200724_142130_75963628,29,-0.16513,-1.539769,-13,34,0,0,0,0,0:00:05
20200724_142130_75980294,30,-0.140963,-1.558106,-13,34,0,0,0,0,0:00:05
20200724_142130_76013626,30,-0.120104,-1.566537,-13,34,0,0,0,0,0:00:05
20200724_142130_76046958,30,-0.076459,-1.584045,-13,34,0,0,0,0,0:00:05
20200724_142130_76063624,30,-0.048292,-1.599609,-13,34,0,0,0,0,0:00:05
20200724_142130_76096956,30,-0.027688,-1.607037,-13,34,0,0,0,0,0:00:05
20200724_142130_76146954,30,-0.000222,-1.621114,-13,34,0,0,0,0,0:00:05
20200724_142130_76163620,31,0.040998,-1.641147,-12,34,0,0,0,0,0:00:05
20200724_142130_76196952,31,0.048196,-1.646412,-11,34,0,0,0,0,0:00:05
20200724_142130_76246950,31,0.090768,-1.65737,-10,34,0,0,0,0,0:00:05
20200724_142130_76263616,31,0.167381,-1.673512,-8,34,0,0,0,0,0:00:05
20200724_142130_76296948,31,0.175695,-1.677467,-8,34,0,0,0,0,0:00:05
20200724_142130_76330280,32,0.193828,-1.684144,-6,34,0,0,0,0,0:00:05
20200724_142130_76346946,32,0.203819,-1.690714,-6,34,0,0,0,0,0:00:05
20200724_142130_76396944,32,0.195722,-1.694033,-5,34,0,0,0,0,0:00:05
20200724_142130_76413610,32,0.112866,-1.700928,-5,34,0,0,0,0,0:00:05
20200724_142130_76446942,32,0.091371,-1.703091,-5,34,0,0,0,0,0:00:05
20200724_142130_76480274,33,0.05732,-1.708647,-5,34,0,0,0,0,0:00:05
20200724_142130_76513606,33,0.000789,-1.711811,-6,34,0,0,0,0,0:00:05
20200724_142130_76563604,33,-0.032798,-1.7017,-6,34,0,0,0,0,0:00:05
20200724_142130_76580270,33,-0.061018,-1.655281,-6,34,0,0,0,0,0:00:05
20200724_142130_76613602,33,-0.059936,-1.632993,-6,34,0,0,0,0,0:00:05
20200724_142130_76630268,33,-0.048771,-1.575427,-6,34,0,0,0,0,0:00:05
20200724_142130_76663600,34,-0.042252,-1.542655,-6,34,0,0,0,0,0:00:05
20200724_142130_76696932,34,-0.01342,-1.47167,-5,34,0,0,0,0,0:00:05
20200724_142130_76730264,34,0.04101,-1.405143,-5,34,0,0,0,0,0:00:05
20200724_142130_76763596,34,0.083335,-1.341517,-4,34,0,0,0,0,0:00:05
20200724_142130_76780262,34,0.104621,-1.281347,-3,34,0,0,0,0,0:00:05
20200724_142130_76813594,34,0.113204,-1.252518,-3,34,0,0,0,0,0:00:05
20200724_142130_76846926,34,0.145625,-1.195736,-2,34,0,0,0,0,0:00:05
20200724_142130_76863592,34,0.139375,-1.141627,-2,34,0,0,0,0,0:00:05
20200724_142130_76896924,35,0.132102,-1.114938,-1,34,0,0,0,0,0:00:05
20200724_142131_76930256,35,0.120449,-1.064925,-1,34,0,0,0,0,0:00:06
20200724_142131_76963588,35,0.106013,-1.01517,-1,34,0,0,0,0,0:00:06
20200724_142131_76980254,35,0.106438,-0.968299,-1,34,0,0,0,0,0:00:06
20200724_142131_77013586,35,0.092892,-0.94533,-1,34,0,0,0,0,0:00:06
20200724_142131_77046918,35,0.06066,-0.900959,-1,34,0,0,0,0,0:00:06
20200724_142131_77080250,35,0.034447,-0.858019,-1,34,0,0,0,0,0:00:06
20200724_142131_77130248,35,0.022547,-0.817706,-1,34,0,0,0,0,0:00:06
20200724_142131_77146914,35,-0.008741,-0.759482,-1,34,0,0,0,0,0:00:06
20200724_142131_77196912,35,-0.010613,-0.740947,-1,34,0,0,0,0,0:00:06
20200724_142131_77230244,35,5.20E-05,-0.687696,-1,34,0,0,0,0,0:00:06
20200724_142131_77246910,36,0.001897,-0.653402,-1,34,0,0,0,0,0:00:06
20200724_142131_77280242,36,0.001362,-0.63667,-1,34,0,0,0,0,0:00:06
20200724_142131_77313574,36,4.80E-05,-0.604139,-1,34,0,0,0,0,0:00:06
20200724_142131_77330240,36,-0.000237,-0.573159,-1,34,0,0,0,0,0:00:06
20200724_142131_77363572,36,-0.000188,-0.557531,-1,34,0,0,0,0,0:00:06
20200724_142131_77396904,36,-0.000127,-0.527964,-1,34,0,0,0,0,0:00:06
20200724_142131_77446902,36,-0.000187,-0.499736,0,34,0,0,0,0,0:00:06
20200724_142131_77463568,36,6.80E-05,-0.460384,0,34,0,0,0,0,0:00:06
20200724_142131_77496900,36,0.000126,-0.447898,0,34,0,0,0,0,0:00:06
20200724_142131_77530232,36,0.00011,-0.424402,0,34,0,0,0,0,0:00:06
20200724_142131_77546898,36,-0.000175,-0.405193,0,34,0,0,0,0,0:00:06
20200724_142131_77580230,36,-0.000193,-0.400449,0,34,0,0,0,0,0:00:06
20200724_142131_77613562,36,0.000254,-0.400546,0,34,0,0,0,0,0:00:06
20200724_142131_77630228,36,-1.10E-05,-0.412615,1,34,0,0,0,0,0:00:06
20200724_142131_77646894,36,-0.00011,-0.422869,1,34,0,0,0,0,0:00:06
20200724_142131_77696892,36,0.02184,-0.435927,1,34,0,0,0,0,0:00:06
20200724_142131_77730224,36,0.077647,-0.488406,2,34,0,0,0,0,0:00:06
20200724_142131_77746890,36,0.078282,-0.523215,2,34,0,0,0,0,0:00:06
20200724_142131_77780222,36,0.075424,-0.539929,2,34,0,0,0,0,0:00:06
20200724_142131_77813554,37,0.073382,-0.572569,2,34,0,0,0,0,0:00:06
20200724_142131_77830220,37,0.050048,-0.603876,2,34,0,0,0,0,0:00:06
20200724_142131_77846886,37,0.02227,-0.618966,2,34,0,0,0,0,0:00:06
20200724_142132_77880218,37,0.003102,-0.633569,2,34,0,0,0,0,0:00:07
20200724_142132_77896884,37,-0.006699,-0.662169,2,34,0,0,0,0,0:00:07
20200724_142132_77946882,37,-0.007497,-0.675959,2,34,0,0,0,0,0:00:07
20200724_142132_77980214,37,-0.020227,-0.715615,1,34,0,0,0,0,0:00:07
20200724_142132_78030212,37,-0.027106,-0.740638,1,34,0,0,0,0,0:00:07
20200724_142132_78080210,37,-0.033677,-0.775716,1,34,0,0,0,0,0:00:07
20200724_142132_78096876,37,-0.024057,-0.808516,1,34,0,0,0,0,0:00:07
20200724_142132_78146874,37,-0.017397,-0.81901,1,34,0,0,0,0,0:00:07
20200724_142132_78163540,38,-0.00324,-0.849041,1,34,0,0,0,0,0:00:07
20200724_142132_78196872,38,-0.000434,-0.85866,1,34,0,0,0,0,0:00:07
20200724_142132_78230204,38,0.002991,-0.877469,1,34,0,0,0,0,0:00:07
20200724_142132_78263536,38,0.001683,-0.895357,1,34,0,0,0,0,0:00:07
20200724_142132_78280202,38,8.70E-05,-0.91257,1,34,0,0,0,0,0:00:07
20200724_142132_78313534,38,-0.000141,-0.920798,1,34,0,0,0,0,0:00:07
20200724_142132_78346866,38,0.000172,-0.936872,1,34,0,0,0,0,0:00:07
20200724_142132_78380198,38,0.000633,-0.952219,1,34,0,0,0,0,0:00:07
20200724_142132_78396864,38,0.000877,-0.96704,1,34,0,0,0,0,0:00:07
20200724_142132_78446862,38,0.000936,-0.97413,1,34,0,0,0,0,0:00:07
20200724_142132_78480194,39,0.000724,-0.994232,1,34,0,0,0,0,0:00:07
20200724_142132_78513526,39,0.000582,-1.006993,1,34,0,0,0,0,0:00:07
20200724_142132_78546858,39,0.000534,-1.019141,1,34,0,0,0,0,0:00:07
20200724_142132_78580190,39,0.000537,-1.030855,1,34,0,0,0,0,0:00:07
20200724_142132_78613522,39,0.000588,-1.041836,1,34,0,0,0,0,0:00:07
20200724_142132_78630188,39,0.000633,-1.052451,1,34,0,0,0,0,0:00:07
20200724_142132_78663520,39,0.000688,-1.057366,1,34,0,0,0,0,0:00:07
20200724_142132_78680186,39,0.000741,-1.067157,1,34,0,0,0,0,0:00:07
20200724_142132_78730184,39,0.000735,-1.071786,1,34,0,0,0,0,0:00:07
20200724_142132_78746850,40,0.000642,-1.085188,1,34,0,0,0,0,0:00:07
20200724_142132_78780182,40,0.000651,-1.089457,1,34,0,0,0,0,0:00:07
20200724_142132_78813514,40,0.00069,-1.097514,1,34,0,0,0,0,0:00:07
20200724_142132_78830180,40,0.000674,-1.105307,1,34,0,0,0,0,0:00:07
20200724_142133_78863512,40,0.000682,-1.108953,1,34,0,0,0,0,0:00:08
20200724_142133_78880178,40,0.000739,-1.116214,1,34,0,0,0,0,0:00:08
20200724_142133_78930176,40,0.000747,-1.119327,1,34,0,0,0,0,0:00:08
20200724_142133_78946842,40,0.000679,-1.12953,1,35,0,0,0,0,0:00:08
20200724_142133_78980174,41,0.000749,-1.132694,1,35,0,0,0,0,0:00:08
20200724_142133_78996840,41,-0.000962,-1.139023,1,35,0,0,0,0,0:00:08
20200724_142133_79046838,41,-0.00203,-1.141993,1,35,0,0,0,0,0:00:08
20200724_142133_79063504,41,-0.007763,-1.150559,1,35,0,0,0,0,0:00:08
20200724_142133_79113502,41,-0.010835,-1.153352,1,35,0,0,0,0,0:00:08
20200724_142133_79146834,41,-0.051484,-1.161271,0,35,0,0,0,0,0:00:08
20200724_142133_79163500,41,-0.052263,-1.166267,0,35,0,0,0,0,0:00:08
20200724_142133_79196832,41,-0.047351,-1.168538,-1,35,0,0,0,0,0:00:08
20200724_142133_79230164,42,-0.065755,-1.1739,-1,35,0,0,0,0,0:00:08
20200724_142133_79263496,42,-0.100967,-1.17766,-1,35,0,0,0,0,0:00:08
20200724_142133_79296828,42,-0.079097,-1.181717,-1,35,0,0,0,0,0:00:08
20200724_142133_79346826,42,-0.052189,-1.184647,-1,35,0,0,0,0,0:00:08
20200724_142133_79363492,42,-0.05816,-1.190455,-1,35,0,0,0,0,0:00:08
20200724_142133_79396824,42,-0.032449,-1.192898,-1,35,0,0,0,0,0:00:08
20200724_142133_79413490,42,0.007421,-1.196704,-1,35,0,0,0,0,0:00:08
20200724_142133_79463488,43,0.012552,-1.198466,-1,35,0,0,0,0,0:00:08
20200724_142133_79480154,43,0.001978,-1.204743,-1,35,0,0,0,0,0:00:08
20200724_142133_79530152,43,-0.000308,-1.206494,-1,35,0,0,0,0,0:00:08
20200724_142133_79580150,43,0.001998,-1.211095,-1,35,0,0,0,0,0:00:08
20200724_142133_79596816,43,0.002436,-1.216331,-1,35,0,0,0,0,0:00:08
20200724_142133_79630148,43,0.003357,-1.21795,-1,35,0,0,0,0,0:00:08
20200724_142133_79663480,43,0.00363,-1.22104,-1,35,0,0,0,0,0:00:08
20200724_142133_79680146,44,0.008879,-1.223701,-1,35,0,0,0,0,0:00:08
20200724_142133_79713478,44,0.010756,-1.22512,-1,35,0,0,0,0,0:00:08
20200724_142133_79746810,44,0.047549,-1.227689,-1,35,0,0,0,0,0:00:08
20200724_142133_79780142,44,0.074221,-1.230573,0,35,0,0,0,0,0:00:08
20200724_142133_79796808,44,0.066199,-1.232176,0,35,0,0,0,0,0:00:08
20200724_142134_79846806,44,0.061305,-1.232971,0,35,0,0,0,0,0:00:09
20200724_142134_79880138,44,0.047066,-1.236233,0,35,0,0,0,0,0:00:09
20200724_142134_79896804,45,0.008721,-1.237412,0,35,0,0,0,0,0:00:09
20200724_142134_79930136,45,-0.011165,-1.23787,0,35,0,0,0,0,0:00:09
20200724_142134_79963468,45,-0.013895,-1.239552,0,35,0,0,0,0,0:00:09
20200724_142134_79996800,45,-0.002355,-1.241498,0,35,0,0,0,0,0:00:09
20200724_142134_80030132,45,0.002234,-1.242413,0,35,0,0,0,0,0:00:09
20200724_142134_80046798,45,0.001928,-1.243071,0,35,0,0,0,0,0:00:09
20200724_142134_80096796,45,0.001481,-1.243735,0,35,0,0,0,0,0:00:09
20200724_142134_80113462,46,0.000367,-1.246676,0,35,0,0,0,0,0:00:09
20200724_142134_80163460,46,-0.000348,-1.246825,0,35,0,0,0,0,0:00:09
20200724_142134_80180126,46,-0.001254,-1.248776,0,35,0,0,0,0,0:00:09
20200724_142134_80213458,46,-0.000767,-1.250178,0,35,0,0,0,0,0:00:09
20200724_142134_80246790,46,0.000399,-1.25055,0,35,0,0,0,0,0:00:09
20200724_142134_80263456,46,0.00056,-1.250659,0,35,0,0,0,0,0:00:09
20200724_142134_80313454,46,0.000368,-1.248999,0,35,0,0,0,0,0:00:09
20200724_142134_80330120,47,0.000141,-1.249314,0,35,0,0,0,0,0:00:09
20200724_142134_80363452,47,0.00023,-1.24956,0,35,0,0,0,0,0:00:09
20200724_142134_80380118,47,-0.000167,-1.248748,0,35,0,0,0,0,0:00:09
20200724_142134_80430116,47,-0.000207,-1.249182,0,35,0,0,0,0,0:00:09
20200724_142134_80446782,47,-0.000217,-1.248507,0,35,0,0,0,0,0:00:09
20200724_142134_80480114,47,-0.000227,-1.248187,0,35,0,0,0,0,0:00:09
20200724_142134_80513446,47,-8.60E-05,-1.248118,0,35,0,0,0,0,0:00:09
20200724_142134_80546778,47,-1.10E-05,-1.247557,0,35,0,0,0,0,0:00:09
20200724_142134_80580110,48,0.000184,-1.246848,0,35,0,0,0,0,0:00:09
