Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140230_1443353162, 70.55978393554688,0.033418,0.158417,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20200722_140230_1443386494, 70.55035400390625,0.039126,0.15884,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:00
20200722_140231_1443419826, 70.53144073486328,0.087249,0.159756,-1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443436492, 70.5123291015625,0.114028,0.160786,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443453158, 70.50274658203125,0.109055,0.157398,-0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443486490, 70.4932632446289,0.10006,0.157696,0.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443519822, 70.47418212890625,0.085426,0.158303,1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443553154, 70.45491027832031,0.11046,0.159024,1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443586486, 70.43545532226562,0.119163,0.159928,1.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443619818, 70.41594696044922,0.124503,0.16058,2.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443653150, 70.39645385742188,0.16928,0.161301,2.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443686482, 70.376953125,0.205565,0.161999,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443703148, 70.35745239257812,0.18586,0.162377,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443719814, 70.34772491455078,0.157264,0.1624,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443769812, 70.33796691894531,0.137417,0.162434,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443786478, 70.3085708618164,0.103634,0.162697,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443836476, 70.29872131347656,0.08548,0.162835,3.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443853142, 70.26933288574219,0.054727,0.163018,4.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443903140, 70.25944519042969,0.051371,0.163292,4.0,0.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443936472, 70.22982788085938,0.075909,0.163819,4.0,6.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1443969804, 70.21112060546875,0.07678,0.162365,4.0,17.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444019802, 70.19481658935547,0.084982,0.156815,5.0,36.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444036468, 70.17841339111328,0.101248,0.135001,5.0,40.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444069800, 70.1753921508789,0.089436,0.123637,5.0,42.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444103132, 70.17314147949219,0.052379,0.094419,5.0,49.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444119798, 70.17639923095703,0.035615,0.057819,5.0,56.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444169796, 70.1802978515625,0.027553,0.037059,5.0,57.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444186462, 70.20162963867188,-0.013008,-0.031631,5.0,66.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444219794, 70.21211242675781,-0.016737,-0.056214,5.0,69.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444236460, 70.2384262084961,-0.018949,-0.108138,5.0,72.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140231_1444269792, 70.25423431396484,-0.017861,-0.135216,5.0,75.0,0.0, 0.0, 0.0,0,0:00:01
20200722_140232_1444303124, 70.29158782958984,-0.035623,-0.19205,4.0,82.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444336456, 70.3368911743164,-0.05741,-0.251996,4.0,86.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444369788, 70.39022827148438,-0.082348,-0.314392,3.0,89.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444403120, 70.45166015625,-0.108676,-0.378928,3.0,90.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444436452, 70.52085876464844,-0.131047,-0.444448,3.0,91.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444453118, 70.5978012084961,-0.113004,-0.510426,3.0,95.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444486450, 70.63925170898438,-0.10677,-0.5435,3.0,98.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444503116, 70.72806549072266,-0.071023,-0.609318,3.0,98.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444536448, 70.77542877197266,-0.048378,-0.642084,3.0,98.0,0.0, 0.0, 0.0,0,0:00:02
20200722_140232_1444569780, 70.87591552734375,-0.007611,-0.70718,3.0,98.0,0.0, 0.0, 0.0,0,0:00:02
