Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200724_115857_3766932650,-0.0,-9e-06,0.00613,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3766965982,0.0,2.1e-05,-0.014088,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3766982648,0.0,3.2e-05,-0.018559,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767015980,0.0,5e-06,-0.000252,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767032646,-0.0,-3.1e-05,0.023955,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767065978,-0.0,-1.8e-05,0.013939,2.0,0.0,61.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767099310,0.0,2.5e-05,-0.020661,2.0,0.0,60.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767132642,0.0,9e-06,-0.008709,2.0,0.0,59.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767165974,-0.0,-3.1e-05,0.022023,2.0,0.0,57.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767199306,-0.0,-3e-06,0.003371,2.0,0.0,57.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767215972,0.0,3.4e-05,-0.022194,2.0,0.0,57.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767265970,0.0,2.5e-05,-0.015186,2.0,0.0,57.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767315968,-0.0,-2.8e-05,0.021156,2.0,0.0,57.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767349300,0.0,2.7e-05,-0.019417,2.0,0.0,56.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767365966,0.0,-7e-06,-0.005931,2.0,0.0,55.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767399298,-0.0,-1.9e-05,0.010872,2.0,0.0,55.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767415964,-0.0,-9e-06,0.016028,2.0,0.0,54.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767449296,-0.0,6e-06,0.001138,2.0,0.0,54.0, 0.0, 0.0,7,0:00:00
20200724_115857_3767465962,0.0,3.5e-05,-0.019968,2.0,0.0,54.0, 0.0, 0.0,7,0:00:00
