Timestamp,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200720_163152_2453029440,41,0.149383,-1.662303,6,61,0,0,1,6,0:00:06
20200720_163152_2453062772,41,0.320876,-1.701815,9,61,0,0,1,6,0:00:06
20200720_163152_2453096104,42,0.392813,-1.727342,12,61,0,0,1,6,0:00:06
20200720_163152_2453112770,42,0.499237,-1.749876,13,61,0,0,1,6,0:00:06
20200720_163152_2453129436,42,0.515215,-1.761258,15,61,0,0,1,6,0:00:06
20200720_163152_2453162768,42,0.546241,-1.770671,16,61,0,0,1,6,0:00:06
20200720_163152_2453179434,42,0.50369,-1.789212,17,61,0,0,1,6,0:00:06
20200720_163152_2453229432,42,0.469284,-1.798556,17,61,0,0,1,6,0:00:06
20200720_163152_2453246098,43,0.362667,-1.830091,18,61,0,0,1,6,0:00:06
20200720_163152_2453296096,43,0.295905,-1.840569,18,61,0,0,1,6,0:00:06
20200720_163152_2453329428,43,0.159124,-1.874428,19,61,0,0,1,6,0:00:06
20200720_163152_2453346094,43,0.105026,-1.893929,19,61,0,0,1,6,0:00:06
20200720_163152_2453396092,43,0.079759,-1.90376,19,61,0,0,0,6,0:00:06
20200720_163152_2453412758,44,0.046287,-1.934563,19,61,0,0,0,6,0:00:06
20200720_163152_2453462756,44,0.039316,-1.942311,18,61,0,0,0,6,0:00:06
20200720_163152_2453479422,44,-0.010984,-1.964759,18,61,0,0,0,6,0:00:06
20200720_163152_2453512754,44,-0.022936,-1.972908,17,61,0,0,0,6,0:00:06
20200720_163152_2453562752,45,-0.061414,-1.989394,17,61,0,0,0,6,0:00:06
20200720_163152_2453612750,45,-0.094349,-2.004524,16,61,0,0,0,6,0:00:06
20200720_163152_2453629416,45,-0.098974,-2.022921,15,61,0,0,0,6,0:00:06
20200720_163152_2453662748,46,-0.10391,-2.028551,15,61,0,0,0,6,0:00:06
20200720_163152_2453679414,46,-0.098269,-2.039607,15,61,0,0,0,6,0:00:06
20200720_163152_2453712746,46,-0.099465,-2.044145,14,61,0,0,0,6,0:00:06
20200720_163152_2453746078,46,-0.102095,-2.053741,14,61,0,0,0,6,0:00:06
20200720_163152_2453779410,46,-0.100394,-2.063726,14,61,0,0,1,6,0:00:06
20200720_163152_2453812742,47,-0.082013,-2.072138,14,61,0,0,1,6,0:00:06
20200720_163152_2453846074,47,-0.0685,-2.080607,13,61,0,0,1,6,0:00:06
20200720_163152_2453862740,47,-0.060218,-2.087354,13,61,0,0,1,6,0:00:06
20200720_163153_2453896072,47,-0.049149,-2.090542,13,61,0,0,1,6,0:00:07
20200720_163153_2453929404,48,-0.04128,-2.096945,13,61,0,0,1,6,0:00:07
20200720_163153_2453946070,48,-0.030875,-2.102375,13,61,0,0,1,6,0:00:07
20200720_163153_2453996068,48,-0.029187,-2.105276,13,61,0,0,1,6,0:00:07
20200720_163153_2454012734,48,-0.017887,-2.112847,13,61,0,0,1,6,0:00:07
20200720_163153_2454062732,48,-0.007844,-2.115319,12,61,0,0,1,6,0:00:07
20200720_163153_2454096064,49,-0.006852,-2.121522,12,61,0,0,1,6,0:00:07
20200720_163153_2454129396,49,-0.018115,-2.125487,12,61,0,0,1,6,0:00:07
20200720_163153_2454162728,49,-0.025966,-2.129041,12,61,0,0,0,6,0:00:07
20200720_163153_2454196060,50,-0.033402,-2.131804,11,61,0,0,0,6,0:00:07
20200720_163153_2454212726,50,-0.046135,-2.13371,11,61,0,0,0,6,0:00:07
20200720_163153_2454246058,50,-0.04994,-2.134688,11,61,0,0,0,6,0:00:07
20200720_163153_2454279390,50,-0.067325,-2.136291,11,61,0,0,0,6,0:00:07
20200720_163153_2454312722,50,-0.060015,-2.138127,10,61,0,0,0,6,0:00:07
