Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Label
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,73,7
0,0,0,280,0,55,7
0,0,0,280,0,55,7
0,0,0.0625,280,0,51,7
0,0,0.0625,280,0,51,7
0,0,-0.0625,280,0,52,7
0,0,-0.0625,280,0,52,7
0,0,0,280,0,41,7
0,0,0,280,0,41,7
0,0,0,280,0,41,7
0,0,0,283,0,0,7
0,0,0,283,0,0,7
0,0,0,283,0,0,7
0,0,0,290,18.82353,0,7
0,0,0,290,18.82353,0,7
0,0.078431375,-1.0625,291,17.647058,0,7
0,0.078431375,-1.0625,291,17.647058,0,7
0,0.15686275,-3.8125,280,9.411765,0,7
2,0.15686275,-3.8125,280,9.411765,0,7
2,0.1254902,-5.6875,267,9.411765,0,7
3,0.1254902,-5.6875,267,9.411765,0,7
3,0.1254902,-5.6875,267,9.411765,0,7
3,0.10980392,-7.5,263,6.666667,0,7
4,0.10980392,-7.5,263,6.666667,0,7
4,0.10980392,-9.1875,253,0.78431374,0,4
4,0.10980392,-9.1875,253,0.78431374,0,4
4,0.0627451,-9.8125,234,0,0,4
5,0.0627451,-9.8125,234,0,0,4
5,0.015686275,-8.3125,208,0,0,4
5,0.015686275,-8.3125,208,0,0,4
5,0.015686275,-8.3125,208,0,0,4
5,0,-8.1875,179,0,0,4
5,0,-8.1875,179,0,0,4
5,0,-6.375,154,5.882353,0,4
5,0,-6.375,154,5.882353,0,4
5,0,-6.375,154,5.882353,0,4
5,0.015686275,-6.3125,147,11.372549,0,4
5,0.015686275,-6.3125,147,11.372549,0,4
5,0.0627451,-6.8125,164,11.372549,0,4
6,0.0627451,-6.8125,164,11.372549,0,4
6,0.0627451,-6.8125,164,11.372549,0,4
6,0.0627451,-6.8125,164,11.372549,0,4
7,0.09411765,-9.625,191,11.372549,0,4
7,0.10980392,-12.75,214,11.372549,0,4
8,0.10980392,-12.75,214,11.372549,0,4
8,0.078431375,-15.5625,220,12.941176,0,4
9,0.078431375,-15.5625,220,12.941176,0,4
9,0.09411765,-18.25,237,12.941176,0,4
10,0.09411765,-18.25,237,12.941176,0,4
10,0.09411765,-20.3125,243,12.941176,0,4
11,0.09411765,-20.3125,243,12.941176,0,4
11,0.09411765,-20.3125,243,12.941176,0,4
11,0.078431375,-23.5625,250,14.117647,0,4
12,0.078431375,-23.5625,250,14.117647,0,4
12,0.03137255,-21.5625,240,23.92157,0,4
12,0.03137255,-21.5625,240,23.92157,0,4
12,0.03137255,-21.5625,240,23.92157,0,4
12,0.10980392,-22,228,24.705883,0,4
14,0.10980392,-22,228,24.705883,0,4
14,0.09411765,-24.9375,231,24.705883,0,4
15,0.09411765,-24.9375,231,24.705883,0,4
15,0.1254902,-27.5,231,24.705883,0,4
16,0.1254902,-27.5,231,24.705883,0,4
16,0.1254902,-28.875,221,24.705883,0,4
18,0.1254902,-28.875,221,24.705883,0,4
18,0.1254902,-28.875,221,24.705883,0,4
18,0.14117648,-27.375,189,24.705883,0,4
19,0.14117648,-27.375,189,24.705883,0,4
19,0.17254902,-20.8125,130,25.882353,0,4
21,0.17254902,-20.8125,130,25.882353,0,4
21,0.17254902,-20.8125,130,25.882353,0,4
21,0.1882353,-12.375,66,28.62745,0,4
23,0.1882353,-12.375,66,28.62745,0,4
23,0.1882353,-6,36,28.62745,0,4
24,0.1882353,-6,36,28.62745,0,4
24,0.1882353,-6,36,28.62745,0,4
24,0.1882353,-5.6875,35,28.62745,0,4
26,0.1882353,-5.6875,35,28.62745,0,4
26,0.14117648,-5.8125,32,28.62745,0,4
27,0.14117648,-5.8125,32,28.62745,0,4
27,0.10980392,-4.8125,22,28.62745,0,4
28,0.10980392,-4.8125,22,28.62745,0,4
28,0.1254902,-2.5625,13,28.62745,0,4
29,0.1254902,-2.5625,13,28.62745,0,2
29,0.1254902,-0.8125,6,28.62745,0,2
30,0.1254902,-0.8125,6,28.62745,0,2
30,0.1254902,-0.8125,6,28.62745,0,2
30,0.1254902,-0.75,3,28.62745,0,2
31,0.1254902,-0.75,3,28.62745,0,2
31,0.14117648,0,2,29.411766,0,2
32,0.14117648,0,2,29.411766,0,2
32,0.14117648,0,2,29.411766,0,2
32,0.14117648,-0.3125,2,28.62745,0,2
34,0.14117648,-0.3125,2,28.62745,0,2
34,0.14117648,0.25,2,15.686275,0,2
35,0.14117648,0.25,2,15.686275,0,0
35,0.14117648,0.25,2,15.686275,0,0
35,0.09411765,-0.0625,1,13.725491,0,0
36,0.09411765,-0.0625,1,13.725491,0,0
36,0.0627451,-0.3125,1,18.82353,0,0
36,0.0627451,-0.3125,1,18.82353,0,0
36,0.0627451,-0.3125,1,18.82353,0,0
36,0.09411765,0,1,19.215687,0,0
37,0.09411765,0,1,19.215687,0,0
37,0.09411765,-0.1875,1,19.215687,0,0
38,0.09411765,-0.1875,1,19.215687,0,0
38,0.10980392,-0.125,1,19.215687,0,0
39,0.10980392,-0.125,1,19.215687,0,0
39,0.078431375,-0.1875,1,19.215687,0,0
39,0.078431375,-0.1875,1,19.215687,0,0
39,0.078431375,-0.1875,1,19.215687,0,0
39,0.0627451,-0.3125,0,18.82353,0,0
40,0.0627451,1.4375,-11,21.568628,0,0
41,0.0627451,1.4375,-11,21.568628,0,5
41,0.0627451,1.4375,-11,21.568628,0,5
41,0.0627451,4.9375,-20,25.490196,0,5
41,0.0627451,4.9375,-20,25.490196,0,5
41,0.078431375,5.9375,-22,27.058825,0,5
42,0.078431375,5.9375,-22,27.058825,0,5
42,0.078431375,5.9375,-22,27.058825,0,5
42,0.078431375,5.9375,-22,27.058825,0,5
43,0.078431375,6,-22,27.058825,0,5
43,0.09411765,6,-22,26.27451,0,5
43,0.09411765,6,-22,26.27451,0,5
43,0.09411765,6,-22,26.27451,0,5
43,0.09411765,5.5625,-21,25.490196,0,5
44,0.09411765,5.5625,-21,25.490196,0,5
44,0.09411765,4.1875,-10,20.392157,0,5
45,0.09411765,4.1875,-10,20.392157,0,5
45,0.078431375,0.25,4,4.3137255,0,5
46,0.078431375,0.25,4,4.3137255,0,5
46,0.078431375,0.25,4,4.3137255,0,5
46,0.015686275,-3.5,13,0,0,5
46,0.015686275,-3.5,13,0,0,5
46,0.015686275,-3.5,13,0,0,5
46,0,-4.25,18,0,0,5
46,0,-4.25,18,0,0,5
46,0,-4.25,18,0,0,5
46,-0.015686275,-4.5,19,0,0,5
45,-0.015686275,-4.5,19,0,0,5
45,-0.015686275,-4.5,19,0,0,5
45,-0.03137255,-4.25,14,0,2,5
44,-0.03137255,-4.25,14,0,2,5
44,-0.10980392,-1.0625,5,0,11,5
44,-0.10980392,-1.0625,5,0,11,5
43,-0.10980392,-1.0625,5,0,11,5
43,-0.10980392,-1.0625,5,0,11,5
43,-0.15686275,-0.9375,4,0,16,5
41,-0.15686275,-0.9375,4,0,16,5
41,-0.1882353,-1.125,6,0,18,5
41,-0.1882353,-1.125,6,0,18,5
39,-0.1882353,-1.125,6,0,18,5
39,-0.1882353,-1.8125,7,0,18,5
39,-0.1882353,-1.8125,7,0,18,5
37,-0.1882353,-1.8125,7,0,18,5
37,-0.15686275,-2.125,8,0,11,5
36,-0.15686275,-2.125,8,0,11,5
36,-0.1254902,-1.9375,8,0,12,5
35,-0.1254902,-1.9375,8,0,12,5
35,-0.1254902,-1.9375,8,0,12,5
35,-0.17254902,-1.875,8,0,19,5
32,-0.17254902,-1.875,8,0,19,5
32,-0.17254902,-1.875,8,0,19,5
32,-0.1882353,-1.625,8,0,21,5
30,-0.1882353,-1.625,8,0,21,5
30,-0.1882353,-1.625,8,0,21,5
30,-0.1882353,-1.625,8,0,21,5
30,-0.21960784,-1,5,0,23,5
27,-0.21960784,-1,5,0,23,5
27,-0.21960784,-1,5,0,23,5
27,-0.21960784,-0.875,4,0,23,5
25,-0.21960784,-0.875,4,0,23,0
25,-0.21960784,-0.875,4,0,23,0
25,-0.23529412,-1.0625,4,0,22,0
22,-0.23529412,-1.0625,4,0,22,0
22,-0.23529412,-1.0625,4,0,22,0
22,-0.21960784,-0.5625,3,0,19,0
20,-0.21960784,-0.5625,3,0,19,0
20,-0.21960784,-0.5625,3,0,19,0
20,-0.1882353,-0.5625,2,0,17,0
18,-0.1882353,-0.5625,2,0,17,0
18,-0.1882353,-0.125,2,0,16,0
18,-0.1882353,-0.125,2,0,16,0
16,-0.1882353,-0.125,2,0,16,0
16,-0.17254902,-0.4375,3,0,16,0
14,-0.17254902,-0.4375,3,0,16,0
14,-0.17254902,-0.4375,3,0,16,0
14,-0.17254902,-0.375,2,0,15,0
12,-0.17254902,-0.375,2,0,15,0
12,-0.17254902,-0.375,2,0,15,0
12,-0.1254902,-0.25,3,0,10,0
11,-0.1254902,-0.25,3,0,10,0
11,-0.1254902,-0.25,3,0,10,0
11,-0.1254902,-0.125,3,0,10,0
9,-0.1254902,-0.125,3,0,10,0
9,-0.1254902,-0.125,3,0,10,0
9,-0.1254902,-0.375,2,0,9,0
8,-0.1254902,-0.375,2,0,9,0
8,-0.1254902,-0.375,2,0,9,0
8,-0.1254902,-0.375,2,0,9,0
8,-0.10980392,-0.25,2,0,6,0
7,-0.10980392,-0.25,2,0,6,0
7,-0.0627451,-0.25,3,0,5,0
6,-0.0627451,-0.25,3,0,5,0
6,-0.0627451,-0.25,3,0,5,0
6,-0.0627451,-0.125,3,0,4,0
5,-0.0627451,-0.125,3,0,4,0
5,-0.0627451,-0.125,3,0,4,0
5,-0.047058824,-0.125,3,0,3,0
5,-0.047058824,-0.125,3,0,3,7
5,-0.047058824,-0.125,3,0,3,7
5,-0.047058824,0,2,0,3,7
4,-0.047058824,0,2,0,3,7
4,-0.047058824,0,2,0,3,7
4,-0.047058824,0,3,0,5,7
3,-0.047058824,0,3,0,5,7
3,-0.047058824,0,3,0,5,7
3,-0.078431375,-0.125,2,0,7,7
2,-0.078431375,-0.125,2,0,7,7
2,-0.078431375,-0.125,2,0,7,7
2,-0.078431375,0,2,0,7,7
1,-0.078431375,0,2,0,7,7
1,-0.078431375,0,2,0,7,7
1,-0.09411765,-0.125,3,0,7,7
0,-0.09411765,-0.125,3,0,7,7
0,-0.09411765,-0.125,3,0,7,7
0,-0.09411765,0,2,0,11,7
0,-0.09411765,0,2,0,11,7
0,-0.09411765,0,2,0,11,7
0,0,0,3,0,17,7
0,0,0,3,0,17,7
0,0,0,3,0,17,7
0,0,0,3,0,19,7
0,0,0,3,0,19,7
0,0,0,3,0,19,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,2,0,20,7
0,0,0,2,0,20,7
0,0,0,2,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.125,3,0,20,7
0,0,0.125,3,0,20,7
0,0,0.125,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,2,0,20,7
0,0,0,2,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0.1875,3,0,20,7
0,0,0.1875,3,0,20,7
0,0,0.1875,3,0,20,7
0,0,0.1875,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,2,0,20,7
0,0,0,2,0,20,7
0,0,0,2,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,-0.0625,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,20,7
0,0,0,3,0,0,7
0,0,0,3,0,0,7
0,0,0,3,0,0,7
0,0.015686275,0,3,0,0,7
0,0.015686275,0,3,0,0,7
0,0.015686275,0,3,0,0,7
0,0.047058824,0,3,0,0,7
0,0.047058824,0,3,0,0,7
0,0.047058824,0,3,0,0,7
0,0.0627451,-0.125,3,0,0,7
1,0.0627451,-0.125,3,0,0,7
1,0.0627451,-0.125,3,0,0,7
1,0.078431375,-0.0625,3,0,0,7
2,0.078431375,-0.0625,3,0,0,7
2,0.078431375,-0.0625,3,0,0,0
2,0.0627451,0,3,0,0,0
2,0.0627451,0,3,0,0,0
3,0.0627451,0,3,0,0,0
